figure	panel	source_role	source_note	dataset	primary_context	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	effect_metric	direction	fdr_0_10	q_value	evidence_weight	interpretation_role	mean_tissue_effect	n_tissues	n_positive_tissues	n_negative_tissues	tissue_directional_coherence	best_tissue_q_value	validation_class	n_modules	n_independent_datasets	datasets	dataset_effects	n_positive_datasets	n_negative_datasets	dominant_direction	weighted_directional_coherence	median_effect	median_absolute_effect	max_absolute_effect	n_FDR10_datasets	n_moderate_effect_datasets	n_large_effect_datasets	independent_evidence_priority_score	n_non_tiny_concordant_moderate_datasets	biological_priority	preterm_vs_term_effect	preterm_tissue_coherence	preterm_direction	infection_outcome_relation	refined_preterm_effect_class	refined_infection_outcome_relation	manuscript_claim_priority	_x	_y	contrast_id	biological_context	evidence_tier	group_a	group_b	n_group_a	n_group_b	model_estimate	model_standard_error	model_t_value	model_p_value	degrees_freedom	model_q_within_contrast	model_fdr_0_05	model_fdr_0_10	_value	mean_group_a	mean_group_b	mean_difference_a_minus_b	hedges_g	_size
Figure_2	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8	0.9900621618745398	hedges_g	positive	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																						
Figure_2	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9	1.5424044949776037	hedges_g	positive	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																						
Figure_2	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10	0.6106585347065031	hedges_g	positive	False	0.8888888888888888	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																						
Figure_2	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10	1.271995088268732	hedges_g	positive	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																						
Figure_2	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	immune_context_anchors	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	Integrated_network	0.5280174153001915	hedges_g	positive	False	0.8888888888888888	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																						
Figure_2	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8	0.3394515424730212	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.2188321655207958	3.0	2.0	1.0	0.6666666666666666	0.7957454254574543																																																
Figure_2	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9	-0.0778555504629274	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.0305775529812834	3.0	1.0	2.0	0.6666666666666666	0.8641483516483516																																																
Figure_2	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8	-0.0039774294391697	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.2169746742714997	3.0	1.0	2.0	0.6666666666666666	0.7957454254574543																																																
Figure_2	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10	0.0680688980830458	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1663113383564861	3.0	2.0	1.0	0.6666666666666666	0.9001145340011454																																																
Figure_2	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10	0.4245595687724989	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.3520418835477626	3.0	2.0	1.0	0.6666666666666666	0.8641483516483516																																																
