feature_id	C1_PRETERM_VS_TERM | bladder	C1_PRETERM_VS_TERM | placenta	C1_PRETERM_VS_TERM | uterus	C2_UPEC_VS_PBS_PREGNANCY | bladder	C2_UPEC_VS_PBS_PREGNANCY | placenta	C2_UPEC_VS_PBS_PREGNANCY | uterus	C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder
CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	-0.1053306587235214	0.052076373829829	0.340131714462502	0.281575955981889	-0.4423015327729926	0.1395762639662431	0.609077680783404
CATECHOLAMINE_IRON_REDOX_INTERFACE	-0.4819131944584083	-0.2413652263709858	-0.1131986107226608	0.5697731798949757	0.1356736361397365	0.2901081783007024	0.3690879040648459
CHOLESTEROL_BIOSYNTHESIS	-0.3676190350403667	-0.2427657634531032	-0.1043738636058641	0.7254080278698753	-0.7838880627268637	0.2253376102206074	-1.3346489251793725
CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	-0.2187013968881286	-0.2473211136025787	-0.0460652354906136	0.3891861816974427	-0.3135962544894414	0.2842637032332668	0.3252611233852946
COMPLEMENT_ALTERNATIVE	-0.0404714996380272	0.3720849442675417	0.130834045096689	0.2987179578977494	0.1301188306592004	0.961724494107166	0.7048957838255627
COMPLEMENT_C3A_C5A_SIGNALING	-0.5266738017879126	0.3431704758291174	-0.4971530114341522	0.6066408853550672	-0.1757757683686546	0.0680688980830458	0.3184523534868373
COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	0.2020359434638153	0.0205876229426282	0.6627100216153843	0.3000879207652096	-0.0800546490400399	1.1686840835533288	0.643811596451764
COMPLEMENT_CLASSICAL	0.4735556700610808	0.1666802827006261	0.6663628809423575	0.2653474573865672	-0.3581803266020909	0.7159321600271066	0.9339565793762142
COMPLEMENT_COAGULATION_CROSSTALK	-0.4873583777399255	-0.4555306999870017	-0.3220655969583369	0.3667988269137078	-0.0385061427396443	-0.1584186197031355	1.079559418900903
COMPLEMENT_INFLAMMATORY_AMPLIFICATION_INDEX	-0.1567161130604222	0.5241327765593439	0.192908670772529	-0.0191188715042429	-0.9397787804353476	-0.4248583916086081	0.4357430554443105
COMPLEMENT_LECTIN	0.3022518246503143	-0.0713421278584395	0.5892011741991348	-0.0687352218142978	-0.101247873556204	-0.559102393695678	1.0957972708101489
