population_level	population	feature_id	display_label	axis	proposed_figure_family	requested_genes	detected_genes	coverage_fraction	score_eligible	mean_control_score	mean_UPEC_score	mean_difference_UPEC_minus_control	hedges_g_UPEC_vs_control	exact_permutation_p	module_mean_gene_log2FC	module_median_gene_log2FC	fraction_genes_positive_log2FC	fraction_genes_negative_log2FC	gene_direction_coherence	direction	exact_permutation_q_within_population	hedges_g_finite	variance_sensitive_hedges_g	cellular_evidence_class	cellular_localization_score	effect_direction
broad_cell_type	NK_cell	GLUCOSE_TRANSPORT	Glucose transport	carbohydrate_inflammatory_carbon	Figure_8	12	6	0.5	True	-0.3697153498328884	0.3697153498328884	0.7394306996657768	0.8531134407165206	0.3333333333333333	0.4894477146634897	0.4533207281063202	0.8333333333333334	0.1666666666666666	0.8333333333333334	higher_in_UPEC	0.6239316239316239	0.8531134407165206	False	high_cellular_localization_support	0.7591476206021261	higher_in_UPEC
broad_cell_type	NK_cell	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	amino_acid_metabolism	Figure_9	13	11	0.8461538461538461	True	-0.4797269714988554	0.4797269714988554	0.9594539429977108	1.284240030679884	0.3333333333333333	0.5845551287360826	0.3872734909023716	0.9090909090909092	0.0909090909090909	0.9090909090909092	higher_in_UPEC	0.6239316239316239	1.284240030679884	False	high_cellular_localization_support	0.8647876394316247	higher_in_UPEC
broad_cell_type	NK_cell	GLYCOGENOLYSIS	Glycogenolysis	carbohydrate_inflammatory_carbon	Figure_8	12	12	1.0	True	-0.1399381694158004	0.1399381694158005	0.279876338831601	0.58425350219595	0.6666666666666666	0.2241118309206637	0.1478330852393552	0.6666666666666666	0.3333333333333333	0.6666666666666666	higher_in_UPEC	0.7978142076502732	0.58425350219595	False	moderate_cellular_localization_support	0.37679266471485895	higher_in_UPEC
broad_cell_type	NK_cell	GLYCOGEN_SYNTHESIS	Glycogen synthesis	carbohydrate_inflammatory_carbon	Figure_8	10	7	0.7	True	-0.3099657632221142	0.3099657632221142	0.6199315264442284	1.3364412229184706	0.3333333333333333	0.6870788582378543	0.2245468308089186	0.7142857142857143	0.2857142857142857	0.7142857142857143	higher_in_UPEC	0.6239316239316239	1.3364412229184706	False	moderate_cellular_localization_support	0.7336441222918471	higher_in_UPEC
broad_cell_type	NK_cell	GLYCOLYSIS	Glycolysis	carbohydrate_inflammatory_carbon	Figure_8	18	16	0.8888888888888888	True	-0.2611480913114217	0.2611480913114224	0.5222961826228443	1.910657881447588	0.3333333333333333	0.2396556144892697	0.3247410658403851	0.75	0.25	0.75	higher_in_UPEC	0.6239316239316239	1.910657881447588	False	moderate_cellular_localization_support	0.5817558411851016	higher_in_UPEC
broad_cell_type	NK_cell	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	insulin_irs_signaling	Figure_8	18	17	0.9444444444444444	True	-0.3518377518132343	0.3518377518132358	0.7036755036264701	1.3985257466357064	0.3333333333333333	0.2906724172111529	0.2602583244245178	0.8235294117647058	0.1764705882352941	0.8235294117647058	higher_in_UPEC	0.6239316239316239	1.3985257466357064	False	moderate_cellular_localization_support	0.6279283383889023	higher_in_UPEC
broad_cell_type	NK_cell	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	carbohydrate_inflammatory_carbon	Figure_8	15	15	1.0	True	-0.3604113444089868	0.3604113444089867	0.7208226888179736	1.1558863729173094	0.3333333333333333	0.4269482804287739	0.4912951547229696	0.8666666666666667	0.1333333333333333	0.8666666666666667	higher_in_UPEC	0.6239316239316239	1.1558863729173094	False	high_cellular_localization_support	0.7565087563442942	higher_in_UPEC
broad_cell_type	NK_cell	LEPTIN_SIGNALING	Leptin signaling	adipokine_signaling	Figure_8	12	11	0.9166666666666666	True	-0.365936613388668	0.365936613388668	0.7318732267773361	1.088771830579674	0.3333333333333333	0.301428621007954	0.2482658556302777	0.6363636363636364	0.3636363636363636	0.6363636363636364	higher_in_UPEC	0.6239316239316239	1.088771830579674	False	directional_cellular_support	0.47561748741967147	higher_in_UPEC
broad_cell_type	NK_cell	LIPID_DROPLET_DYNAMICS	Lipid-droplet dynamics	lipid_metabolism	Figure_7	15	13	0.8666666666666667	True	-0.3191987967852683	0.319198796785268	0.6383975935705364	1.2885174888477824	0.3333333333333333	0.4943824585706599	0.4533207281063203	0.8461538461538461	0.1538461538461538	0.8461538461538461	higher_in_UPEC	0.6239316239316239	1.2885174888477824	False	high_cellular_localization_support	0.8161036539060644	higher_in_UPEC
broad_cell_type	NK_cell	LXR_FXR_STEROL_SIGNALING	LXR and FXR sterol signaling	steroid_cholesterol_endocrine	Figure_7	12	9	0.75	True	-0.1206320261428668	0.120632026142868	0.2412640522857349	0.3887054813847572	0.6666666666666666	-0.0061033746616807	0.1590605680391466	0.6666666666666666	0.3333333333333333	0.6666666666666666	higher_in_UPEC	0.7978142076502732	0.3887054813847572	False	limited_cellular_support	0.16103025200065496	lower_in_UPEC
broad_cell_type	NK_cell	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	amino_acid_metabolism	Figure_9	14	10	0.7142857142857143	True	-0.295218760413842	0.2952187604138407	0.5904375208276827	0.5783213489196549	0.6666666666666666	0.5770364700865038	0.3921886531570142	0.8	0.2	0.8	higher_in_UPEC	0.7978142076502732	0.5783213489196549	False	moderate_cellular_localization_support	0.7178321348919655	higher_in_UPEC
broad_cell_type	NK_cell	MINERALOCORTICOID_RESPONSE	Mineralocorticoid response	steroid_cholesterol_endocrine	Figure_7	11	9	0.8181818181818182	True	-0.2522545780422259	0.2522545780422269	0.5045091560844528	1.3350680212818566	0.3333333333333333	0.0814652566055345	0.2423038553554457	0.5555555555555556	0.4444444444444444	0.5555555555555556	higher_in_UPEC	0.6239316239316239	1.3350680212818566	False	limited_cellular_support	0.24571442196205562	higher_in_UPEC
broad_cell_type	NK_cell	MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	insulin_irs_signaling	Figure_8	13	13	1.0	True	-0.1444943108552623	0.1444943108552626	0.2889886217105249	0.5351226139977819	0.6666666666666666	0.1798655120670681	0.0961825081267608	0.6923076923076923	0.3076923076923077	0.6923076923076923	higher_in_UPEC	0.7978142076502732	0.5351226139977819	False	directional_cellular_support	0.3500066068755241	higher_in_UPEC
broad_cell_type	NK_cell	MTOR_SIGNALING	mTOR signaling	carbohydrate_inflammatory_carbon	Figure_8	19	19	1.0	True	-0.0103581903237549	0.0103581903237547	0.0207163806475097	0.0331779685503461	1.0	0.0695476795181024	0.0622829713016965	0.5789473684210527	0.4210526315789473	0.5789473684210527	higher_in_UPEC	1.0	0.0331779685503461	False	limited_cellular_support	0.12117386631606361	higher_in_UPEC
broad_cell_type	NK_cell	NAD_METABOLISM	NAD metabolism	nucleotide_nad_nitrogen	Figure_9	16	16	1.0	True	0.0697657384632955	-0.0697657384632955	-0.1395314769265911	-0.7063044247608175	0.6666666666666666	-0.0087124116040216	-0.0024614331533558	0.5	0.5	0.5	lower_in_UPEC	0.7978142076502732	-0.7063044247608175	False	limited_cellular_support	0.07847161291970119	lower_in_UPEC
broad_cell_type	NK_cell	NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	immune_context_anchors	Integrated_network	16	14	0.875	True	-0.5933347339109409	0.5933347339109407	1.1866694678218817	1.6429351320697452	0.3333333333333333	2.0722077339366893	2.0400599504510413	0.9285714285714286	0.0714285714285714	0.9285714285714286	higher_in_UPEC	0.6239316239316239	1.6429351320697452	False	high_cellular_localization_support	0.9142935132069745	higher_in_UPEC
broad_cell_type	NK_cell	NFKB_MAPK_INFLAMMATION_ANCHOR	NF-kB and MAPK inflammation anchor	immune_context_anchors	Integrated_network	16	15	0.9375	True	-0.5800226455413203	0.5800226455413195	1.16004529108264	2.2560944867045607	0.3333333333333333	0.8950470176868701	0.5439055226174876	0.8666666666666667	0.1333333333333333	0.8666666666666667	higher_in_UPEC	0.6239316239316239	2.2560944867045607	False	high_cellular_localization_support	0.9066666666666667	higher_in_UPEC
broad_cell_type	NK_cell	NITRIC_OXIDE_SYNTHESIS_REGULATION	Nitric-oxide synthesis and regulation	nucleotide_nad_nitrogen	Figure_9	14	12	0.8571428571428571	True	-0.231595823090489	0.2315958230904885	0.4631916461809776	3.547831173984469	0.3333333333333333	0.6125109270898906	0.6847180274071503	0.6666666666666666	0.3333333333333333	0.6666666666666666	higher_in_UPEC	0.6239316239316239	3.547831173984469	False	moderate_cellular_localization_support	0.7666666666666666	higher_in_UPEC
broad_cell_type	NK_cell	OXIDATIVE_STRESS_NRF2_ANCHOR	Oxidative stress and NRF2 anchor	immune_context_anchors	Integrated_network	13	13	1.0	True	-0.2768516164289065	0.2768516164289055	0.5537032328578121	0.8850281434759505	0.3333333333333333	0.3350074437608038	0.2313184126623424	0.6153846153846154	0.3846153846153846	0.6153846153846154	higher_in_UPEC	0.6239316239316239	0.8850281434759505	False	directional_cellular_support	0.4707787445015493	higher_in_UPEC
broad_cell_type	NK_cell	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	carbohydrate_inflammatory_carbon	Figure_8	10	9	0.9	True	-0.2607138680036891	0.2607138680036931	0.5214277360073822	0.7708469146404902	0.3333333333333333	0.0140657000564993	0.2562399339887626	0.7777777777777778	0.2222222222222222	0.7777777777777778	higher_in_UPEC	0.6239316239316239	0.7708469146404902	False	limited_cellular_support	0.2841882659593428	higher_in_UPEC
broad_cell_type	NK_cell	PHOSPHOLIPID_METABOLISM	Phospholipid metabolism	lipid_metabolism	Figure_7	16	16	1.0	True	0.010683463033225	-0.0106834630332255	-0.0213669260664506	-0.1223451921055623	0.6666666666666666	-0.1031200242092898	0.0653279582737696	0.625	0.375	0.625	lower_in_UPEC	0.7978142076502732	-0.1223451921055623	False	directional_cellular_support	0.19254254099891704	lower_in_UPEC
broad_cell_type	NK_cell	PI3K_AKT_SIGNALING	PI3K-AKT signaling	insulin_irs_signaling	Figure_8	17	17	1.0	True	-0.2809617372291303	0.2809617372291313	0.5619234744582616	0.805301887041079	0.3333333333333333	0.1524818875761933	0.161893186075976	0.7647058823529411	0.2352941176470588	0.7647058823529411	higher_in_UPEC	0.6239316239316239	0.805301887041079	False	directional_cellular_support	0.40305800516974066	higher_in_UPEC
broad_cell_type	NK_cell	PLACENTAL_STEROID_METABOLISM	Placental steroid metabolism	steroid_cholesterol_endocrine	Figure_7	14	6	0.4285714285714285	True	-0.136676782704471	0.1366767827044712	0.2733535654089422	0.2884609833664428	1.0	-0.0986456735205942	-0.0416144293307419	0.5	0.5	0.5	higher_in_UPEC	1.0	0.2884609833664428	False	limited_cellular_support	0.11762720450517906	lower_in_UPEC
broad_cell_type	NK_cell	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	adipokine_signaling	Figure_8	12	10	0.8333333333333334	True	0.1048953525883004	-0.1048953525883009	-0.2097907051766014	-0.4365090533023764	0.6666666666666666	-0.1034071455243053	-0.1465693125586542	0.5	0.5	0.5	lower_in_UPEC	0.7978142076502732	-0.4365090533023764	False	limited_cellular_support	0.1367173363021124	lower_in_UPEC
broad_cell_type	NK_cell	PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	lipid_metabolism	Figure_7	16	15	0.9375	True	-0.0142144290211406	0.0142144290211408	0.0284288580422815	0.0720481466746809	1.0	-0.2324725203129742	0.0512626679356031	0.6	0.4	0.6	higher_in_UPEC	1.0	0.0720481466746809	False	directional_cellular_support	0.28643008294914485	lower_in_UPEC
broad_cell_type	NK_cell	PREGNANCY_INFLAMMATION_ANCHOR	Pregnancy-associated inflammation anchor	immune_context_anchors	Integrated_network	15	12	0.8	True	-0.7076361895425815	0.7076361895425809	1.4152723790851622	3.4885634486459174	0.3333333333333333	1.3213817480626129	0.947040108700729	1.0	0.0	1.0	higher_in_UPEC	0.6239316239316239	3.4885634486459174	False	high_cellular_localization_support	1.0	higher_in_UPEC
broad_cell_type	NK_cell	PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	steroid_cholesterol_endocrine	Figure_7	17	11	0.6470588235294118	True	-0.1330968079186724	0.1330968079186724	0.2661936158373448	0.6800635594743417	0.6666666666666666	-0.0668147447180307	0.0698507854300487	0.6363636363636364	0.3636363636363636	0.6363636363636364	higher_in_UPEC	0.7978142076502732	0.6800635594743417	False	limited_cellular_support	0.22359417164820725	lower_in_UPEC
broad_cell_type	NK_cell	PURINE_DEGRADATION_URATE	Purine degradation and urate	nucleotide_nad_nitrogen	Figure_9	11	9	0.8181818181818182	True	-0.3707963812918097	0.3707963812918095	0.7415927625836192	1.8576159446398648	0.3333333333333333	0.2633343385370179	0.4964366852064801	0.7777777777777778	0.2222222222222222	0.7777777777777778	higher_in_UPEC	0.6239316239316239	1.8576159446398648	False	moderate_cellular_localization_support	0.6172069435917471	higher_in_UPEC
broad_cell_type	NK_cell	PURINE_DE_NOVO_SYNTHESIS	De novo purine synthesis	nucleotide_nad_nitrogen	Figure_9	13	11	0.8461538461538461	True	-0.5304168695297964	0.5304168695297957	1.060833739059592	0.7327784710606285	0.3333333333333333	0.5374087120533262	0.481349580051047	0.9090909090909092	0.0909090909090909	0.9090909090909092	higher_in_UPEC	0.6239316239316239	0.7327784710606285	False	moderate_cellular_localization_support	0.8096414834696992	higher_in_UPEC
