final_figure	panel	panel_key	source_id	rank	candidate_score	candidate_path	candidate_filename	candidate_phase	candidate_columns	schema_read_error
Figure_1	D	Figure_1D	U26A_module_dictionary	6	61.0	project://06_tables/phaseU26A1_targeted_source_contrast_species_repair/UTI_HostOmics_U26A1_submodule_coverage_by_selected_source.tsv	UTI_HostOmics_U26A1_submodule_coverage_by_selected_source.tsv	phaseU26A1_targeted_source_contrast_species_repair	dataset;species;axis;submodule_id;display_label;n_module_genes;n_detected;coverage_fraction;coverage_class;detected_genes;missing_genes;interpretation_scope	
Figure_1	D	Figure_1D	U26A_module_dictionary	7	61.0	project://06_tables/phaseU26A2_GSE280297_identifier_design_resolution/UTI_HostOmics_U26A2_GSE280297_submodule_coverage.tsv	UTI_HostOmics_U26A2_GSE280297_submodule_coverage.tsv	phaseU26A2_GSE280297_identifier_design_resolution	dataset;axis;submodule_id;display_label;n_module_genes;n_detected;coverage_fraction;coverage_class;detected_genes;missing_genes;interpretation_scope	
Figure_1	D	Figure_1D	U26A_module_dictionary	8	44.0	project://06_tables/phaseU26A_expanded_endocrine_metabolic_immune_feasibility/UTI_HostOmics_U26A_axis_feasibility_summary.tsv	UTI_HostOmics_U26A_axis_feasibility_summary.tsv	phaseU26A_expanded_endocrine_metabolic_immune_feasibility	axis;n_submodules;n_main_candidates;n_secondary_candidates;n_exploratory;n_deferred;feasibility_score;axis_recommendation;proposed_figure_family	
Figure_1	E	Figure_1E	phase_workflow_manifest	1	22.0	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_normalized_output_manifest.tsv	UTI_HostOmics_U27A4_normalized_output_manifest.tsv	phaseU27A4_final_visual_audit	figure;format;source_path;normalized_path;source_filename;normalized_filename;source_prefix_mismatch;size_bytes	
Figure_1	E	Figure_1E	phase_workflow_manifest	2	22.0	project://03_metadata/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_grammar_manifest.tsv	UTI_HostOmics_U27A4_visual_grammar_manifest.tsv	phaseU27A4_final_visual_audit	figure;panel;visual_grammar	
Figure_1	E	Figure_1E	phase_workflow_manifest	3	17.0	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_pseudobulk_manifest.tsv	UTI_HostOmics_U26D2B_pseudobulk_manifest.tsv	phaseU26D2B_GSE252321_refined_celltype_pseudobulk	population_level;population;sample_id;condition;n_cells;library_size;detected_genes;complete_four_sample_population	
Figure_1	E	Figure_1E	phase_workflow_manifest	4	17.0	project://03_metadata/phaseU26D1A_GSE252321_flat_matrix_validation/UTI_HostOmics_U26D1A_sparse_matrix_manifest.tsv	UTI_HostOmics_U26D1A_sparse_matrix_manifest.tsv	phaseU26D1A_GSE252321_flat_matrix_validation	sample_id;condition;replicate;source_path;sparse_matrix_path;genes_path;cell_metadata_path;n_cells;n_genes;scale_class	
Figure_1	E	Figure_1E	phase_workflow_manifest	5	17.0	project://06_tables/phaseU27A31_visual_diversity_layout_repair/UTI_HostOmics_U27A31_figure_output_manifest.tsv	UTI_HostOmics_U27A31_figure_output_manifest.tsv	phaseU27A31_visual_diversity_layout_repair	figure;path;format;size_bytes	
Figure_1	E	Figure_1E	phase_workflow_manifest	6	17.0	project://06_tables/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_figure_output_manifest.tsv	UTI_HostOmics_U27A32_figure_output_manifest.tsv	phaseU27A32_final_title_spacing_repair	figure;path;format;size_bytes	
Figure_1	E	Figure_1E	phase_workflow_manifest	7	17.0	project://06_tables/phaseU27A2_journal_width_figure_repair/UTI_HostOmics_U27A2_figure_output_manifest.tsv	UTI_HostOmics_U27A2_figure_output_manifest.tsv	phaseU27A2_journal_width_figure_repair	figure;path;format;size_bytes	
