population_level	population	feature_id	display_label	axis	proposed_figure_family	requested_genes	detected_genes	coverage_fraction	score_eligible	mean_control_score	mean_UPEC_score	mean_difference_UPEC_minus_control	hedges_g_UPEC_vs_control	exact_permutation_p	module_mean_gene_log2FC	module_median_gene_log2FC	fraction_genes_positive_log2FC	fraction_genes_negative_log2FC	gene_direction_coherence	direction	exact_permutation_q_within_population
refined_subtype	C1Q_APOE_resident_macrophage	CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	catecholamine_stress_adjacent	Figure_9	15	14	0.9333333333333333	True	0.0013796837125145608	-0.0013796837125147551	-0.002759367425029316	-0.014959988124922611	1.0	0.19605672064637192	0.06341934165309672	0.5714285714285714	0.42857142857142855	0.5714285714285714	lower_in_UPEC	1.0
refined_subtype	C1Q_APOE_resident_macrophage	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	steroid_cholesterol_endocrine	Figure_7	19	18	0.9473684210526315	True	0.5339895477255274	-0.533989547725528	-1.0679790954510553	-0.8683636438970058	0.3333333333333333	-0.5868944408640104	-0.633470632172646	0.05555555555555555	0.9444444444444444	0.9444444444444444	lower_in_UPEC	0.6403508771929824
refined_subtype	C1Q_APOE_resident_macrophage	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	steroid_cholesterol_endocrine	Figure_7	19	16	0.8421052631578947	True	0.012717431327038786	-0.012717431327040098	-0.025434862654078884	-0.5507797556087471	0.6666666666666666	-0.06795211187841627	-0.07661046442228825	0.4375	0.5625	0.5625	lower_in_UPEC	0.9012345679012346
refined_subtype	C1Q_APOE_resident_macrophage	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	complement_architecture	Figure_10	11	5	0.45454545454545453	True	-0.06207300364299148	0.0620730036429904	0.12414600728598188	0.15959061148039902	0.6666666666666666	0.2789675577496447	-0.0566848006739189	0.4	0.6	0.6	higher_in_UPEC	0.9012345679012346
refined_subtype	C1Q_APOE_resident_macrophage	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	complement_architecture	Figure_10	12	10	0.8333333333333334	True	-0.4481324956626779	0.44813249566268004	0.896264991325358	1.778444023303184	0.3333333333333333	0.765283387054484	0.30031656068532175	0.9	0.1	0.9	higher_in_UPEC	0.6403508771929824
refined_subtype	C1Q_APOE_resident_macrophage	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	complement_architecture	Figure_10	10	7	0.7	True	-0.00396005575630539	0.003960055756304523	0.007920111512609913	0.029267413545518095	1.0	-0.02632535202737683	-0.0566848006739189	0.42857142857142855	0.5714285714285714	0.5714285714285714	higher_in_UPEC	1.0
refined_subtype	C1Q_APOE_resident_macrophage	COMPLEMENT_CLASSICAL	Classical complement pathway	complement_architecture	Figure_10	10	8	0.8	True	0.2058061132358382	-0.20580611323583847	-0.41161222647167667	-0.667834134570967	0.3333333333333333	-0.37451982935083816	-0.39207101183243065	0.25	0.75	0.75	lower_in_UPEC	0.6403508771929824
refined_subtype	C1Q_APOE_resident_macrophage	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	complement_architecture	Figure_10	16	10	0.625	True	-0.06248829168615782	0.06248829168615779	0.12497658337231561	0.42599028256812266	0.6666666666666666	0.47281519672511124	0.3578048650462011	0.5	0.5	0.5	higher_in_UPEC	0.9012345679012346
refined_subtype	C1Q_APOE_resident_macrophage	COMPLEMENT_LECTIN	Lectin complement pathway	complement_architecture	Figure_10	12	4	0.3333333333333333	False											not_scored	
refined_subtype	C1Q_APOE_resident_macrophage	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	complement_architecture	Figure_10	14	8	0.5714285714285714	True	0.029851703204402807	-0.029851703204403175	-0.05970340640880598	-0.1325956991005612	1.0	0.02998936375325323	-0.1296939078508963	0.5	0.5	0.5	lower_in_UPEC	1.0
