supplementary_table	column_position	column_name	column_origin
S5	33	C1_PRETERM_VS_TERM | placenta	source_union
S5	34	C1_PRETERM_VS_TERM | uterus	source_union
S5	35	C2_UPEC_VS_PBS_PREGNANCY | bladder	source_union
S5	36	C2_UPEC_VS_PBS_PREGNANCY | placenta	source_union
S5	37	C2_UPEC_VS_PBS_PREGNANCY | uterus	source_union
S5	38	C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder	source_union
S6	1	_supplementary_table	provenance
S6	2	_table_title	provenance
S6	3	_source_order	provenance
S6	4	_source_role	provenance
S6	5	_source_file	provenance
S6	6	_source_relative_path	provenance
S6	7	_source_sha256	provenance
S6	8	_source_row_number	provenance
S6	9	sample_id	source_union
S6	10	raw_first_header_name_as_read_by_pandas	source_union
S6	11	condition	source_union
S6	12	replicate	source_union
S6	13	source_path	source_union
S6	14	orientation	source_union
S6	15	gene_column	source_union
S6	16	n_genes	source_union
S6	17	n_cells	source_union
S6	18	n_nonzero_values	source_union
S6	19	sparsity_fraction	source_union
S6	20	invalid_gene_rows	source_union
S6	21	duplicate_gene_rows	source_union
S6	22	nonfinite_values_replaced_with_zero	source_union
S6	23	negative_values	source_union
S6	24	noninteger_fraction_sampled	source_union
S6	25	scale_class	source_union
S6	26	median_total_expression	source_union
S6	27	median_detected_genes	source_union
S6	28	median_pct_mitochondrial	source_union
S6	29	adaptive_qc_pass_cells	source_union
S6	30	adaptive_qc_pass_fraction	source_union
S6	31	suggested_total_expression_lower	source_union
S6	32	suggested_total_expression_upper	source_union
S6	33	suggested_detected_genes_lower	source_union
S6	34	suggested_detected_genes_upper	source_union
S6	35	suggested_pct_mito_upper	source_union
S6	36	sparse_matrix_path	source_union
S6	37	genes_path	source_union
S6	38	cell_metadata_path	source_union
S6	39	validation_error	source_union
S6	40	cluster	source_union
S6	41	rank	source_union
S6	42	gene_symbol	source_union
S6	43	cluster_mean_log_expression	source_union
S6	44	outside_mean_log_expression	source_union
S6	45	specificity_difference	source_union
S6	46	global_mean_log_expression	source_union
S6	47	broad_cell_type	source_union
S6	48	fraction_of_QC_cells	source_union
S6	49	refined_cell_subtype	source_union
S7	1	_supplementary_table	provenance
S7	2	_table_title	provenance
S7	3	_source_order	provenance
S7	4	_source_role	provenance
S7	5	_source_file	provenance
S7	6	_source_relative_path	provenance
S7	7	_source_sha256	provenance
S7	8	_source_row_number	provenance
S7	9	feature_id	source_union
S7	10	display_label	source_union
S7	11	axis	source_union
S7	12	proposed_figure_family	source_union
S7	13	n_complete_populations	source_union
S7	14	n_positive_populations	source_union
S7	15	n_negative_populations	source_union
S7	16	directional_coherence_fraction	source_union
S7	17	dominant_direction	source_union
S7	18	top_absolute_effect_population	source_union
S7	19	top_absolute_effect_hedges_g	source_union
S7	20	top_positive_population	source_union
S7	21	top_positive_hedges_g	source_union
S7	22	top_negative_population	source_union
S7	23	top_negative_hedges_g	source_union
S7	24	median_effect	source_union
S7	25	median_absolute_effect	source_union
S7	26	n_populations_abs_g_ge_0_5	source_union
S7	27	n_populations_abs_g_ge_0_8	source_union
S7	28	median_gene_direction_coherence	source_union
S7	29	biological_priority	source_union
S7	30	manuscript_claim_priority	source_union
S7	31	refined_infection_outcome_relation	source_union
S7	32	is_predefined_focus_module	source_union
S8	1	_supplementary_table	provenance
S8	2	_table_title	provenance
S8	3	_source_order	provenance
S8	4	_source_role	provenance
S8	5	_source_file	provenance
S8	6	_source_relative_path	provenance
S8	7	_source_sha256	provenance
S8	8	_source_row_number	provenance
S8	9	feature_id	source_union
S8	10	display_label	source_union
S8	11	axis	source_union
S8	12	proposed_figure_family	source_union
S8	13	n_populations	source_union
S8	14	n_positive_populations	source_union
S8	15	n_negative_populations	source_union
S8	16	directional_coherence_fraction	source_union
S8	17	n_high_or_moderate_populations	source_union
S8	18	top_population_by_composite_score	source_union
S8	19	top_population_composite_score	source_union
S8	20	top_population_evidence_class	source_union
S8	21	top_population_mean_gene_log2FC	source_union
S8	22	top_population_gene_direction_coherence	source_union
S8	23	top_population_hedges_g	source_union
S8	24	top_population_variance_sensitive_g	source_union
S8	25	top_to_second_score_ratio	source_union
S8	26	cellular_localization_class	source_union
S8	27	median_mean_gene_log2FC	source_union
S8	28	median_gene_direction_coherence	source_union
S8	29	median_composite_score	source_union
S8	30	top_refined_subtype	source_union
S8	31	top_refined_subtype_composite_score	source_union
S8	32	top_refined_subtype_mean_gene_log2FC	source_union
S8	33	top_refined_subtype_gene_direction_coherence	source_union
S8	34	top_refined_subtype_hedges_g	source_union
S8	35	top_refined_subtype_variance_sensitive_g	source_union
S8	36	biological_priority	source_union
S8	37	manuscript_claim_priority	source_union
S8	38	refined_infection_outcome_relation	source_union
S9	1	_supplementary_table	provenance
S9	2	_table_title	provenance
S9	3	_source_order	provenance
S9	4	_source_role	provenance
S9	5	_source_file	provenance
S9	6	_source_relative_path	provenance
S9	7	_source_sha256	provenance
S9	8	_source_row_number	provenance
S9	9	source_path	source_union
S9	10	package_path	source_union
S9	11	format	source_union
S9	12	size_bytes	source_union
S9	13	source_sha256	source_union
S9	14	package_sha256	source_union
S9	15	checksum_match	source_union
S9	16	png_width_px	source_union
S9	17	png_height_px	source_union
S9	18	asset_type	source_union
S9	19	figure_number	source_union
S9	20	panel	source_union
S9	21	source_freeze_phase	source_union
S9	22	final_figure	source_union
S9	23	figure_title	source_union
S9	24	panel_key	source_union
S9	25	panel_title	source_union
S9	26	panel_title_source_column	source_union
S9	27	source_id	source_union
S9	28	construction_mode	source_union
S9	29	primary_source	source_union
S9	30	figure_png	source_union
S9	31	figure_svg	source_union
S9	32	figure_pdf	source_union
S9	33	panel_crop	source_union
S9	34	source_value_table	source_union
S9	35	frozen_panel_title	source_union
S9	36	definitive_panel_legend	source_union
S9	37	source_roles	source_union
S9	38	source_paths	source_union
S9	39	source_value_rows_for_panel	source_union
S10	1	_supplementary_table	provenance
S10	2	_table_title	provenance
S10	3	_source_order	provenance
S10	4	_source_role	provenance
S10	5	_source_file	provenance
S10	6	_source_relative_path	provenance
S10	7	_source_sha256	provenance
S10	8	_source_row_number	provenance
S10	9	caveat_id	source_union
S10	10	required_statement	source_union
S10	11	figure_scope	source_union
S10	12	finding_type	source_union
S10	13	allowed_wording	source_union
S10	14	avoid_wording	source_union
S10	15	rule_id	source_union
S10	16	term	source_union
S10	17	rule	source_union
S10	18	scientific_identity	source_union
S10	19	source_manuscript	source_union
S10	20	source_sha256_before	source_union
S10	21	source_sha256_after	source_union
S10	22	source_unchanged	source_union
S10	23	corrected_manuscript	source_union
S10	24	corrected_sha256	source_union
S10	25	text_equivalent_except_accession_and_version_labels	source_union
S10	26	source_wrong_accession_occurrences	source_union
S10	27	corrected_wrong_accession_occurrences	source_union
S10	28	corrected_correct_accession_occurrences	source_union
S10	29	results_wrong_accession_absent	source_union
S10	30	results_correct_accession_present	source_union
S10	31	embedded_images_before	source_union
S10	32	embedded_images_after	source_union
S10	33	embedded_images_match_frozen_png_masters	source_union
S10	34	figures_require_rebuild	source_union
S10	35	scientific_values_recalculated	source_union
S10	36	source_locks_changed	source_union
