supplementary_table	table_title	source_order	source_status	source_path	source_relative_path	source_exists	source_supported_tabular_format	source_sha256	source_size_bytes	source_read_status	source_column_count	source_columns
S5	GSE280297 pregnancy, tissue and outcome-specific module effects.	1	PROVISIONAL_HIGH_CONFIDENCE	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_tissue_effects.tsv	06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_tissue_effects.tsv	True	True	74a3379cd92d8c9ff4f8f11a14a8cb1cc049f13d22e3b43d1e272492308e21c6	49813	READY	12	dataset; analysis_family; tissue; feature_type; axis; feature_id; display_label; proposed_figure_family; effect_value; q_value; fdr_0_10; direction
S5	GSE280297 pregnancy, tissue and outcome-specific module effects.	2	PROVISIONAL_HIGH_CONFIDENCE	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_collapsed.tsv	06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_collapsed.tsv	True	True	970f62d1dce9c1afeba512bf140303754266c0d4243a5b0941a6f42e6e2bd0b2	27689	READY	20	dataset; primary_context; feature_type; axis; feature_id; display_label; proposed_figure_family; effect_value; mean_tissue_effect; effect_metric; n_tissues; n_positive_tissues; n_negative_tissues; tissue_directional_coherence; direction; fdr_0_10; best_tissue_q_value; evidence_weight; interpretation_role; absolute_effect
S5	GSE280297 pregnancy, tissue and outcome-specific module effects.	3	PROVISIONAL_HIGH_CONFIDENCE	project://06_tables/phaseU27B2C2A_GSE280297_full_effect_source_repair/UTI_HostOmics_U27B2C2A_GSE280297_full_tissue_effect_matrix.tsv	06_tables/phaseU27B2C2A_GSE280297_full_effect_source_repair/UTI_HostOmics_U27B2C2A_GSE280297_full_tissue_effect_matrix.tsv	True	True	d9e38653bca7cb06fc85a13e761c1df5d4cc4acc2cf87c4dba52eeb7bd1c1878	13360	READY	8	feature_id; C1_PRETERM_VS_TERM | bladder; C1_PRETERM_VS_TERM | placenta; C1_PRETERM_VS_TERM | uterus; C2_UPEC_VS_PBS_PREGNANCY | bladder; C2_UPEC_VS_PBS_PREGNANCY | placenta; C2_UPEC_VS_PBS_PREGNANCY | uterus; C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder
S6	GSE252321 quality control, cluster markers, broad populations and refined subtypes.	1	PROVISIONAL_COMPOSITE_REVIEW	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_refined_subtype_module_results.tsv	06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_refined_subtype_module_results.tsv	True	True	215178f5c2377a4aa4e6c71db391e5721694ae551ab4d0e5a6cfceae50c935ed	383828	READY	22	population_level; population; feature_id; display_label; axis; proposed_figure_family; requested_genes; detected_genes; coverage_fraction; score_eligible; mean_control_score; mean_UPEC_score; mean_difference_UPEC_minus_control; hedges_g_UPEC_vs_control; exact_permutation_p; module_mean_gene_log2FC; module_median_gene_log2FC; fraction_genes_positive_log2FC; fraction_genes_negative_log2FC; gene_direction_coherence; direction; exact_permutation_q_within_population
S6	GSE252321 quality control, cluster markers, broad populations and refined subtypes.	2	PROVISIONAL_COMPOSITE_REVIEW	project://06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_cluster_top_markers.tsv	06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_cluster_top_markers.tsv	True	True	630e54a57249d904758a482d0ab18c4750d95823a2b68a3a299d2b6d7df5fce5	23872	READY	7	cluster; rank; gene_symbol; cluster_mean_log_expression; outside_mean_log_expression; specificity_difference; global_mean_log_expression
S6	GSE252321 quality control, cluster markers, broad populations and refined subtypes.	3	PROVISIONAL_COMPOSITE_REVIEW	project://06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_cluster_marker_panel_scores.tsv	06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_cluster_marker_panel_scores.tsv	True	True	a6b8506af3017b650a5ec0cbe315fb6d62b13d88d244417384ea557a635d5441	2489	READY	12	cluster; urothelial_epithelial; macrophage_monocyte; dendritic; neutrophil; T_cell; B_cell; NK_cell; endothelial; fibroblast; smooth_muscle_pericyte; mast_cell
S7	Broad-cell and refined-subtype pseudobulk module localization results.	1	PROVISIONAL_HIGH_CONFIDENCE	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_broad_cellular_localization.tsv	06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_broad_cellular_localization.tsv	True	True	8f1ef011534f1cb1c8798a4dbc386be358d81074d686f4a12c39f6c7921d5156	19587	READY	20	feature_id; display_label; axis; proposed_figure_family; n_complete_populations; n_positive_populations; n_negative_populations; directional_coherence_fraction; dominant_direction; top_absolute_effect_population; top_absolute_effect_hedges_g; top_positive_population; top_positive_hedges_g; top_negative_population; top_negative_hedges_g; median_effect; median_absolute_effect; n_populations_abs_g_ge_0_5; n_populations_abs_g_ge_0_8; median_gene_direction_coherence
S7	Broad-cell and refined-subtype pseudobulk module localization results.	2	PROVISIONAL_HIGH_CONFIDENCE	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_core_module_cellular_localization.tsv	06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_core_module_cellular_localization.tsv	True	True	edee3c23bac107a91f1b471e22d3d18449173f767b29fa0d6edb3ef84d83946b	21268	READY	24	feature_id; display_label; axis; proposed_figure_family; n_complete_populations; n_positive_populations; n_negative_populations; directional_coherence_fraction; dominant_direction; top_absolute_effect_population; top_absolute_effect_hedges_g; top_positive_population; top_positive_hedges_g; top_negative_population; top_negative_hedges_g; median_effect; median_absolute_effect; n_populations_abs_g_ge_0_5; n_populations_abs_g_ge_0_8; median_gene_direction_coherence; biological_priority; manuscript_claim_priority; refined_infection_outcome_relation; is_predefined_focus_module
S7	Broad-cell and refined-subtype pseudobulk module localization results.	3	PROVISIONAL_HIGH_CONFIDENCE	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_subtype_cellular_localization.tsv	06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_subtype_cellular_localization.tsv	True	True	4b72f1d967a877c3e4efad5eb837b4e731cadb700d0a926c4781f5d77ca5e948	23329	READY	20	feature_id; display_label; axis; proposed_figure_family; n_complete_populations; n_positive_populations; n_negative_populations; directional_coherence_fraction; dominant_direction; top_absolute_effect_population; top_absolute_effect_hedges_g; top_positive_population; top_positive_hedges_g; top_negative_population; top_negative_hedges_g; median_effect; median_absolute_effect; n_populations_abs_g_ge_0_5; n_populations_abs_g_ge_0_8; median_gene_direction_coherence
S8	Complement-stage and endocrine-metabolic cellular attribution tables.	1	PROVISIONAL_HIGH_CONFIDENCE	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_core_module_cellular_attribution.tsv	06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_core_module_cellular_attribution.tsv	True	True	ada04434b6b76c1676fb190a526ad85f470e8a10775d43ec443a601c853a172f	5977	READY	30	feature_id; display_label; axis; proposed_figure_family; n_populations; n_positive_populations; n_negative_populations; directional_coherence_fraction; n_high_or_moderate_populations; top_population_by_composite_score; top_population_composite_score; top_population_evidence_class; top_population_mean_gene_log2FC; top_population_gene_direction_coherence; top_population_hedges_g; top_population_variance_sensitive_g; top_to_second_score_ratio; cellular_localization_class; median_mean_gene_log2FC; median_gene_direction_coherence; median_composite_score; top_refined_subtype; top_refined_subtype_composite_score; top_refined_subtype_mean_gene_log2FC; top_refined_subtype_gene_direction_coherence; top_refined_subtype_hedges_g; top_refined_subtype_variance_sensitive_g; biological_priority; manuscript_claim_priority; refined_infection_outcome_relation
S8	Complement-stage and endocrine-metabolic cellular attribution tables.	2	PROVISIONAL_HIGH_CONFIDENCE	project://05_results/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_run_manifest.json	05_results/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_run_manifest.json	True	False	0a2e29861b6978e2faa9a5ee80a4bfbe58736296ebe30012cb15b71bd863f39f	752	UNSUPPORTED_FORMAT		
S8	Complement-stage and endocrine-metabolic cellular attribution tables.	3	PROVISIONAL_HIGH_CONFIDENCE	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_phase_decision.tsv	06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_phase_decision.tsv	True	True	993d2f086744b4a12aa04d4113ebdcaf559799daa8a30a9129d196b332d3f713	433	READY	13	phase; decision; dataset; n_expression_samples; n_library_submodules; n_score_eligible_submodules; n_contrast_results; n_FDR_0_05_results; n_FDR_0_10_results; dam_level_model; manuscript_modified; existing_figures_modified; next_phase
S9	Figure 1-8 source-value manifest and panel-level provenance registry.	1	LOCKED_HIGH_CONFIDENCE	project://03_metadata/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_complete_asset_manifest.tsv	03_metadata/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_complete_asset_manifest.tsv	True	True	8bb67464561f749f217c1f7982bce5312c878574e1abf4524143671d5a8634ae	39896	READY	13	source_path; package_path; format; size_bytes; source_sha256; package_sha256; checksum_match; png_width_px; png_height_px; asset_type; figure_number; panel; source_freeze_phase
S9	Figure 1-8 source-value manifest and panel-level provenance registry.	2	LOCKED_HIGH_CONFIDENCE	project://03_metadata/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_figure_and_panel_title_registry.tsv	03_metadata/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_figure_and_panel_title_registry.tsv	True	True	1fe686d0b9c874415983884ea51782d5acc8e20dd0badaec3b5d57a232dd3b43	49496	READY	15	figure_number; final_figure; figure_title; panel; panel_key; panel_title; panel_title_source_column; source_id; construction_mode; primary_source; figure_png; figure_svg; figure_pdf; panel_crop; source_value_table
S9	Figure 1-8 source-value manifest and panel-level provenance registry.	3	LOCKED_HIGH_CONFIDENCE	project://03_metadata/phaseU27B3B_definitive_figure_legend_construction/UTI_HostOmics_U27B3B_panel_legend_provenance_registry.tsv	03_metadata/phaseU27B3B_definitive_figure_legend_construction/UTI_HostOmics_U27B3B_panel_legend_provenance_registry.tsv	True	True	4d1f318c550706782a3bbed5e9a5e04ad29b793bfcad55bd1c2fb25127098e8a	56854	READY	12	figure_number; figure_title; panel; panel_key; frozen_panel_title; definitive_panel_legend; source_roles; source_paths; source_value_table; source_value_rows_for_panel; panel_crop; figure_svg
S10	Interpretation-boundary, sensitivity and manuscript claim-traceability register.	1	LOCKED_HIGH_CONFIDENCE	project://03_metadata/phaseU27B3B_definitive_figure_legend_construction/UTI_HostOmics_U27B3B_caveat_terminology_registry.tsv	03_metadata/phaseU27B3B_definitive_figure_legend_construction/UTI_HostOmics_U27B3B_caveat_terminology_registry.tsv	True	True	eb86b34049b11c8dd04cbbaab3deedf56854ff2f6eaa1bb1d61b0349b0d8e67d	963	READY	3	caveat_id; required_statement; figure_scope
S10	Interpretation-boundary, sensitivity and manuscript claim-traceability register.	2	LOCKED_HIGH_CONFIDENCE	project://06_tables/phaseU27B3C31_corrected_results_scientific_audit/UTI_HostOmics_U27B3C31_results_scientific_content_audit.tsv	06_tables/phaseU27B3C31_corrected_results_scientific_audit/UTI_HostOmics_U27B3C31_results_scientific_content_audit.tsv	True	True	99bae40bcb33d2d3801e21dd8ca8ea2e23ee7b3f16763ddc7981e5c48a06b44c	2133	READY	5	audit_type; audit_id; required_terms_or_rule; pass; rationale
S10	Interpretation-boundary, sensitivity and manuscript claim-traceability register.	3	LOCKED_HIGH_CONFIDENCE	project://06_tables/phaseU27B3C31_corrected_results_scientific_audit/UTI_HostOmics_U27B3C31_false_negative_correction_rationale.tsv	06_tables/phaseU27B3C31_corrected_results_scientific_audit/UTI_HostOmics_U27B3C31_false_negative_correction_rationale.tsv	True	True	5a7e14ae788328db10a8147974cabdcd383772510f48911d176f28d416acbc31	595	READY	4	previous_failed_audit; previous_rule; corrected_rule; manuscript_content_changed
