supplementary_table	column_position	column_name	column_origin
S6	25	fraction_genes_positive_log2FC	source_union
S6	26	fraction_genes_negative_log2FC	source_union
S6	27	gene_direction_coherence	source_union
S6	28	direction	source_union
S6	29	exact_permutation_q_within_population	source_union
S6	30	cluster	source_union
S6	31	rank	source_union
S6	32	gene_symbol	source_union
S6	33	cluster_mean_log_expression	source_union
S6	34	outside_mean_log_expression	source_union
S6	35	specificity_difference	source_union
S6	36	global_mean_log_expression	source_union
S6	37	urothelial_epithelial	source_union
S6	38	macrophage_monocyte	source_union
S6	39	dendritic	source_union
S6	40	neutrophil	source_union
S6	41	T_cell	source_union
S6	42	B_cell	source_union
S6	43	NK_cell	source_union
S6	44	endothelial	source_union
S6	45	fibroblast	source_union
S6	46	smooth_muscle_pericyte	source_union
S6	47	mast_cell	source_union
S7	1	_supplementary_table	provenance
S7	2	_table_title	provenance
S7	3	_source_order	provenance
S7	4	_source_file	provenance
S7	5	_source_relative_path	provenance
S7	6	_source_sha256	provenance
S7	7	_source_row_number	provenance
S7	8	feature_id	source_union
S7	9	display_label	source_union
S7	10	axis	source_union
S7	11	proposed_figure_family	source_union
S7	12	n_complete_populations	source_union
S7	13	n_positive_populations	source_union
S7	14	n_negative_populations	source_union
S7	15	directional_coherence_fraction	source_union
S7	16	dominant_direction	source_union
S7	17	top_absolute_effect_population	source_union
S7	18	top_absolute_effect_hedges_g	source_union
S7	19	top_positive_population	source_union
S7	20	top_positive_hedges_g	source_union
S7	21	top_negative_population	source_union
S7	22	top_negative_hedges_g	source_union
S7	23	median_effect	source_union
S7	24	median_absolute_effect	source_union
S7	25	n_populations_abs_g_ge_0_5	source_union
S7	26	n_populations_abs_g_ge_0_8	source_union
S7	27	median_gene_direction_coherence	source_union
S7	28	biological_priority	source_union
S7	29	manuscript_claim_priority	source_union
S7	30	refined_infection_outcome_relation	source_union
S7	31	is_predefined_focus_module	source_union
S8	1	_supplementary_table	provenance
S8	2	_table_title	provenance
S8	3	_source_order	provenance
S8	4	_source_file	provenance
S8	5	_source_relative_path	provenance
S8	6	_source_sha256	provenance
S8	7	_source_row_number	provenance
S8	8	feature_id	source_union
S8	9	display_label	source_union
S8	10	axis	source_union
S8	11	proposed_figure_family	source_union
S8	12	n_populations	source_union
S8	13	n_positive_populations	source_union
S8	14	n_negative_populations	source_union
S8	15	directional_coherence_fraction	source_union
S8	16	n_high_or_moderate_populations	source_union
S8	17	top_population_by_composite_score	source_union
S8	18	top_population_composite_score	source_union
S8	19	top_population_evidence_class	source_union
S8	20	top_population_mean_gene_log2FC	source_union
S8	21	top_population_gene_direction_coherence	source_union
S8	22	top_population_hedges_g	source_union
S8	23	top_population_variance_sensitive_g	source_union
S8	24	top_to_second_score_ratio	source_union
S8	25	cellular_localization_class	source_union
S8	26	median_mean_gene_log2FC	source_union
S8	27	median_gene_direction_coherence	source_union
S8	28	median_composite_score	source_union
S8	29	top_refined_subtype	source_union
S8	30	top_refined_subtype_composite_score	source_union
S8	31	top_refined_subtype_mean_gene_log2FC	source_union
S8	32	top_refined_subtype_gene_direction_coherence	source_union
S8	33	top_refined_subtype_hedges_g	source_union
S8	34	top_refined_subtype_variance_sensitive_g	source_union
S8	35	biological_priority	source_union
S8	36	manuscript_claim_priority	source_union
S8	37	refined_infection_outcome_relation	source_union
S8	38	phase	source_union
S8	39	decision	source_union
S8	40	dataset	source_union
S8	41	n_expression_samples	source_union
S8	42	n_library_submodules	source_union
S8	43	n_score_eligible_submodules	source_union
S8	44	n_contrast_results	source_union
S8	45	n_FDR_0_05_results	source_union
S8	46	n_FDR_0_10_results	source_union
S8	47	dam_level_model	source_union
S8	48	manuscript_modified	source_union
S8	49	existing_figures_modified	source_union
S8	50	next_phase	source_union
S9	1	_supplementary_table	provenance
S9	2	_table_title	provenance
S9	3	_source_order	provenance
S9	4	_source_file	provenance
S9	5	_source_relative_path	provenance
S9	6	_source_sha256	provenance
S9	7	_source_row_number	provenance
S9	8	source_path	source_union
S9	9	package_path	source_union
S9	10	format	source_union
S9	11	size_bytes	source_union
S9	12	source_sha256	source_union
S9	13	package_sha256	source_union
S9	14	checksum_match	source_union
S9	15	png_width_px	source_union
S9	16	png_height_px	source_union
S9	17	asset_type	source_union
S9	18	figure_number	source_union
S9	19	panel	source_union
S9	20	source_freeze_phase	source_union
S9	21	final_figure	source_union
S9	22	figure_title	source_union
S9	23	panel_key	source_union
S9	24	panel_title	source_union
S9	25	panel_title_source_column	source_union
S9	26	source_id	source_union
S9	27	construction_mode	source_union
S9	28	primary_source	source_union
S9	29	figure_png	source_union
S9	30	figure_svg	source_union
S9	31	figure_pdf	source_union
S9	32	panel_crop	source_union
S9	33	source_value_table	source_union
S9	34	frozen_panel_title	source_union
S9	35	definitive_panel_legend	source_union
S9	36	source_roles	source_union
S9	37	source_paths	source_union
S9	38	source_value_rows_for_panel	source_union
S10	1	_supplementary_table	provenance
S10	2	_table_title	provenance
S10	3	_source_order	provenance
S10	4	_source_file	provenance
S10	5	_source_relative_path	provenance
S10	6	_source_sha256	provenance
S10	7	_source_row_number	provenance
S10	8	caveat_id	source_union
S10	9	required_statement	source_union
S10	10	figure_scope	source_union
S10	11	audit_type	source_union
S10	12	audit_id	source_union
S10	13	required_terms_or_rule	source_union
S10	14	pass	source_union
S10	15	rationale	source_union
S10	16	previous_failed_audit	source_union
S10	17	previous_rule	source_union
S10	18	corrected_rule	source_union
S10	19	manuscript_content_changed	source_union
