dataset	primary_context	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	effect_metric	direction	fdr_0_10	q_value	evidence_weight	interpretation_role	mean_tissue_effect	n_tissues	n_positive_tissues	n_negative_tissues	tissue_directional_coherence	best_tissue_q_value
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	steroid_cholesterol_endocrine	MINERALOCORTICOID_RESPONSE	Mineralocorticoid response	Figure_7	0.0583273050407469	standardized_module_score_beta	positive	False	0.8262878457488857	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	steroid_cholesterol_endocrine	STEROID_SULFATION_DESULFATION	Steroid sulfation and desulfation	Figure_7	-0.0708935816515748	standardized_module_score_beta	negative	False	0.4656559912982684	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	steroid_cholesterol_endocrine	STEROID_CATABOLISM_DEACTIVATION	Steroid catabolism and deactivation	Figure_7	-0.2186252889961534	standardized_module_score_beta	negative	True	0.0465979692782947	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	steroid_cholesterol_endocrine	PLACENTAL_STEROID_METABOLISM	Placental steroid metabolism	Figure_7	-0.1552334804905158	standardized_module_score_beta	negative	False	0.4294169260143256	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	steroid_cholesterol_endocrine	LXR_FXR_STEROL_SIGNALING	LXR and FXR sterol signaling	Figure_7	0.1135367031053207	standardized_module_score_beta	positive	False	0.3448090158699152	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	Figure_7	0.1914504339034529	standardized_module_score_beta	positive	False	0.1436501811691202	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	lipid_metabolism	FATTY_ACID_BETA_OXIDATION	Fatty-acid beta-oxidation	Figure_7	0.2256807636952512	standardized_module_score_beta	positive	True	0.0543343966247782	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	lipid_metabolism	PHOSPHOLIPID_METABOLISM	Phospholipid metabolism	Figure_7	0.1203112510912059	standardized_module_score_beta	positive	False	0.3404777100583661	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	lipid_metabolism	SPHINGOLIPID_CERAMIDE_METABOLISM	Sphingolipid and ceramide metabolism	Figure_7	0.1139925512554323	standardized_module_score_beta	positive	False	0.3245860945182229	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	lipid_metabolism	EICOSANOID_PROSTAGLANDIN_METABOLISM	Eicosanoid and prostaglandin metabolism	Figure_7	0.0579459508802494	standardized_module_score_beta	positive	False	0.4998092052304117	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	lipid_metabolism	LIPID_DROPLET_DYNAMICS	Lipid-droplet dynamics	Figure_7	-0.0227324261508932	standardized_module_score_beta	negative	False	0.8538894648656974	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	lipid_metabolism	PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	Figure_7	0.1797243181778398	standardized_module_score_beta	positive	True	0.076620524527296	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	lipid_metabolism	FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	Figure_7	0.3002258391147833	standardized_module_score_beta	positive	True	0.0243664042580001	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	carbohydrate_inflammatory_carbon	GLYCOLYSIS	Glycolysis	Figure_8	0.5185656802666957	standardized_module_score_beta	positive	True	0.0031334957736074	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	carbohydrate_inflammatory_carbon	GLUCONEOGENESIS	Gluconeogenesis	Figure_8	0.0496102211152646	standardized_module_score_beta	positive	False	0.8262878457488857	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8	0.1062257048368329	standardized_module_score_beta	positive	False	0.44916790682154	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	carbohydrate_inflammatory_carbon	GLYCOGENOLYSIS	Glycogenolysis	Figure_8	0.0877168032773398	standardized_module_score_beta	positive	False	0.2629853498955862	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	carbohydrate_inflammatory_carbon	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	Figure_8	0.2951959645232309	standardized_module_score_beta	positive	True	0.0737395341219679	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	carbohydrate_inflammatory_carbon	TCA_OXPHOS	TCA cycle and oxidative phosphorylation	Figure_8	0.3732675129944998	standardized_module_score_beta	positive	False	0.1436501811691202	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	carbohydrate_inflammatory_carbon	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	Figure_8	0.4356061682165955	standardized_module_score_beta	positive	True	0.0147382578482227	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	carbohydrate_inflammatory_carbon	AMPK_SIGNALING	AMPK signaling	Figure_8	0.0912333779816898	standardized_module_score_beta	positive	False	0.4956886695717953	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	carbohydrate_inflammatory_carbon	MTOR_SIGNALING	mTOR signaling	Figure_8	0.1658902685957299	standardized_module_score_beta	positive	False	0.169890002712316	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	carbohydrate_inflammatory_carbon	GLUCOSE_TRANSPORT	Glucose transport	Figure_8	-0.0074389721454807	standardized_module_score_beta	negative	False	0.972017713781944	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	carbohydrate_inflammatory_carbon	AGE_RAGE_SIGNALING	AGE-RAGE signaling	Figure_8	0.326309686440406	standardized_module_score_beta	positive	True	0.0261141656650057	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8	0.1895567262598622	standardized_module_score_beta	positive	False	0.130976540396795	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8	0.3307016024578986	standardized_module_score_beta	positive	True	0.0320706242949746	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	insulin_irs_signaling	MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	Figure_8	-0.1022837497517187	standardized_module_score_beta	negative	False	0.4476750421274387	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	insulin_irs_signaling	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	Figure_8	-0.0960134131400937	standardized_module_score_beta	negative	False	0.5070611472459167	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8	0.3544038788068854	standardized_module_score_beta	positive	True	0.0225631882649487	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	adipokine_signaling	ADIPONECTIN_SIGNALING	Adiponectin signaling	Figure_8	0.08806568020472	standardized_module_score_beta	positive	False	0.5710087795116244	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	Figure_8	0.4390215145607949	standardized_module_score_beta	positive	True	0.0190375154413734	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	adipokine_signaling	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	Figure_8	0.1824122944479139	standardized_module_score_beta	positive	True	0.0936905331941422	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	adipokine_signaling	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	Figure_8	0.1889232013025937	standardized_module_score_beta	positive	True	0.0425916387252959	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	amino_acid_metabolism	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	Figure_9	0.0768810538979621	standardized_module_score_beta	positive	False	0.6479481598712069	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	Figure_9	0.2146944226443078	standardized_module_score_beta	positive	True	0.0147382578482227	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	Figure_9	0.1327548873334487	standardized_module_score_beta	positive	False	0.2211709840519566	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	Figure_9	0.0384411364032991	standardized_module_score_beta	positive	False	0.8622392255750516	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	Figure_9	0.0516259439412049	standardized_module_score_beta	positive	False	0.4810612253465133	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	Figure_9	-0.1862118565546487	standardized_module_score_beta	negative	False	0.2435018919676378	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	Figure_9	0.0287254082302419	standardized_module_score_beta	positive	False	0.8867408930904233	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9	0.1404068355936765	standardized_module_score_beta	positive	False	0.1823443553225024	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	catecholamine_stress_adjacent	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	Figure_9	0.0011385077404699	standardized_module_score_beta	positive	False	0.9929670741100868	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	catecholamine_stress_adjacent	ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	Figure_9	-0.1037657546558687	standardized_module_score_beta	negative	False	0.5070611472459167	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	catecholamine_stress_adjacent	CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	Figure_9	0.2860909962081489	standardized_module_score_beta	positive	True	0.0414363305911398	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	nucleotide_nad_nitrogen	PURINE_DE_NOVO_SYNTHESIS	De novo purine synthesis	Figure_9	0.0383965868849303	standardized_module_score_beta	positive	False	0.8622392255750516	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	nucleotide_nad_nitrogen	PURINE_SALVAGE	Purine salvage	Figure_9	0.1052499651364488	standardized_module_score_beta	positive	False	0.1404787643573878	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	nucleotide_nad_nitrogen	PURINE_DEGRADATION_URATE	Purine degradation and urate	Figure_9	0.1355041120256747	standardized_module_score_beta	positive	False	0.2629853498955862	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	nucleotide_nad_nitrogen	PYRIMIDINE_SYNTHESIS	Pyrimidine synthesis	Figure_9	0.0408975696727284	standardized_module_score_beta	positive	False	0.8409164549961382	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	nucleotide_nad_nitrogen	PYRIMIDINE_DEGRADATION	Pyrimidine degradation	Figure_9	0.477190556982652	standardized_module_score_beta	positive	True	0.0005353134336912	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	nucleotide_nad_nitrogen	NAD_METABOLISM	NAD metabolism	Figure_9	-0.0044881356642911	standardized_module_score_beta	negative	False	0.9608187676359404	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	nucleotide_nad_nitrogen	UREA_CYCLE	Urea cycle	Figure_9	0.2398267873201662	standardized_module_score_beta	positive	True	0.0212941094705107	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	nucleotide_nad_nitrogen	NITRIC_OXIDE_SYNTHESIS_REGULATION	Nitric-oxide synthesis and regulation	Figure_9	0.1615592561998442	standardized_module_score_beta	positive	True	0.076620524527296	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	nucleotide_nad_nitrogen	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	Xanthine oxidase and oxidative purine catabolism	Figure_9	0.5129682817281497	standardized_module_score_beta	positive	True	0.0011855552947801	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_CLASSICAL	Classical complement pathway	Figure_10	0.0481606422615459	standardized_module_score_beta	positive	False	0.8262878457488857	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_LECTIN	Lectin complement pathway	Figure_10	-0.0446266659758271	standardized_module_score_beta	negative	False	0.8809634781779699	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	Figure_10	-0.2673400614452372	standardized_module_score_beta	negative	True	0.0212941094705107	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	Figure_10	-0.0329963243063644	standardized_module_score_beta	negative	False	0.8359938677265438	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_TERMINAL_MAC	Terminal complement and membrane-attack complex	Figure_10	-0.0420122454242515	standardized_module_score_beta	negative	False	0.8622392255750516	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_REGULATORS	Complement regulators	Figure_10	0.092324943325621	standardized_module_score_beta	positive	False	0.4116777053355077	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	Figure_10	-0.011913044939347	standardized_module_score_beta	negative	False	0.9608187676359404	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10	0.5414109040698384	standardized_module_score_beta	positive	True	0.0023884175642688	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10	0.5287083346929622	standardized_module_score_beta	positive	True	0.0047057391283306	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	immune_context_anchors	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	Integrated_network	0.2496277356094969	standardized_module_score_beta	positive	True	0.0326117192448908	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	immune_context_anchors	NFKB_MAPK_INFLAMMATION_ANCHOR	NF-kB and MAPK inflammation anchor	Integrated_network	0.401604812956293	standardized_module_score_beta	positive	True	0.0243664042580001	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	immune_context_anchors	NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	Integrated_network	0.4717524899299532	standardized_module_score_beta	positive	True	0.0031334957736074	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	immune_context_anchors	OXIDATIVE_STRESS_NRF2_ANCHOR	Oxidative stress and NRF2 anchor	Integrated_network	0.3829277009351329	standardized_module_score_beta	positive	True	0.080050484111799	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	immune_context_anchors	UROTHELIAL_BARRIER_REPAIR_ANCHOR	Urothelial barrier and repair anchor	Integrated_network	-0.1897392554548004	standardized_module_score_beta	negative	False	0.3911290941579322	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	immune_context_anchors	PREGNANCY_INFLAMMATION_ANCHOR	Pregnancy-associated inflammation anchor	Integrated_network	0.2899979429498678	standardized_module_score_beta	positive	True	0.0147382578482227	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	composite_index	composite_index	STEROID_INFLAMMATORY_IMBALANCE_INDEX	Steroid Inflammatory Imbalance Index	Integrated_network	0.193361135557608	standardized_module_score_beta	positive	True	0.0762934516553764	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	composite_index	composite_index	INFLAMMATORY_CARBON_USE_INDEX	Inflammatory Carbon Use Index	Integrated_network	0.0453790824677861	standardized_module_score_beta	positive	False	0.7037933584925746	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	composite_index	composite_index	COMPLEMENT_INFLAMMATORY_AMPLIFICATION_INDEX	Complement Inflammatory Amplification Index	Integrated_network	0.0036836352633881	standardized_module_score_beta	positive	False	0.9780718295713844	1.0	human_systemic_urinary_inflammation_comparator						
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	composite_index	composite_index	PREGNANCY_RISK_ENDOCRINE_METABOLIC_INFLAMMATION_INDEX	Pregnancy Risk Endocrine Metabolic Inflammation Index	Integrated_network	0.2039231163465504	standardized_module_score_beta	positive	False	0.174577495595	1.0	human_systemic_urinary_inflammation_comparator						
GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	Figure_7	0.1681763290787114	standardized_module_score_beta	positive	False	0.6911165730638658	1.0	mouse_bladder_average_pathogen_exposure_effect						
GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	Figure_7	0.3367167648437335	standardized_module_score_beta	positive	False	0.2786321825433611	1.0	mouse_bladder_average_pathogen_exposure_effect						
GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	Figure_7	0.0340573803284823	standardized_module_score_beta	positive	False	0.926294521903659	1.0	mouse_bladder_average_pathogen_exposure_effect						
GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	steroid_cholesterol_endocrine	PROGESTERONE_BIOSYNTHESIS_RESPONSE	Progesterone biosynthesis and response	Figure_7	0.3914043087873486	standardized_module_score_beta	positive	False	0.2229092198252626	1.0	mouse_bladder_average_pathogen_exposure_effect						
GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	Figure_7	0.1223806768235155	standardized_module_score_beta	positive	False	0.6911165730638658	1.0	mouse_bladder_average_pathogen_exposure_effect						
