dataset	primary_context	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	mean_tissue_effect	effect_metric	n_tissues	n_positive_tissues	n_negative_tissues	tissue_directional_coherence	direction	fdr_0_10	best_tissue_q_value	evidence_weight	interpretation_role	absolute_effect
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	complement_architecture	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	Figure_10	-0.4555306999870017	-0.4216515582284213	median_tissue_hedges_g	3	0	3	1.0	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.4555306999870017
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	complement_architecture	COMPLEMENT_LECTIN	Lectin complement pathway	Figure_10	0.3022518246503143	0.2733702903303365	median_tissue_hedges_g	3	2	1	0.6666666666666666	positive	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.3022518246503143
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10	0.2878657120830686	0.28847742633640405	median_tissue_hedges_g	3	3	0	1.0	positive	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.2878657120830686
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	complement_architecture	COMPLEMENT_REGULATORS	Complement regulators	Figure_10	-0.1151856694214474	-0.11007075857133546	median_tissue_hedges_g	3	1	2	0.6666666666666666	negative	False	0.9642857142857142	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1151856694214474
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	complement_architecture	COMPLEMENT_TERMINAL_MAC	Terminal complement and membrane-attack complex	Figure_10	0.5744464349606124	0.41201819208943596	median_tissue_hedges_g	3	2	1	0.6666666666666666	positive	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.5744464349606124
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	immune_context_anchors	NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	Integrated_network	0.2314004499277834	0.41150299726438994	median_tissue_hedges_g	3	3	0	1.0	positive	False	0.9766483516483516	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.2314004499277834
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	immune_context_anchors	NFKB_MAPK_INFLAMMATION_ANCHOR	NF-kB and MAPK inflammation anchor	Integrated_network	0.1796772608549897	-0.03355705777863436	median_tissue_hedges_g	3	2	1	0.6666666666666666	positive	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1796772608549897
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	immune_context_anchors	OXIDATIVE_STRESS_NRF2_ANCHOR	Oxidative stress and NRF2 anchor	Integrated_network	0.1309203690282578	-0.02345828888629864	median_tissue_hedges_g	3	2	1	0.6666666666666666	positive	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1309203690282578
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	immune_context_anchors	PREGNANCY_INFLAMMATION_ANCHOR	Pregnancy-associated inflammation anchor	Integrated_network	-0.5591454054564856	-0.3911666283325859	median_tissue_hedges_g	3	1	2	0.6666666666666666	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.5591454054564856
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	immune_context_anchors	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	Integrated_network	-0.0580089231599877	-0.201763321255888	median_tissue_hedges_g	3	0	3	1.0	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.0580089231599877
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	immune_context_anchors	UROTHELIAL_BARRIER_REPAIR_ANCHOR	Urothelial barrier and repair anchor	Integrated_network	-0.0944928541089426	-0.09303856430770024	median_tissue_hedges_g	3	1	2	0.6666666666666666	negative	False	0.9642857142857142	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.0944928541089426
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	insulin_irs_signaling	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	Figure_8	-0.3042971240102138	-0.45010548696900243	median_tissue_hedges_g	3	0	3	1.0	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.3042971240102138
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8	-0.6759836665295377	-0.8086637040244443	median_tissue_hedges_g	3	0	3	1.0	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.6759836665295377
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	insulin_irs_signaling	MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	Figure_8	-0.231067528762688	-0.4072260665741246	median_tissue_hedges_g	3	0	3	1.0	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.231067528762688
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8	-0.6352753686157185	-0.7630087488439948	median_tissue_hedges_g	3	0	3	1.0	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.6352753686157185
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	lipid_metabolism	EICOSANOID_PROSTAGLANDIN_METABOLISM	Eicosanoid and prostaglandin metabolism	Figure_7	-0.0032170257227447	-0.005256844366754532	median_tissue_hedges_g	3	1	2	0.6666666666666666	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.0032170257227447
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	lipid_metabolism	FATTY_ACID_BETA_OXIDATION	Fatty-acid beta-oxidation	Figure_7	-0.2829279944810432	-0.15793028379392562	median_tissue_hedges_g	3	1	2	0.6666666666666666	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.2829279944810432
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	Figure_7	-0.501122242204225	-0.4432980369090478	median_tissue_hedges_g	3	0	3	1.0	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.501122242204225
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	lipid_metabolism	FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	Figure_7	-0.159494278806105	-0.18678871642045816	median_tissue_hedges_g	3	1	2	0.6666666666666666	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.159494278806105
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	lipid_metabolism	LIPID_DROPLET_DYNAMICS	Lipid-droplet dynamics	Figure_7	0.1629906003038436	0.19473805339457506	median_tissue_hedges_g	3	3	0	1.0	positive	False	0.988095238095238	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1629906003038436
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	lipid_metabolism	PHOSPHOLIPID_METABOLISM	Phospholipid metabolism	Figure_7	0.0647531385367743	-0.12471485903484623	median_tissue_hedges_g	3	2	1	0.6666666666666666	positive	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.0647531385367743
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	lipid_metabolism	PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	Figure_7	-0.0778318475584279	-0.04184636805169054	median_tissue_hedges_g	3	1	2	0.6666666666666666	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.0778318475584279
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	lipid_metabolism	SPHINGOLIPID_CERAMIDE_METABOLISM	Sphingolipid and ceramide metabolism	Figure_7	-0.3496892274612185	-0.363393448769655	median_tissue_hedges_g	3	0	3	1.0	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.3496892274612185
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	nucleotide_nad_nitrogen	NAD_METABOLISM	NAD metabolism	Figure_9	-0.1007154385925764	-0.20499353885228713	median_tissue_hedges_g	3	1	2	0.6666666666666666	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1007154385925764
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	nucleotide_nad_nitrogen	NITRIC_OXIDE_SYNTHESIS_REGULATION	Nitric-oxide synthesis and regulation	Figure_9	-0.0167083531948147	0.051745277689787796	median_tissue_hedges_g	3	1	2	0.6666666666666666	negative	False	0.9766483516483516	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.0167083531948147
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	nucleotide_nad_nitrogen	PURINE_DEGRADATION_URATE	Purine degradation and urate	Figure_9	-0.3218919033956605	-0.34586683356200415	median_tissue_hedges_g	3	0	3	1.0	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.3218919033956605
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	nucleotide_nad_nitrogen	PURINE_DE_NOVO_SYNTHESIS	De novo purine synthesis	Figure_9	-0.1830970025422584	-0.36697740407218077	median_tissue_hedges_g	3	0	3	1.0	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1830970025422584
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	nucleotide_nad_nitrogen	PURINE_SALVAGE	Purine salvage	Figure_9	-0.0024038860814815	-0.19898413600326917	median_tissue_hedges_g	3	1	2	0.6666666666666666	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.0024038860814815
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	nucleotide_nad_nitrogen	PYRIMIDINE_DEGRADATION	Pyrimidine degradation	Figure_9	0.0543029170543344	0.2513841556777772	median_tissue_hedges_g	3	2	1	0.6666666666666666	positive	False	0.9217436974789917	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.0543029170543344
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	nucleotide_nad_nitrogen	PYRIMIDINE_SYNTHESIS	Pyrimidine synthesis	Figure_9	0.1124334054313158	-0.10128944721553491	median_tissue_hedges_g	3	2	1	0.6666666666666666	positive	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1124334054313158
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	nucleotide_nad_nitrogen	UREA_CYCLE	Urea cycle	Figure_9	-0.1202924404367891	0.0669817104480878	median_tissue_hedges_g	3	1	2	0.6666666666666666	negative	False	0.9766483516483516	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1202924404367891
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	nucleotide_nad_nitrogen	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	Xanthine oxidase and oxidative purine catabolism	Figure_9	0.359912719386311	0.33961555562192336	median_tissue_hedges_g	3	3	0	1.0	positive	False	0.988095238095238	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.359912719386311
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7	-0.8043093611651837	-0.797323348019313	median_tissue_hedges_g	3	0	3	1.0	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.8043093611651837
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	steroid_cholesterol_endocrine	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	Figure_7	0.5120363485796444	0.6816950674188519	median_tissue_hedges_g	3	3	0	1.0	positive	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.5120363485796444
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	Figure_7	-0.2427657634531032	-0.23825288736644465	median_tissue_hedges_g	3	0	3	1.0	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.2427657634531032
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	Figure_7	-0.2187013968881286	-0.17069591532710696	median_tissue_hedges_g	3	0	3	1.0	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.2187013968881286
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	Figure_7	-0.2679451119744505	-0.16153656841194508	median_tissue_hedges_g	3	1	2	0.6666666666666666	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.2679451119744505
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	steroid_cholesterol_endocrine	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	Figure_7	-0.9114340045584498	-0.7887818793047635	median_tissue_hedges_g	3	0	3	1.0	negative	False	0.9211087420042644	1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.9114340045584498
