feature_id	axis	display_label	proposed_figure_family	n_independent_datasets	datasets	dataset_effects	n_positive_datasets	n_negative_datasets	dominant_direction	weighted_directional_coherence	median_effect	median_absolute_effect	max_absolute_effect	n_FDR10_datasets	n_moderate_effect_datasets	n_large_effect_datasets	validation_class	independent_evidence_priority_score
PENTOSE_PHOSPHATE_PATHWAY	carbohydrate_inflammatory_carbon	Pentose-phosphate pathway	Figure_8	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.2952;GSE186800:-0.2188;GSE252321:-0.4690;GSE280297:0.4285	2	2	positive	0.6153846153846154	0.038192998758507485	0.3618440054597124	0.4690392605595158	1	0	0	context_divergent_or_tissue_specific	6.977228620844327
COMPLEMENT_ALTERNATIVE	complement_architecture	Alternative complement pathway	Figure_10	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:-0.2673;GSE186800:-0.0699;GSE252321:-0.3102;GSE280297:0.2987	1	3	negative	0.6923076923076923	-0.16861722491240735	0.2830290096714933	0.3102140209047214	1	0	0	limited_independent_support	6.975336701979185
PPAR_SREBP_LXR_REGULATION	lipid_metabolism	PPAR, SREBP and LXR regulation	Figure_7	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.1797;GSE186800:0.4588;GSE252321:0.0512;GSE280297:-0.3223	3	1	positive	0.6923076923076923	0.1154756265663969	0.25101857020078794	0.4588103829459571	1	0	0	limited_independent_support	6.943326262508481
ESTROGEN_BIOSYNTHESIS	steroid_cholesterol_endocrine	Estrogen biosynthesis and interconversion	Figure_7	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:-0.2829;GSE186800:0.1224;GSE252321:-0.1834;GSE280297:0.2236	2	2	positive	0.6153846153846154	-0.030490215661860803	0.20347591443295	0.2828595871711987	1	0	0	context_divergent_or_tissue_specific	6.818860529817565
UREA_CYCLE	nucleotide_nad_nitrogen	Urea cycle	Figure_9	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.2398;GSE186800:-0.1473;GSE252321:0.1551;GSE280297:-0.0291	2	2	negative	0.6153846153846154	0.06304629897196334	0.1512051632553365	0.2398267873201662	1	0	0	context_divergent_or_tissue_specific	6.766589778639951
TESTOSTERONE_CONVERSION_AROMATIZATION	steroid_cholesterol_endocrine	Testosterone conversion and aromatization	Figure_7	3	GSE112098;GSE186800;GSE280297	GSE112098:-0.2152;GSE186800:-0.0796;GSE280297:0.2891	1	2	negative	0.6666666666666666	-0.0796346338509084	0.2151942148542195	0.28911717676748	1	0	0	context_divergent_or_tissue_specific	6.631860881520886
STEROID_CATABOLISM_DEACTIVATION	steroid_cholesterol_endocrine	Steroid catabolism and deactivation	Figure_7	1	GSE112098	GSE112098:-0.2186	0	1	negative	1.0	-0.2186252889961534	0.2186252889961534	0.2186252889961534	1	0	0	limited_independent_support	6.4686252889961535
PURINE_DE_NOVO_SYNTHESIS	nucleotide_nad_nitrogen	De novo purine synthesis	Figure_9	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.0384;GSE186800:0.4341;GSE252321:-1.0413;GSE280297:0.4174	3	1	positive	0.9230769230769231	0.2278847197644371	0.42571839084984797	1.0412989905292878	0	1	1	limited_independent_support	6.348795313926772
PYRIMIDINE_SYNTHESIS	nucleotide_nad_nitrogen	Pyrimidine synthesis	Figure_9	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.0409;GSE186800:0.0298;GSE252321:-0.9864;GSE280297:0.3664	3	1	positive	0.9230769230769231	0.0353526277731733	0.20364351063311203	0.9863726970474525	0	1	1	limited_independent_support	6.126720433710036
CHOLESTEROL_BIOSYNTHESIS	steroid_cholesterol_endocrine	Cholesterol biosynthesis	Figure_7	4	GSE112098;GSE186800;GSE252321;GSE280297	GSE112098:0.1133;GSE186800:0.1682;GSE252321:-1.1792;GSE280297:0.2253	3	1	positive	0.9230769230769231	0.14073591291462567	0.19675696964965939	1.1791840557458284	0	1	1	limited_independent_support	6.119833892726582
