feature_id	GSE112098	GSE186800	GSE252321	GSE280297
COMPLEMENT_REGULATORS	0.092324943325621	0.1553599038435563	0.258206035535592	0.523732131138319
COMPLEMENT_TERMINAL_MAC	-0.0420122454242515	0.0188140714882245	0.1892860780793338	0.0283417151003333
EICOSANOID_PROSTAGLANDIN_METABOLISM	0.0579459508802494	-0.0523723026136015	-0.0109777219707759	0.0704649243100196
ESTROGEN_BIOSYNTHESIS	-0.2828595871711987	0.1223806768235155	-0.1833611081472371	0.2235907207186629
ESTROGEN_RECEPTOR_RESPONSE	-0.1560187281819674	0.4783832129042341	0.6820350103952629	0.1650461221863599
FATTY_ACID_BETA_OXIDATION	0.2256807636952512	0.4018925839798754	-0.2104954605741877	0.3260981822439222
FATTY_ACID_SYNTHESIS	0.1914504339034529	0.5714152946126717	-0.5137480120935256	0.2246946199165754
FERROPTOSIS_LIPID_PEROXIDATION	0.3002258391147833	0.2302681651087356	1.1754384962200224	-0.0051843513252547
GLUCOCORTICOID_RESPONSE	0.365278973361385	0.1882926526559982	1.1502346745187015	0.024692674055856
GLUCONEOGENESIS	0.0496102211152646	-0.066289802940759	-0.0331512935741398	0.2826640207251812
GLUCOSE_TRANSPORT	-0.0074389721454807	0.3861499436669294	1.3650722104202886	-0.3233823817905002
GLUTAMINE_GLUTAMATE	0.1327548873334487	0.3631998295697907	0.2794101731737997	-0.0118072454892652
GLYCOGENOLYSIS	0.0877168032773398	0.5277570488893757	-0.1401415109162123	0.0977903621847027
GLYCOGEN_SYNTHESIS	0.1062257048368329	0.593588717978961	1.601768502216392	-0.0039774294391697
GLYCOLYSIS	0.5185656802666957	-0.0932601504912431	1.0085607514920767	-0.406645615550242
INSULIN_RECEPTOR_IRS	0.1895567262598622	0.6586311933890442	0.6086712161392323	-0.0467415211978371
LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	0.4356061682165955	0.3495400299256836	1.3709552773169482	-0.1814703505147327
LEPTIN_SIGNALING	0.3544038788068854	0.7289353679747926	0.9900621618745398	0.3394515424730212
LIPID_DROPLET_DYNAMICS	-0.0227324261508932	0.3179486874088084	7.658898539335444	0.2193009933274784
LXR_FXR_STEROL_SIGNALING	0.1135367031053207	0.3143941770346988	0.6028015184097174	0.1845363567021631
METHIONINE_SAM_METHYLATION	0.0516259439412049	0.243921680826315	-0.6231176897686507	0.2038560933422443
MINERALOCORTICOID_RESPONSE	0.0583273050407469	0.4199086623606303	0.2049299261144078	0.4382564416029907
MTORC1_INSULIN_OUTPUT	-0.1022837497517187	0.7814687820842906	-0.2757320911697049	0.2898294371376078
MTOR_SIGNALING	0.1658902685957299	0.2116272088820607	-0.4745522246918041	0.4048917584702233
NAD_METABOLISM	-0.0044881356642911	0.175174855491301	-0.413058608436714	0.2448261451459954
NEUTROPHIL_NETOSIS_ANCHOR	0.4717524899299532	-0.3257547045626511	1.6831623720365632	0.1432238542689094
NFKB_MAPK_INFLAMMATION_ANCHOR	0.401604812956293	0.2535832532837555	1.0445949889470858	0.3401538440683138
NITRIC_OXIDE_SYNTHESIS_REGULATION	0.1615592561998442	-0.1855289356384984	0.808654716637116	-0.4823432471131333
OXIDATIVE_STRESS_NRF2_ANCHOR	0.3829277009351329	0.262806985736609	0.5733729709195335	0.4904882436922246
PENTOSE_PHOSPHATE_PATHWAY	0.2951959645232309	-0.2188099670062159	-0.4690392605595158	0.428492046396194
PHOSPHOLIPID_METABOLISM	0.1203112510912059	0.538755285197116	0.2913087826999808	0.2476622491017035
PI3K_AKT_SIGNALING	0.3307016024578986	0.7116572012171	0.5144853654662742	0.1040068212709447
PLACENTAL_STEROID_METABOLISM	-0.1552334804905158	0.1492310656693389	1.0602349023846258	-0.0657532120434069
PPARG_ADIPOMETABOLIC_REGULATION	0.1889232013025937	0.4478822376540223	0.5451508305094149	-0.2397280946976295
PPAR_SREBP_LXR_REGULATION	0.1797243181778398	0.4588103829459571	0.051226934954954	-0.3223128222237361
PREGNANCY_INFLAMMATION_ANCHOR	0.2899979429498678	0.2455300644157986	1.8318950944988115	0.2162982558040384
PROGESTERONE_BIOSYNTHESIS_RESPONSE	0.0787575515062607	0.3914043087873486	0.2943067077377718	0.1940670575479958
PURINE_DEGRADATION_URATE	0.1355041120256747	0.179807353503968	0.6667329786824677	-0.2692284362831084
PURINE_DE_NOVO_SYNTHESIS	0.0383965868849303	0.434063929055752	-1.0412989905292878	0.4173728526439439
PURINE_SALVAGE	0.1052499651364488	0.1308145118313012	1.4487437909106362	-0.4471217219262232
PYRIMIDINE_DEGRADATION	0.477190556982652	-0.223138745162911	-0.4257325656671998	-0.4251442512349531
PYRIMIDINE_SYNTHESIS	0.0408975696727284	0.0298076858736182	-0.9863726970474525	0.3663894515934957
RESISTIN_INFLAMMATORY_SIGNALING	0.4390215145607949	0.1632808447919931	1.447321620719106	0.2725791025550987
SERINE_GLYCINE_ONE_CARBON	0.0384411364032991	-0.0770269499847914	-0.4825057735165307	0.3319923903012867
SPHINGOLIPID_CERAMIDE_METABOLISM	0.1139925512554323	0.6418482665700248	0.2619101283273248	-0.3576176791675761
STEROIDOGENESIS_CORE	-0.0928012982351832	0.0340573803284823	-0.3566155416683578	-0.1576983718271122
STEROID_CATABOLISM_DEACTIVATION	-0.2186252889961534			
STEROID_SULFATION_DESULFATION	-0.0708935816515748	0.3114514531630952	0.2502439110976682	-0.6622188490412063
TCA_OXPHOS	0.3732675129944998	-0.1070204233232439	-0.603288398609815	0.4910697557217295
TESTOSTERONE_CONVERSION_AROMATIZATION	-0.2151942148542195	-0.0796346338509084		0.28911717676748
TLR4_LPS_SIGNALING_ANCHOR	0.2496277356094969	0.3426604694469146	0.5280174153001915	0.538690474302069
TRYPTOPHAN_KYNURENINE	0.0768810538979621	-0.3147448923123198	-1.1071274608568007	-0.0660311752665699
