dataset	analysis_family	tissue	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	q_value	fdr_0_10	direction
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	Figure_9	-0.2219141800002392	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	Figure_9	-0.4867605660930194	0.9926007399260074	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	Figure_9	0.2497445629794132	1.0	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	Figure_9	-0.2217901100176466	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	Figure_9	-0.0448427189916254	0.9926007399260074	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	Figure_9	0.1154466714719366	1.0	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	Figure_9	-1.0249915329895265	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	Figure_9	-0.229458306686825	0.9926007399260074	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	Figure_9	-0.3796808399169906	1.0	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	Figure_9	-0.974855358925732	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	Figure_9	-0.431666090329905	0.9926007399260074	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	Figure_9	-0.3595408500154374	1.0	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	Figure_9	-0.9867953184936026	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	Figure_9	-0.0056997605645275	0.9926007399260074	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	Figure_9	0.1131792819341158	1.0	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	amino_acid_metabolism	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	Figure_9	-0.2814729674609406	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	amino_acid_metabolism	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	Figure_9	0.0682532425171945	0.9926007399260074	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	amino_acid_metabolism	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	Figure_9	0.6463425996299098	1.0	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	carbohydrate_inflammatory_carbon	AGE_RAGE_SIGNALING	AGE-RAGE signaling	Figure_8	-0.4817044088618192	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	carbohydrate_inflammatory_carbon	AGE_RAGE_SIGNALING	AGE-RAGE signaling	Figure_8	0.3804541012329345	0.9926007399260074	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	carbohydrate_inflammatory_carbon	AGE_RAGE_SIGNALING	AGE-RAGE signaling	Figure_8	-0.0415273486691742	1.0	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	carbohydrate_inflammatory_carbon	AMPK_SIGNALING	AMPK signaling	Figure_8	-0.8122601070381932	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	carbohydrate_inflammatory_carbon	AMPK_SIGNALING	AMPK signaling	Figure_8	-0.0740190289277175	0.9926007399260074	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	carbohydrate_inflammatory_carbon	AMPK_SIGNALING	AMPK signaling	Figure_8	0.2867291244533483	1.0	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	carbohydrate_inflammatory_carbon	GLUCONEOGENESIS	Gluconeogenesis	Figure_8	0.17075358174412	0.9642857142857142	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	carbohydrate_inflammatory_carbon	GLUCONEOGENESIS	Gluconeogenesis	Figure_8	0.018749118535845	0.9926007399260074	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	carbohydrate_inflammatory_carbon	GLUCONEOGENESIS	Gluconeogenesis	Figure_8	-0.2986875855793756	1.0	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	carbohydrate_inflammatory_carbon	GLUCOSE_TRANSPORT	Glucose transport	Figure_8	-0.3055608272910256	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	carbohydrate_inflammatory_carbon	GLUCOSE_TRANSPORT	Glucose transport	Figure_8	-0.1647236269037929	0.9926007399260074	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	carbohydrate_inflammatory_carbon	GLUCOSE_TRANSPORT	Glucose transport	Figure_8	-1.0447689218991196	1.0	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	carbohydrate_inflammatory_carbon	GLYCOGENOLYSIS	Glycogenolysis	Figure_8	-0.2908785058860659	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	carbohydrate_inflammatory_carbon	GLYCOGENOLYSIS	Glycogenolysis	Figure_8	0.0171639602762171	0.9926007399260074	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	carbohydrate_inflammatory_carbon	GLYCOGENOLYSIS	Glycogenolysis	Figure_8	0.3340755412182413	1.0	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8	-1.2540676429955062	0.9211087420042644	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	placenta	submodule	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8	-0.3027964300522092	0.9926007399260074	False	negative
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	uterus	submodule	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8	0.1530805966501361	1.0	False	positive
GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	bladder	submodule	carbohydrate_inflammatory_carbon	GLYCOLYSIS	Glycolysis	Figure_8	-0.1598284548654182	0.936335403726708	False	negative
