figure	panel	source_role	source_note	dataset	primary_context	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	effect_metric	direction	fdr_0_10	q_value	evidence_weight	interpretation_role	mean_tissue_effect	n_tissues	n_positive_tissues	n_negative_tissues	tissue_directional_coherence	best_tissue_q_value	index	C1 bladder	C1 placenta	C1 uterus	population_level	population	requested_genes	detected_genes	coverage_fraction	score_eligible	mean_control_score	mean_UPEC_score	mean_difference_UPEC_minus_control	hedges_g_UPEC_vs_control	exact_permutation_p	module_mean_gene_log2FC	module_median_gene_log2FC	fraction_genes_positive_log2FC	fraction_genes_negative_log2FC	gene_direction_coherence	exact_permutation_q_within_population	hedges_g_finite	variance_sensitive_hedges_g	cellular_evidence_class	cellular_localization_score	effect_direction	n_populations	n_positive_populations	n_negative_populations	directional_coherence_fraction	n_high_or_moderate_populations	top_population_by_composite_score	top_population_composite_score	top_population_evidence_class	top_population_mean_gene_log2FC	top_population_gene_direction_coherence	top_population_hedges_g	top_population_variance_sensitive_g	top_to_second_score_ratio	cellular_localization_class	median_mean_gene_log2FC	median_gene_direction_coherence	median_composite_score	top_refined_subtype	top_refined_subtype_composite_score	top_refined_subtype_mean_gene_log2FC	top_refined_subtype_gene_direction_coherence	top_refined_subtype_hedges_g	top_refined_subtype_variance_sensitive_g	_label	_subtype	_score	infection	preterm	broad_populations_with_values
Figure_7	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10	0.6106585347065031	hedges_g	positive	False	0.8888888888888888	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																													
Figure_7	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10	1.271995088268732	hedges_g	positive	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																													
Figure_7	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	complement_architecture	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	Figure_10	0.2987179578977494	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.4635204275547053	3.0	3.0	0.0	1.0	0.8641483516483516																																																							
Figure_7	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10	0.0680688980830458	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1663113383564861	3.0	2.0	1.0	0.6666666666666666	0.9001145340011454																																																							
Figure_7	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	complement_architecture	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	Figure_10	0.3000879207652096	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.4629057850928328	3.0	2.0	1.0	0.6666666666666666	0.8641483516483516																																																							
Figure_7	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	complement_architecture	COMPLEMENT_CLASSICAL	Classical complement pathway	Figure_10	0.2653474573865672	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.2076997636038609	3.0	2.0	1.0	0.6666666666666666	0.7957454254574543																																																							
Figure_7	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	complement_architecture	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	Figure_10	-0.0385061427396443	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.0566246881569759	3.0	1.0	2.0	0.6666666666666666	0.9151834081411548																																																							
Figure_7	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	complement_architecture	COMPLEMENT_LECTIN	Lectin complement pathway	Figure_10	-0.101247873556204	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.2430284963553932	3.0	0.0	3.0	1.0	0.8641483516483516																																																							
Figure_7	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10	0.4245595687724989	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.3520418835477626	3.0	2.0	1.0	0.6666666666666666	0.8641483516483516																																																							
Figure_7	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	complement_architecture	COMPLEMENT_REGULATORS	Complement regulators	Figure_10	0.523732131138319	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.5862001989109207	3.0	3.0	0.0	1.0	0.7957454254574543																																																							
Figure_7	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	complement_architecture	COMPLEMENT_TERMINAL_MAC	Terminal complement and membrane-attack complex	Figure_10	0.0283417151003333	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.3283294365162097	3.0	2.0	1.0	0.6666666666666666	0.8641483516483516																																																							
Figure_7	B	full_GSE280297_C1_matrix																						Classical complement pathway	0.4735556700610808	0.1666802827006261	0.6663628809423575																																																			
Figure_7	B	full_GSE280297_C1_matrix																						Lectin complement pathway	0.3022518246503143	-0.0713421278584395	0.5892011741991348																																																			
Figure_7	B	full_GSE280297_C1_matrix																						Alternative complement pathway	-0.0404714996380272	0.3720849442675417	0.130834045096689																																																			
Figure_7	B	full_GSE280297_C1_matrix																						C3 convertase and amplification	0.2020359434638153	0.0205876229426282	0.6627100216153843																																																			
Figure_7	B	full_GSE280297_C1_matrix																						C3a and C5a inflammatory signaling	-0.5266738017879126	0.3431704758291174	-0.4971530114341522																																																			
Figure_7	B	full_GSE280297_C1_matrix																						Complement-opsonophagocytosis	0.2878657120830686	0.2790208461456774	0.2985457207804661																																																			
Figure_7	B	full_GSE280297_C1_matrix																						Terminal complement and membrane-attack complex	0.7169945504312463	-0.0553864091235507	0.5744464349606124																																																			
Figure_7	B	full_GSE280297_C1_matrix																						Complement regulators	-0.1151856694214474	-0.216215191060664	0.001188584768105																																																			
Figure_7	B	full_GSE280297_C1_matrix																						Complement-coagulation crosstalk	-0.4873583777399255	-0.4555306999870017	-0.3220655969583369																																																			
Figure_7	C	broad_effect_reliability					complement_architecture	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	Figure_10			higher_in_UPEC															broad_cell_type	NK_cell	11.0	5.0	0.4545454545454545	True	-0.0988827922948062	0.0988827922948071	0.1977655845896134	0.3437816602593362	1.0	0.5142198359538385	0.4533207281063203	0.6	0.4	0.6	1.0	0.3437816602593362	False	directional_cellular_support	0.5543781660259336	higher_in_UPEC																													
Figure_7	C	broad_effect_reliability					complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10			higher_in_UPEC															broad_cell_type	NK_cell	12.0	10.0	0.8333333333333334	True	-0.5865626211361246	0.5865626211361203	1.173125242272245	0.9680806204399348	0.3333333333333333	1.540660439219226	1.8569118544363827	0.9	0.1	0.9	0.6239316239316239	0.9680806204399348	False	high_cellular_localization_support	0.8268080620439935	higher_in_UPEC																													
