panel_key	final_figure	panel	source_id	source_role	locked_path	selection_score	second_best_score	score_margin	schema_columns	visual_reference_assets	lock_status	locked_path_exists
Figure_3D	Figure_3	D	U26C1_steroid_branching	decoupling_domains	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_decoupling_domains.tsv	132.999998858			domain;n_features;median_effect;mean_effect;n_positive;n_negative;directional_coherence;dominant_direction;refined_effect_class;refined_interpretation		LOCKED_EXACT_RULE	True
Figure_3E	Figure_3	E	U26B1_1_C2	gse280297_primary_matrix	project://06_tables/phaseU27B2C2A_GSE280297_full_effect_source_repair/UTI_HostOmics_U27B2C2A_GSE280297_full_tissue_effect_matrix.tsv	96.999998305	96.999996608	1.697000001854576e-06	feature_id;C1_PRETERM_VS_TERM | bladder;C1_PRETERM_VS_TERM | placenta;C1_PRETERM_VS_TERM | uterus;C2_UPEC_VS_PBS_PREGNANCY | bladder;C2_UPEC_VS_PBS_PREGNANCY | placenta;C2_UPEC_VS_PBS_PREGNANCY | uterus;C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder		LOCKED_U27B2C2A_FULL_GSE280297_REPAIR	True
Figure_3F	Figure_3	F	U26B1_1_C3	gse280297_primary_matrix	project://06_tables/phaseU27B2C2A_GSE280297_full_effect_source_repair/UTI_HostOmics_U27B2C2A_GSE280297_full_tissue_effect_matrix.tsv	96.999998305	96.999996608	1.697000001854576e-06	feature_id;C1_PRETERM_VS_TERM | bladder;C1_PRETERM_VS_TERM | placenta;C1_PRETERM_VS_TERM | uterus;C2_UPEC_VS_PBS_PREGNANCY | bladder;C2_UPEC_VS_PBS_PREGNANCY | placenta;C2_UPEC_VS_PBS_PREGNANCY | uterus;C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder		LOCKED_U27B2C2A_FULL_GSE280297_REPAIR	True
Figure_3G	Figure_3	G	U26B1_1_tissue_modules	cross_tissue_coherence	project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_cross_tissue_directional_coherence.tsv	132.999971884			contrast_id;feature_id;axis;display_label;proposed_figure_family;n_tissues;n_positive_tissues;n_negative_tissues;directional_coherence_fraction;dominant_direction;median_hedges_g;mean_absolute_hedges_g		LOCKED_EXACT_RULE	True
Figure_3G	Figure_3	G	U26B1_1_tissue_modules	gse280297_primary_matrix	project://06_tables/phaseU27B2C2A_GSE280297_full_effect_source_repair/UTI_HostOmics_U27B2C2A_GSE280297_full_tissue_effect_matrix.tsv	96.999998305	96.999996608	1.697000001854576e-06	feature_id;C1_PRETERM_VS_TERM | bladder;C1_PRETERM_VS_TERM | placenta;C1_PRETERM_VS_TERM | uterus;C2_UPEC_VS_PBS_PREGNANCY | bladder;C2_UPEC_VS_PBS_PREGNANCY | placenta;C2_UPEC_VS_PBS_PREGNANCY | uterus;C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder		LOCKED_U27B2C2A_FULL_GSE280297_REPAIR	True
Figure_3H	Figure_3	H	U26C1_pregnancy_model	cross_tissue_coherence	project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_cross_tissue_directional_coherence.tsv	132.999971884			contrast_id;feature_id;axis;display_label;proposed_figure_family;n_tissues;n_positive_tissues;n_negative_tissues;directional_coherence_fraction;dominant_direction;median_hedges_g;mean_absolute_hedges_g		LOCKED_EXACT_RULE	True
Figure_3H	Figure_3	H	U26C1_pregnancy_model	decoupling_domains	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_decoupling_domains.tsv	132.999998858			domain;n_features;median_effect;mean_effect;n_positive;n_negative;directional_coherence;dominant_direction;refined_effect_class;refined_interpretation		LOCKED_EXACT_RULE	True
Figure_3H	Figure_3	H	U26C1_pregnancy_model	refined_core	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	144.999994324			feature_id;axis;display_label;proposed_figure_family;n_independent_datasets;datasets;dataset_effects;n_positive_datasets;n_negative_datasets;dominant_direction;weighted_directional_coherence;median_effect;median_absolute_effect;max_absolute_effect;n_FDR10_datasets;n_moderate_effect_datasets;n_large_effect_datasets;validation_class;independent_evidence_priority_score;n_non_tiny_concordant_moderate_datasets;biological_priority;preterm_vs_term_effect;preterm_tissue_coherence;preterm_direction;infection_outcome_relation;refined_preterm_effect_class;refined_infection_outcome_relation;manuscript_claim_priority		LOCKED_EXACT_RULE	True
Figure_4A	Figure_4	A	U26D2A_embedding	balanced_annotations	project://03_metadata/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_balanced_cell_annotations.tsv.gz	168.99956428			cell_id;raw_barcode;sample_id;condition;replicate;total_expression;detected_genes;mitochondrial_expression;pct_mitochondrial;adaptive_qc_pass;balanced_subset_row;cluster;broad_cell_type;annotation_confidence;corrected_component_1;corrected_component_2		LOCKED_EXACT_RULE	True
Figure_4B	Figure_4	B	U26D2A_D2A1_markers	cluster_markers	project://06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_cluster_top_markers.tsv	80.999976128			cluster;rank;gene_symbol;cluster_mean_log_expression;outside_mean_log_expression;specificity_difference;global_mean_log_expression		LOCKED_EXACT_RULE	True
