proposed_figure_family	axis	feature_id	display_label	max_absolute_hedges_g	median_absolute_hedges_g	n_fdr_0_05	n_fdr_0_10	n_contrasts	evidence_priority_score
Figure_7	steroid_cholesterol_endocrine	TESTOSTERONE_CONVERSION_AROMATIZATION	Testosterone conversion and aromatization	1.516260004469506	0.3498660903698409	0	0	10	1.6911930496544265
Figure_7	steroid_cholesterol_endocrine	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	1.4716923478785662	0.42238280623882635	0	0	10	1.6828837509979793
Figure_7	steroid_cholesterol_endocrine	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	1.1970524508315372	0.7418457322119989	0	0	10	1.5679753169375368
Figure_7	steroid_cholesterol_endocrine	MINERALOCORTICOID_RESPONSE	Mineralocorticoid response	1.2071724672376003	0.5962543528581713	0	0	10	1.505299643666686
Figure_7	lipid_metabolism	SPHINGOLIPID_CERAMIDE_METABOLISM	Sphingolipid and ceramide metabolism	1.1884097998779357	0.4717527309079369	0	0	10	1.424286165331904
Figure_7	lipid_metabolism	FATTY_ACID_BETA_OXIDATION	Fatty-acid beta-oxidation	1.2163774392238824	0.38651411543503045	0	0	10	1.4096344969413976
Figure_7	lipid_metabolism	PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	1.172271737162082	0.40332013417982593	0	0	10	1.373931804251995
Figure_7	lipid_metabolism	FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	1.1508293610411644	0.3920901385304391	0	0	10	1.346874430306384
Figure_7	steroid_cholesterol_endocrine	STEROID_SULFATION_DESULFATION	Steroid sulfation and desulfation	0.906010854742688	0.712470246769202	0	0	10	1.262245978127289
Figure_7	steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	1.051414235767067	0.2989299788613541	0	0	10	1.200879225197744
Figure_7	lipid_metabolism	PHOSPHOLIPID_METABOLISM	Phospholipid metabolism	0.9627235787076224	0.37215490275174873	0	0	10	1.1488010300834968
Figure_7	steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	0.8795652756774262	0.49752401304365484	0	0	10	1.1283272821992536
Figure_7	lipid_metabolism	LIPID_DROPLET_DYNAMICS	Lipid-droplet dynamics	0.8615015697625695	0.37387692774525383	0	0	10	1.0484400336351964
Figure_7	steroid_cholesterol_endocrine	LXR_FXR_STEROL_SIGNALING	LXR and FXR sterol signaling	0.7420710250437093	0.34835668675202086	0	0	10	0.9162493684197197
Figure_7	lipid_metabolism	EICOSANOID_PROSTAGLANDIN_METABOLISM	Eicosanoid and prostaglandin metabolism	0.7196777148341724	0.22852219690205988	0	0	10	0.8339388132852024
Figure_8	carbohydrate_inflammatory_carbon	GLUCONEOGENESIS	Gluconeogenesis	1.943311759434544	0.5340039327175576	0	0	10	2.2103137257933225
Figure_8	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	1.4315667679765463	0.5628439212976601	0	0	10	1.7129887286253762
Figure_8	insulin_irs_signaling	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	1.3444872404150956	0.5859633356022805	0	0	10	1.637468908216236
Figure_8	carbohydrate_inflammatory_carbon	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	1.4084458944501919	0.4387919628112017	0	0	10	1.6278418758557927
Figure_8	adipokine_signaling	ADIPONECTIN_SIGNALING	Adiponectin signaling	1.4595377800237535	0.2942598655371649	0	0	10	1.606667712792336
Figure_8	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	1.3359209964883278	0.5405731633497879	0	0	10	1.6062075781632217
Figure_8	adipokine_signaling	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	1.4615201345774635	0.28113818070306884	0	0	10	1.602089224928998
Figure_8	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	1.2247781815870775	0.712697552611838	0	0	10	1.5811269578929965
Figure_8	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	1.3175873138123735	0.5063925488919877	0	0	10	1.5707835882583674
Figure_8	carbohydrate_inflammatory_carbon	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	1.3470772520253822	0.402806660437885	0	0	10	1.5484805822443246
Figure_8	insulin_irs_signaling	MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	1.2894036725542521	0.4677411868606571	0	0	10	1.5232742659845806
Figure_8	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	1.2540676429955062	0.37724977797564085	0	0	10	1.4426925319833266
Figure_8	carbohydrate_inflammatory_carbon	AMPK_SIGNALING	AMPK signaling	1.0308053544433111	0.5156208849735064	0	0	10	1.2886157969300642
Figure_8	carbohydrate_inflammatory_carbon	GLUCOSE_TRANSPORT	Glucose transport	1.0447689218991196	0.4861559958322421	0	0	10	1.2878469198152407
Figure_8	carbohydrate_inflammatory_carbon	TCA_OXPHOS	TCA cycle and oxidative phosphorylation	1.0451901415645029	0.4654983455521427	0	0	10	1.2779393143405742
Figure_8	carbohydrate_inflammatory_carbon	GLYCOLYSIS	Glycolysis	1.0101712519678727	0.4773843345043741	0	0	10	1.2488634192200598
Figure_8	carbohydrate_inflammatory_carbon	MTOR_SIGNALING	mTOR signaling	1.002720386122758	0.4416721044862959	0	0	10	1.223556438365906
Figure_8	adipokine_signaling	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	0.9554352916513081	0.5206092887909888	0	0	10	1.2157399360468024
Figure_8	carbohydrate_inflammatory_carbon	AGE_RAGE_SIGNALING	AGE-RAGE signaling	0.9168629881692816	0.4310792550473769	0	0	10	1.13240261569297
Figure_8	carbohydrate_inflammatory_carbon	GLYCOGENOLYSIS	Glycogenolysis	0.9275333364691054	0.3324664419398605	0	0	10	1.0937665574390356
Figure_9	amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	2.5638360544666905	0.6671522015646436	0	0	10	2.8974121552490124
Figure_9	amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	1.854601129333165	0.3981627634676178	0	0	10	2.053682511066974
Figure_9	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	1.6233551237688848	0.7276262473283301	0	0	10	1.9871682474330499
Figure_9	amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	1.575787304204267	0.5638180570589211	0	0	10	1.8576963327337275
Figure_9	amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	1.623008078985822	0.42194500766125065	0	0	10	1.8339805828164473
Figure_9	nucleotide_nad_nitrogen	PURINE_DE_NOVO_SYNTHESIS	De novo purine synthesis	1.4612165779072037	0.6168927422845378	0	0	10	1.7696629490494726
Figure_9	nucleotide_nad_nitrogen	UREA_CYCLE	Urea cycle	1.4448792089606148	0.44446579905244127	0	0	10	1.6671121084868354
Figure_9	nucleotide_nad_nitrogen	PURINE_SALVAGE	Purine salvage	1.3706554466140357	0.45648663704890585	0	0	10	1.5988987651384887
Figure_9	catecholamine_stress_adjacent	ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	1.1977444355074067	0.6900554807070727	0	0	10	1.542772175860943
Figure_9	nucleotide_nad_nitrogen	NAD_METABOLISM	NAD metabolism	1.206927748571089	0.4803313859460287	0	0	10	1.4470934415441032
Figure_9	nucleotide_nad_nitrogen	PYRIMIDINE_SYNTHESIS	Pyrimidine synthesis	1.1343642053428244	0.6098793442331665	0	0	10	1.4393038774594076
Figure_9	catecholamine_stress_adjacent	CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	1.183799713634577	0.4255005492616271	0	0	10	1.3965499882653907
Figure_9	nucleotide_nad_nitrogen	PYRIMIDINE_DEGRADATION	Pyrimidine degradation	1.1825503908015684	0.4209490334754622	0	0	10	1.3930249075392995
Figure_9	nucleotide_nad_nitrogen	NITRIC_OXIDE_SYNTHESIS_REGULATION	Nitric-oxide synthesis and regulation	1.1206562973999483	0.5284691418712268	0	0	10	1.3848908683355616
Figure_9	amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	1.1659043133251894	0.3682525645362163	0	0	10	1.3500305955932976
Figure_9	nucleotide_nad_nitrogen	PURINE_DEGRADATION_URATE	Purine degradation and urate	1.0307811243653426	0.418360803175051	0	0	10	1.239961525952868
Figure_9	amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	0.9393602518520584	0.4941969446604748	0	0	10	1.186458724182296
Figure_9	amino_acid_metabolism	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	0.7817533430730323	0.4389386058097445	0	0	10	1.0012226459779046
Figure_9	catecholamine_stress_adjacent	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	0.8320310682110114	0.3108538352221955	0	0	10	0.9874579858221091
Figure_9	nucleotide_nad_nitrogen	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	Xanthine oxidase and oxidative purine catabolism	0.698496137927261	0.408469072869293	0	0	10	0.9027306743619075
Integrated_network	immune_context_anchors	UROTHELIAL_BARRIER_REPAIR_ANCHOR	Urothelial barrier and repair anchor	1.9393906641842356	0.5848841442387032	0	0	10	2.2318327363035873
Integrated_network	immune_context_anchors	PREGNANCY_INFLAMMATION_ANCHOR	Pregnancy-associated inflammation anchor	1.8626977341169848	0.5890475156407571	0	0	10	2.1572214919373636
Integrated_network	immune_context_anchors	NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	1.265255542033866	0.2625083315673164	0	0	10	1.3965097078175241
Integrated_network	immune_context_anchors	OXIDATIVE_STRESS_NRF2_ANCHOR	Oxidative stress and NRF2 anchor	1.1539436303162918	0.4809120978402168	0	0	10	1.3943996792364002
Integrated_network	immune_context_anchors	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	1.0445714027572592	0.46562852505060104	0	0	10	1.2773856652825597
Integrated_network	immune_context_anchors	NFKB_MAPK_INFLAMMATION_ANCHOR	NF-kB and MAPK inflammation anchor	1.0065190305231961	0.44903221087461453	0	0	10	1.2310351359605034
