contrast_id	tissue	analysis_status	group_a	group_b	n_group_a	n_group_b	feature_type	axis	feature_id	display_label	proposed_figure_family	mean_group_a	mean_group_b	mean_difference_a_minus_b	hedges_g	hedges_g_ci_low	hedges_g_ci_high	welch_t	p_value	auc_group_a_higher	direction	interpretation	q_value_within_contrast	fdr_0_05	fdr_0_10
C1_PRETERM_VS_TERM	uterus	primary	UTI89_preterm	UTI89_term	6	3	composite_index	composite_index	PREGNANCY_RISK_ENDOCRINE_METABOLIC_INFLAMMATION_INDEX	Pregnancy Risk Endocrine Metabolic Inflammation Index	Integrated_network	0.01987134698849732	-0.07275218091974002	0.09262352790823734	0.501538777816187	-0.6072697802550341	1.7972217186162835	0.93242019677772	0.3862535011961571	0.6666666666666666	higher_in_group_a	positive effect indicates higher activity in UTI-associated preterm samples	0.9989229247590709	False	False
C2_UPEC_VS_PBS_PREGNANCY	uterus	primary	UPEC_exposed_pregnancy	PBS_pregnancy_control	11	3	composite_index	composite_index	STEROID_INFLAMMATORY_IMBALANCE_INDEX	Steroid Inflammatory Imbalance Index	Integrated_network	0.021940961086540197	-0.08045019065064536	0.10239115173718556	0.6722659836374464	-0.9357571829495342	2.5697508263982094	0.7405542379485385	0.5275774772931889	0.6060606060606061	higher_in_group_a	positive effect indicates higher activity in UPEC-exposed pregnancy samples	0.97562643498631	False	False
C2_UPEC_VS_PBS_PREGNANCY	uterus	primary	UPEC_exposed_pregnancy	PBS_pregnancy_control	11	3	composite_index	composite_index	INFLAMMATORY_CARBON_USE_INDEX	Inflammatory Carbon Use Index	Integrated_network	-0.11790996696428709	0.432336545535718	-0.5502465125000051	-2.4582779339098346	-4.116223421569002	-1.6298731836284805	-4.462121526418837	0.01325993093765123	0.0	higher_in_group_b	positive effect indicates higher activity in UPEC-exposed pregnancy samples	0.97562643498631	False	False
C2_UPEC_VS_PBS_PREGNANCY	uterus	primary	UPEC_exposed_pregnancy	PBS_pregnancy_control	11	3	composite_index	composite_index	COMPLEMENT_INFLAMMATORY_AMPLIFICATION_INDEX	Complement Inflammatory Amplification Index	Integrated_network	-0.020577290700215734	0.0754500659007947	-0.09602735660101043	-0.42485839160860817	-1.9868016306931344	0.3391082082331459	-0.9878365815573091	0.3587051967154672	0.30303030303030304	higher_in_group_b	positive effect indicates higher activity in UPEC-exposed pregnancy samples	0.97562643498631	False	False
C2_UPEC_VS_PBS_PREGNANCY	uterus	primary	UPEC_exposed_pregnancy	PBS_pregnancy_control	11	3	composite_index	composite_index	PREGNANCY_RISK_ENDOCRINE_METABOLIC_INFLAMMATION_INDEX	Pregnancy Risk Endocrine Metabolic Inflammation Index	Integrated_network	0.01847006875961615	-0.06772358545192257	0.08619365421153873	0.3893964903079797	-1.4770002656129673	2.6355564932804403	0.40312059203530787	0.7224399465959257	0.5151515151515151	higher_in_group_a	positive effect indicates higher activity in UPEC-exposed pregnancy samples	0.97562643498631	False	False
C4_UTI89_RFP_VS_UTI89_TERM	uterus	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	composite_index	composite_index	STEROID_INFLAMMATORY_IMBALANCE_INDEX	Steroid Inflammatory Imbalance Index	Integrated_network	0.13600844352021418	-0.006856002118616154	0.14286444563883033	0.9221659094839169	-2.4398387093688387	29.72300837806509	1.1297670560458652	0.4339986223913884	0.6666666666666666	higher_in_group_a	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.8304708301937259	False	False
C4_UTI89_RFP_VS_UTI89_TERM	uterus	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	composite_index	composite_index	INFLAMMATORY_CARBON_USE_INDEX	Inflammatory Carbon Use Index	Integrated_network	-0.007851757618556304	0.027838404974340664	-0.035690162592896965	-0.13514534233498787	-4.098012643812121	1.3671471642534414	-0.20107139005189614	0.8578456428734675	0.5	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.9142828562204063	False	False
C4_UTI89_RFP_VS_UTI89_TERM	uterus	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	composite_index	composite_index	COMPLEMENT_INFLAMMATORY_AMPLIFICATION_INDEX	Complement Inflammatory Amplification Index	Integrated_network	-0.1946923368763193	-0.016749758431128692	-0.1779425784451906	-0.44337182104100403	-6080466798580761.0	2.593605522632678	-0.7957036146784942	0.4872772160807457	0.3333333333333333	higher_in_group_b	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.8304708301937259	False	False
C4_UTI89_RFP_VS_UTI89_TERM	uterus	secondary_exploratory	UTI89_RFP_term	UTI89_term	2	3	composite_index	composite_index	PREGNANCY_RISK_ENDOCRINE_METABOLIC_INFLAMMATION_INDEX	Pregnancy Risk Endocrine Metabolic Inflammation Index	Integrated_network	0.15109960859200688	-0.07275218091974002	0.2238517895117469	1.5534004604449927	0.0	5.538708223531164	2.580373494460675	0.08368652301347841	1.0	higher_in_group_a	positive effect indicates higher activity in the UTI89-RFP term subgroup	0.8304708301937259	False	False
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	primary_small_group	UTI89_pregnant	UTI89_nonpregnant	9	4	composite_index	composite_index	STEROID_INFLAMMATORY_IMBALANCE_INDEX	Steroid Inflammatory Imbalance Index	Integrated_network	0.04266670823564613	0.10779188478499936	-0.06512517654935324	-0.19589266243161524	-1.5446004711954202	1.4315792460955898	-0.2939414167086311	0.7828593711090078	0.4444444444444444	higher_in_group_b	positive effect indicates higher activity in infected pregnant bladder	0.9696526602067972	False	False
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	primary_small_group	UTI89_pregnant	UTI89_nonpregnant	9	4	composite_index	composite_index	INFLAMMATORY_CARBON_USE_INDEX	Inflammatory Carbon Use Index	Integrated_network	-0.0042223657865498	0.07979610565318962	-0.08401847143973942	-0.5116480099806522	-1.6095576558923055	0.5071179135796043	-0.9983679335801035	0.3504440425784589	0.3333333333333333	higher_in_group_b	positive effect indicates higher activity in infected pregnant bladder	0.8535370868535016	False	False
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	primary_small_group	UTI89_pregnant	UTI89_nonpregnant	9	4	composite_index	composite_index	COMPLEMENT_INFLAMMATORY_AMPLIFICATION_INDEX	Complement Inflammatory Amplification Index	Integrated_network	0.04964864740335468	-0.07237317014943756	0.12202181755279223	0.4357430554443105	-1.0712406707869953	1.749676668768301	0.6717749144928061	0.5356973198119754	0.5277777777777778	higher_in_group_a	positive effect indicates higher activity in infected pregnant bladder	0.8535370868535016	False	False
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	primary_small_group	UTI89_pregnant	UTI89_nonpregnant	9	4	composite_index	composite_index	PREGNANCY_RISK_ENDOCRINE_METABOLIC_INFLAMMATION_INDEX	Pregnancy Risk Endocrine Metabolic Inflammation Index	Integrated_network	-0.039552314941592184	-0.29097760505665027	0.2514252901150581	0.6348013777280331	-0.30161595072043346	2.520466671690656	1.0695479745707415	0.3325968110846045	0.7222222222222222	higher_in_group_a	positive effect indicates higher activity in infected pregnant bladder	0.8535370868535016	False	False
