contrast_id	tissue	analysis_status	axis	n_features	median_hedges_g	mean_absolute_hedges_g	n_fdr_0_05	n_fdr_0_10
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	primary_small_group	composite_index	4	0.11992519650634764	0.4445212763961528	0	0
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	primary_small_group	immune_context_anchors	6	0.07541817451452729	0.25358695730579633	0	0
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	primary_small_group	insulin_irs_signaling	4	0.4512604193420032	0.4632414673566323	0	0
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	primary_small_group	lipid_metabolism	8	0.07557617379103079	0.31406966801822966	0	0
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	primary_small_group	nucleotide_nad_nitrogen	9	0.5980736118976233	0.7020203197018499	0	0
C3_INFECTED_PREGNANT_VS_NONPREGNANT	bladder	primary_small_group	steroid_cholesterol_endocrine	14	0.28052939103033037	0.5118907345249657	0	0
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	adipokine_signaling	5	-1.0650595860824086	1.1465615031389216	0	0
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	amino_acid_metabolism	8	-0.8631506807501816	1.1603626818070218	0	0
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	carbohydrate_inflammatory_carbon	11	-0.6204320631023453	0.7099348983245394	0	0
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	catecholamine_stress_adjacent	3	-0.7065658422490039	0.6386372512814357	0	0
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	complement_architecture	9	-0.14389874217768536	0.40038904614187687	0	0
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	composite_index	4	-1.0091512866089354	1.5232200250541277	0	0
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	immune_context_anchors	6	-0.9876984777748213	1.0689910136124678	0	0
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	insulin_irs_signaling	4	-0.9844886948582233	0.980597923987828	0	0
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	lipid_metabolism	8	-1.0062818063036267	0.9138031284252937	0	0
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	nucleotide_nad_nitrogen	9	-0.6325185712393705	0.7470683625521795	0	0
C4_UTI89_RFP_VS_UTI89_TERM	bladder	secondary_exploratory	steroid_cholesterol_endocrine	14	-1.005262330860524	1.0278375542639195	0	0
C4_UTI89_RFP_VS_UTI89_TERM	placenta	secondary_exploratory	adipokine_signaling	5	-1.066932788102769	0.8922521745683184	0	0
C4_UTI89_RFP_VS_UTI89_TERM	placenta	secondary_exploratory	amino_acid_metabolism	8	-1.2197908885273505	1.2199462657465716	0	0
C4_UTI89_RFP_VS_UTI89_TERM	placenta	secondary_exploratory	carbohydrate_inflammatory_carbon	11	-0.9866246980629487	0.9307206571776085	0	0
C4_UTI89_RFP_VS_UTI89_TERM	placenta	secondary_exploratory	catecholamine_stress_adjacent	3	-1.183799713634577	1.0705139595032869	0	0
C4_UTI89_RFP_VS_UTI89_TERM	placenta	secondary_exploratory	complement_architecture	9	-0.5595254124139925	0.5442881540958043	0	0
C4_UTI89_RFP_VS_UTI89_TERM	placenta	secondary_exploratory	composite_index	4	0.260612837865737	0.6392343163255021	0	0
C4_UTI89_RFP_VS_UTI89_TERM	placenta	secondary_exploratory	immune_context_anchors	6	-0.8123675708494685	0.7850925541951016	0	0
C4_UTI89_RFP_VS_UTI89_TERM	placenta	secondary_exploratory	insulin_irs_signaling	4	-1.3402041184517117	1.3503446693585555	0	0
C4_UTI89_RFP_VS_UTI89_TERM	placenta	secondary_exploratory	lipid_metabolism	8	-1.1286322032695537	1.0262801217302222	0	0
C4_UTI89_RFP_VS_UTI89_TERM	placenta	secondary_exploratory	nucleotide_nad_nitrogen	9	-0.9353244230350335	0.984557147167598	0	0
C4_UTI89_RFP_VS_UTI89_TERM	placenta	secondary_exploratory	steroid_cholesterol_endocrine	14	-1.1212472131342677	1.0473381222544245	0	0
C4_UTI89_RFP_VS_UTI89_TERM	uterus	secondary_exploratory	adipokine_signaling	5	-1.1549757364808362	1.184433834053846	0	0
C4_UTI89_RFP_VS_UTI89_TERM	uterus	secondary_exploratory	amino_acid_metabolism	8	-0.6600548108647369	0.786687124565302	0	0
C4_UTI89_RFP_VS_UTI89_TERM	uterus	secondary_exploratory	carbohydrate_inflammatory_carbon	11	-0.42681407768813245	0.5972696069111587	0	0
C4_UTI89_RFP_VS_UTI89_TERM	uterus	secondary_exploratory	catecholamine_stress_adjacent	3	-0.7236156809342164	0.7754529340090168	0	0
C4_UTI89_RFP_VS_UTI89_TERM	uterus	secondary_exploratory	complement_architecture	9	-0.18581465729366461	0.5379839651453334	0	0
C4_UTI89_RFP_VS_UTI89_TERM	uterus	secondary_exploratory	composite_index	4	0.3935102835744645	0.7635208833262254	0	0
C4_UTI89_RFP_VS_UTI89_TERM	uterus	secondary_exploratory	immune_context_anchors	6	-0.7561193870477032	0.8728526838043417	0	0
C4_UTI89_RFP_VS_UTI89_TERM	uterus	secondary_exploratory	insulin_irs_signaling	4	-0.8500759123787203	0.8617753098975535	0	0
C4_UTI89_RFP_VS_UTI89_TERM	uterus	secondary_exploratory	lipid_metabolism	8	-0.6661766472446975	0.5192816795895925	0	0
C4_UTI89_RFP_VS_UTI89_TERM	uterus	secondary_exploratory	nucleotide_nad_nitrogen	9	-0.4418477845034615	0.5314778908404159	0	0
C4_UTI89_RFP_VS_UTI89_TERM	uterus	secondary_exploratory	steroid_cholesterol_endocrine	14	-0.47363549044295505	0.7189164923842487	0	0
