feature_id	C1_PRETERM_VS_TERM | bladder	C1_PRETERM_VS_TERM | placenta	C1_PRETERM_VS_TERM | uterus	C2_UPEC_VS_PBS_PREGNANCY | bladder	C2_UPEC_VS_PBS_PREGNANCY | placenta	C2_UPEC_VS_PBS_PREGNANCY | uterus	C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder	C4_UTI89_RFP_VS_UTI89_TERM | bladder	C4_UTI89_RFP_VS_UTI89_TERM | placenta	C4_UTI89_RFP_VS_UTI89_TERM | uterus
LIPID_DROPLET_DYNAMICS	0.020180222411968766	0.16299060030384366	0.4010433374679129	0.21930099332747846	-0.41358633323059335	0.6910461652770182	-0.03009908964151707	-0.5887955508699344	-0.8615015697625695	-0.34671051802259484
PPAR_SREBP_LXR_REGULATION	-0.38971875350887286	-0.07783184755842798	0.34201149691222915	0.416921514850779	-0.43094112857079864	-0.3223128222237361	-0.5415905503476	-1.172271737162082	-1.1674115048700333	-0.06559174457508546
FERROPTOSIS_LIPID_PEROXIDATION	-0.5925260737580739	-0.15949427880610506	0.19165420330280436	1.1508293610411644	-0.005184351325254716	-0.05429955700772414	-0.03677920420201517	-1.049840033899631	-1.089852901669074	-0.7113043094163003
GLYCOLYSIS	-0.15982845486541822	-0.23528932821735596	0.3445146485825169	0.5614228522935835	-0.7990386620142167	-0.406645615550242	1.0101712519678727	-0.5481230534585063	-0.627198163954525	-0.30205495678364414
GLUCONEOGENESIS	0.17075358174412	0.01874911853584507	-0.2986875855793756	0.28266402072518126	-0.6544321347134042	1.1931810405762517	0.4135757307217111	-0.8478932560888931	-0.9866246980629487	-1.943311759434544
GLYCOGEN_SYNTHESIS	-1.2540676429955062	-0.3027964300522092	0.15308059665013618	0.1242881410695237	-0.7712347344448531	-0.003977429439169786	0.4517031258990725	-0.9952641160240768	-1.0795274688234335	0.08689482256930267
GLYCOGENOLYSIS	-0.2908785058860659	0.01716396027621717	0.3340755412182413	0.09779036218470274	-0.6468012762765816	0.31128904924261513	0.6140594410410555	-0.3308573426614798	-0.9275333364691054	-0.3385471837777055
PENTOSE_PHOSPHATE_PATHWAY	-0.5421655832476104	0.31725992605967096	0.14980066617783333	0.6129351439755868	-0.37773966344922705	0.428492046396194	0.3985926277046877	-1.3470772520253822	-0.4070206931710823	-0.2510905038825892
TCA_OXPHOS	-0.28275092379416433	0.1355121715783165	0.3198703421524963	0.4910697557217295	-0.7186530159542012	0.9104433454479703	0.6185211370842494	-0.436883272623189	-1.0451901415645029	-0.4399269353825559
LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	-0.8484877551076575	-0.45455035842748615	-0.06272654930899693	0.2939459045391361	-0.18147035051473276	-0.4230335671949173	0.0748613147052274	-0.8037449788014522	-1.4084458944501919	-0.6473379480857899
AMPK_SIGNALING	-0.8122601070381932	-0.07401902892771754	0.28672912445334836	0.39364150910500617	-0.584243297934736	0.938124875763557	0.5303538899217222	-0.5008878800252906	-1.0308053544433111	-0.42681407768813245
MTOR_SIGNALING	-0.8057188489579195	0.10672366898851483	0.16490444246291586	0.4883531993430784	-0.4784524505023684	0.40489175847022335	-0.1315461676284759	-0.6204320631023453	-1.002720386122758	-0.3589629130426016
GLUCOSE_TRANSPORT	-0.3055608272910256	-0.16472362690379294	-1.0447689218991196	0.38644247620400657	-0.3233823817905002	-0.6092977276087711	0.38786250739662276	-0.5844494842678615	-0.9232600020653094	-0.8581615872065994
AGE_RAGE_SIGNALING	-0.4817044088618192	0.38045410123293455	-0.04152734866917421	0.6560046769717482	-0.21826088456774187	-0.2087355514975391	-0.09134094613659353	-0.7936711824914554	-0.7996010898265267	-0.9168629881692816
INSULIN_RECEPTOR_IRS	-1.3402578002419596	-0.40974964530183566	-0.6759836665295377	-0.046741521197837116	-0.3546081531981574	0.13123482922479698	0.44970417606578256	-1.1667219714319088	-1.4315667679765463	-1.0389918680358647
PI3K_AKT_SIGNALING	-1.289974024948377	-0.36377685296788903	-0.6352753686157185	0.10400682127094474	-0.20554107071510966	0.20487432929057525	0.4458709580838572	-1.28606170768897	-1.3359209964883278	-0.7079575467969087
MTORC1_INSULIN_OUTPUT	-0.8517546154371797	-0.231067528762688	-0.13885605552250618	0.2898294371376078	-0.4779669129995367	0.45751546072177746	0.4528166626182239	-0.8022554182845378	-1.2894036725542521	-0.8325202186912091
AMPK_INSULIN_COUNTERREGULATION	-0.744315365082096	-0.30429712401021386	-0.30170397181469777	0.1431634392663947	-0.4232120891357079	0.7077309735966928	0.5045740726586657	-0.6673525985458953	-1.3444872404150956	-0.8676316060662316
LEPTIN_SIGNALING	-0.8527724012270284	-0.19196799469757722	-0.7524117043029656	0.3394515424730212	-0.35593844683134424	0.6729834009207104	0.41659084969500876	-1.2247781815870775	-1.066932788102769	-1.1549757364808362
ADIPONECTIN_SIGNALING	-1.0885162443443697	-0.2392206686071992	0.15699163345526693	0.16717794420599302	-0.34929906246713055	0.004973976317846962	-0.003731464410166998	-1.4595377800237535	-1.3719888913729377	-1.0803460842406063
RESISTIN_INFLAMMATORY_SIGNALING	-0.50684976743131	0.4912458416695309	-0.5059353303526654	0.5890935728332182	-0.07001035758807744	0.27257910255509876	0.039917677106973457	-1.0279966763500605	-0.5551278452833149	-1.3175873138123735
ADIPOKINE_INFLAMMATORY_AXIS	-0.25376894917288895	0.7397917521344026	-0.35148704795350677	0.6672525214832966	0.2353752347036881	-0.937365683597475	-0.15264241648574317	-0.9554352916513081	-0.3739660560986809	-0.9077399011579508
PPARG_ADIPOMETABOLIC_REGULATION	-0.4225736558547329	0.20336643193154105	0.02704368275666965	0.1096599187511169	-0.3225482667085081	-0.23972809469762957	-0.09899525901751628	-1.0650595860824086	-1.0932452919838893	-1.4615201345774635
TRYPTOPHAN_KYNURENINE	-0.2814729674609406	0.06825324251719454	0.6463425996299098	-0.06603117526656994	-0.4774669483951472	0.7817533430730323	0.3141327870680319	-0.6159075104252809	-0.5566328531851712	-0.40041026322434176
ARGININE_NO_UREA	-0.46606159025563665	-0.16853392239663878	0.09185378785579651	0.28227938103003547	-0.3257433984221691	-0.330263936679599	0.7359283512934944	-0.8422646529769671	-1.1586580383668426	-1.854601129333165
GLUTAMINE_GLUTAMATE	-1.0249915329895265	-0.229458306686825	-0.3796808399169906	0.35034881340536705	-0.5695363223634324	-0.01180724548926521	0.6138301412544115	-1.532947024498103	-1.575787304204267	-0.5580997917544097
SERINE_GLYCINE_ONE_CARBON	-0.9867953184936026	-0.005699760564527562	0.11317928193411586	0.7924853344897027	-0.7245475380694859	0.3319923903012867	0.5663371315777995	-2.5638360544666905	-1.2736774637295114	-0.6097568650598012
METHIONINE_SAM_METHYLATION	-0.9748553589257319	-0.43166609032990505	-0.35954085001543745	0.2038560933422443	-0.4122239249925963	0.3390425321588316	0.12367075710040458	-0.8840367085233961	-1.623008078985822	-1.140683813736025
BRANCHED_CHAIN_AMINO_ACIDS	-0.2217901100176466	-0.04484271899162542	0.11544667147193666	0.0684472456905793	-0.6125112791978754	0.9393602518520584	0.37588261012307417	-0.6147476352712014	-0.9341437688895126	-0.7103527566696727
AROMATIC_AMINO_ACID_METABOLISM	-0.22191418000023924	-0.4867605660930194	0.2497445629794132	-0.08593522674593182	-0.18037601683492008	0.6572045781604307	0.727493669092695	-0.6058067445256515	-1.1659043133251894	0.2175523247029398
AMINO_ACID_TRANSPORT	-0.9110329763420932	-0.41264344919822893	-1.0527503025877167	0.296460616488545	-0.07785555046292741	-0.31033772496946804	0.6532124426145993	-1.6233551237688848	-1.471758305286257	-0.8020400520420609
CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	-0.1053306587235214	0.05207637382982904	0.340131714462502	0.281575955981889	-0.4423015327729926	0.13957626396624315	0.609077680783404	-0.011601476087896167	-0.8320310682110114	-0.5346800610215002
ADRENERGIC_STRESS_SIGNALING	-0.9815447317630289	0.008920765754955809	-0.459976279309689	-0.4202849029495351	-0.6012036553295511	0.15379083086720022	0.7789073060845944	-1.1977444355074067	-1.1957110966642723	-1.0680630600713341
CATECHOLAMINE_IRON_REDOX_INTERFACE	-0.48191319445840836	-0.24136522637098587	-0.1131986107226608	0.5697731798949757	0.1356736361397365	0.29010817830070246	0.3690879040648459	-0.7065658422490039	-1.183799713634577	-0.7236156809342164
PURINE_DE_NOVO_SYNTHESIS	-0.90439918257767	-0.013436027096613904	-0.18309700254225844	0.4173728526439439	-0.39770952335668514	0.5990805427619894	0.6741700804836344	-1.4612165779072037	-1.106987480558163	-0.6347049418070861
PURINE_SALVAGE	-0.6095832639873975	0.015034742059071415	-0.0024038860814815295	0.3491030007321404	-0.46585155217158847	-0.44712172192622324	1.3706554466140357	-0.5602984246136837	-1.2559432147248217	-0.26692092947452556
