figure	panel	source_role	source_note	dataset	primary_context	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	effect_metric	direction	fdr_0_10	q_value	evidence_weight	interpretation_role	mean_tissue_effect	n_tissues	n_positive_tissues	n_negative_tissues	tissue_directional_coherence	best_tissue_q_value	index	C1 bladder	C1 placenta	C1 uterus	domain	n_features	median_effect	mean_effect	n_positive	n_negative	directional_coherence	dominant_direction	refined_effect_class	refined_interpretation	_value	infection	preterm	population_level	population	requested_genes	detected_genes	coverage_fraction	score_eligible	mean_control_score	mean_UPEC_score	mean_difference_UPEC_minus_control	hedges_g_UPEC_vs_control	exact_permutation_p	module_mean_gene_log2FC	module_median_gene_log2FC	fraction_genes_positive_log2FC	fraction_genes_negative_log2FC	gene_direction_coherence	exact_permutation_q_within_population	hedges_g_finite	variance_sensitive_hedges_g	cellular_evidence_class	cellular_localization_score	effect_direction	C2 bladder	C2 placenta	C2 uterus	C3 bladder	n_populations	n_positive_populations	n_negative_populations	directional_coherence_fraction	n_high_or_moderate_populations	top_population_by_composite_score	top_population_composite_score	top_population_evidence_class	top_population_mean_gene_log2FC	top_population_gene_direction_coherence	top_population_hedges_g	top_population_variance_sensitive_g	top_to_second_score_ratio	cellular_localization_class	median_mean_gene_log2FC	median_gene_direction_coherence	median_composite_score	top_refined_subtype	top_refined_subtype_composite_score	top_refined_subtype_mean_gene_log2FC	top_refined_subtype_gene_direction_coherence	top_refined_subtype_hedges_g	top_refined_subtype_variance_sensitive_g	_label	_subtype	_score
Figure_5	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	lipid_metabolism	PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	Figure_7	0.1797243181778398	standardized_module_score_beta	positive	True	0.076620524527296	1.0	human_systemic_urinary_inflammation_comparator																																																																											
Figure_5	A	primary_independent_effects		GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	submodule	lipid_metabolism	FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	Figure_7	0.3002258391147833	standardized_module_score_beta	positive	True	0.0243664042580001	1.0	human_systemic_urinary_inflammation_comparator																																																																											
Figure_5	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	Figure_7	0.1681763290787114	standardized_module_score_beta	positive	False	0.6911165730638658	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																											
Figure_5	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	Figure_7	0.3367167648437335	standardized_module_score_beta	positive	False	0.2786321825433611	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																											
Figure_5	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	Figure_7	0.0340573803284823	standardized_module_score_beta	positive	False	0.926294521903659	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																											
Figure_5	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	Figure_7	0.1223806768235155	standardized_module_score_beta	positive	False	0.6911165730638658	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																											
Figure_5	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	steroid_cholesterol_endocrine	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	Figure_7	0.4783832129042341	standardized_module_score_beta	positive	False	0.2810979181024343	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																											
Figure_5	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	steroid_cholesterol_endocrine	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	Figure_7	0.1523279515361337	standardized_module_score_beta	positive	False	0.6911165730638658	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																											
Figure_5	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7	0.6070000780702226	standardized_module_score_beta	positive	False	0.206894363830262	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																											
Figure_5	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	steroid_cholesterol_endocrine	LXR_FXR_STEROL_SIGNALING	LXR and FXR sterol signaling	Figure_7	0.3143941770346988	standardized_module_score_beta	positive	False	0.3176662620406192	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																											
Figure_5	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	Figure_7	0.5714152946126717	standardized_module_score_beta	positive	False	0.2229092198252626	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																											
Figure_5	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	lipid_metabolism	LIPID_DROPLET_DYNAMICS	Lipid-droplet dynamics	Figure_7	0.3179486874088084	standardized_module_score_beta	positive	False	0.282327911859945	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																											
Figure_5	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	lipid_metabolism	PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	Figure_7	0.4588103829459571	standardized_module_score_beta	positive	False	0.206894363830262	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																											
Figure_5	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	lipid_metabolism	FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	Figure_7	0.2302681651087356	standardized_module_score_beta	positive	False	0.284903610945716	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																											
Figure_5	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	Figure_7	-1.1791840557458284	hedges_g	negative	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																											
Figure_5	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	Figure_7	0.7158495728136308	hedges_g	positive	False	0.8888888888888888	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																											
Figure_5	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	Figure_7	-0.3566155416683578	hedges_g	negative	False	0.8888888888888888	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																											
Figure_5	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	Figure_7	-0.1833611081472371	hedges_g	negative	False	1.0	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																											
Figure_5	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	steroid_cholesterol_endocrine	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	Figure_7	0.6820350103952629	hedges_g	positive	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																											
Figure_5	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	steroid_cholesterol_endocrine	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	Figure_7	-0.702161501415687	hedges_g	negative	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																											
Figure_5	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7	0.5368886211433204	hedges_g	positive	False	0.8888888888888888	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																											
Figure_5	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	steroid_cholesterol_endocrine	LXR_FXR_STEROL_SIGNALING	LXR and FXR sterol signaling	Figure_7	0.6028015184097174	hedges_g	positive	False	0.8888888888888888	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																											
Figure_5	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	Figure_7	-0.5137480120935256	hedges_g	negative	False	0.8888888888888888	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																											
Figure_5	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	lipid_metabolism	LIPID_DROPLET_DYNAMICS	Lipid-droplet dynamics	Figure_7	7.658898539335444	hedges_g	positive	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																											
Figure_5	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	lipid_metabolism	PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	Figure_7	0.051226934954954	hedges_g	positive	False	1.0	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																											
Figure_5	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	lipid_metabolism	FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	Figure_7	1.1754384962200224	hedges_g	positive	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																											
Figure_5	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	Figure_7	0.2246946199165754	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.016686435982483	3.0	2.0	1.0	0.6666666666666666	0.7957454254574543																																																																					
Figure_5	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	lipid_metabolism	FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	Figure_7	-0.0051843513252547	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.3637818175693952	3.0	1.0	2.0	0.6666666666666666	0.9819024725274724																																																																					
Figure_5	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	lipid_metabolism	LIPID_DROPLET_DYNAMICS	Lipid-droplet dynamics	Figure_7	0.2193009933274784	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1655869417913011	3.0	2.0	1.0	0.6666666666666666	0.7957454254574543																																																																					
Figure_5	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	lipid_metabolism	PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	Figure_7	-0.3223128222237361	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.1121108119812518	3.0	1.0	2.0	0.6666666666666666	0.7957454254574543																																																																					
Figure_5	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7	0.0071667134795168	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1821697639014882	3.0	2.0	1.0	0.6666666666666666	0.8641483516483516																																																																					
Figure_5	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	steroid_cholesterol_endocrine	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	Figure_7	-0.2572233320109406	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.3008305731899102	3.0	1.0	2.0	0.6666666666666666	0.8641483516483516																																																																					
Figure_5	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	Figure_7	0.2253376102206074	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.055619191787873	3.0	2.0	1.0	0.6666666666666666	0.7957454254574543																																																																					
Figure_5	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	Figure_7	0.2842637032332668	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1199512101470893	3.0	2.0	1.0	0.6666666666666666	0.808596691351273																																																																					
Figure_5	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	Figure_7	0.2235907207186629	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1150103773307521	3.0	2.0	1.0	0.6666666666666666	0.7957454254574543																																																																					
Figure_5	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	steroid_cholesterol_endocrine	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	Figure_7	0.1650461221863599	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1312004525117276	3.0	2.0	1.0	0.6666666666666666	0.8707596751075012																																																																					
Figure_5	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	steroid_cholesterol_endocrine	LXR_FXR_STEROL_SIGNALING	LXR and FXR sterol signaling	Figure_7	0.1845363567021631	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1457243636820475	3.0	2.0	1.0	0.6666666666666666	0.8097570242975702																																																																					
Figure_5	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	Figure_7	-0.1576983718271122	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.0203463570960482	3.0	1.0	2.0	0.6666666666666666	0.8641483516483516																																																																					
Figure_5	B	full_GSE280297_C1_matrix																						Core steroidogenesis	0.6984821720927213	0.415028467803859	0.8795652756774262																																																																	
Figure_5	B	full_GSE280297_C1_matrix																						Androgen and testosterone biosynthesis	0.5120363485796444	0.061356505798345	1.4716923478785662																																																																	
Figure_5	B	full_GSE280297_C1_matrix																						Estrogen biosynthesis and interconversion	-0.4314114662750183	-0.2679451119744505	0.2147468730136336																																																																	
Figure_5	B	full_GSE280297_C1_matrix																						Cholesterol biosynthesis	-0.3676190350403667	-0.2427657634531032	-0.1043738636058641																																																																	
Figure_5	B	full_GSE280297_C1_matrix																						Androgen receptor signaling	-1.0188848639899222	-0.5687758189028331	-0.8043093611651837																																																																	
Figure_5	B	full_GSE280297_C1_matrix																						Estrogen receptor response	-1.0495272485911142	-0.4053843847647264	-0.9114340045584498																																																																	
Figure_5	B	full_GSE280297_C1_matrix																						Lipid-droplet dynamics	0.0201802224119687	0.1629906003038436	0.4010433374679129																																																																	
Figure_5	B	full_GSE280297_C1_matrix																						Cholesterol uptake, transport and export	-0.2187013968881286	-0.2473211136025787	-0.0460652354906136																																																																	
Figure_5	B	full_GSE280297_C1_matrix																						Progesterone biosynthesis and response	-0.5874343331618976	-0.5030817475315358	-0.0210766446069607																																																																	
Figure_5	C	decoupling_domains																										steroid_synthesis	4.0	0.1346352925632706	0.174951911311203	2.0	2.0	0.5	mixed	near_neutral	branch_selective_steroid_synthesis: core steroidogenesis and androgen/testosterone biosynthesis are positive, whereas estrogen and cholesterol biosynthesis are negative; do not describe the entire synthesis domain as globally increased	0.1346352925632706																																																						
Figure_5	C	decoupling_domains																										steroid_receptor_response	5.0	-0.8043093611651837	-0.7078938419801899	0.0	5.0	1.0	negative	negative	uniform_receptor_response_attenuation: all five receptor-response programmes are negative across the tissue-collapsed comparison	-0.8043093611651837																																																						
Figure_5	C	decoupling_domains																										metabolic_effector_response	7.0	-0.6759836665295377	-0.7049014274756004	0.0	7.0	1.0	negative	negative	uniform_metabolic_effector_attenuation: insulin/IRS, PI3K-AKT, leptin, transport and carbon-use programmes are negative	-0.6759836665295377																																																						
Figure_5	C	decoupling_domains																										complement_effector_response	4.0	0.3807106910720746	0.2096787014176523	3.0	1.0	0.75	positive	positive	branch_selective_complement_remodeling: classical, terminal-MAC and opsonophagocytosis are positive while C3a/C5a signaling is negative	0.3807106910720746																																																						
Figure_5	D	derived_locked_effect_comparison	Derived from locked primary and preterm effect tables.					ANDROGEN_RECEPTOR_SIGNALING																															0.2651613915354052	-0.8043093611651837																																																				
Figure_5	D	derived_locked_effect_comparison	Derived from locked primary and preterm effect tables.					ANDROGEN_TESTOSTERONE_BIOSYNTHESIS																															-0.21493149414931104	0.5120363485796444																																																				
Figure_5	D	derived_locked_effect_comparison	Derived from locked primary and preterm effect tables.					CHOLESTEROL_BIOSYNTHESIS																															-0.16809365492399242	-0.2427657634531032																																																				
Figure_5	D	derived_locked_effect_comparison	Derived from locked primary and preterm effect tables.					CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT																															0.3532956079616024	-0.2187013968881286																																																				
Figure_5	D	derived_locked_effect_comparison	Derived from locked primary and preterm effect tables.					ESTROGEN_BIOSYNTHESIS																															-0.03006232444406435	-0.2679451119744505																																																				
Figure_5	D	derived_locked_effect_comparison	Derived from locked primary and preterm effect tables.					ESTROGEN_RECEPTOR_RESPONSE																															0.2923614043259724	-0.9114340045584498																																																				
Figure_5	D	derived_locked_effect_comparison	Derived from locked primary and preterm effect tables.					FATTY_ACID_SYNTHESIS																															0.11845308408479359	-0.501122242204225																																																				
Figure_5	D	derived_locked_effect_comparison	Derived from locked primary and preterm effect tables.					LIPID_DROPLET_DYNAMICS																															2.0433539484802092	0.1629906003038436																																																				
Figure_5	D	derived_locked_effect_comparison	Derived from locked primary and preterm effect tables.					PROGESTERONE_BIOSYNTHESIS_RESPONSE																															0.23963390639484422	-0.5030817475315358																																																				
Figure_5	D	derived_locked_effect_comparison	Derived from locked primary and preterm effect tables.					STEROIDOGENESIS_CORE																															-0.14326445785054273	0.6984821720927213																																																				
Figure_5	E	broad_effect_reliability					steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7			higher_in_UPEC																												broad_cell_type	NK_cell	11.0	10.0	0.9090909090909092	True	-0.3336265128531356	0.3336265128531356	0.6672530257062712	0.9082311865403172	0.3333333333333333	0.2343867436237309	0.2320837551575478	0.7	0.3	0.7	0.6239316239316239	0.9082311865403172	False	moderate_cellular_localization_support	0.4417711879153895	higher_in_UPEC																														
Figure_5	E	broad_effect_reliability					steroid_cholesterol_endocrine	CHOLESTEROL_BIOSYNTHESIS	Cholesterol biosynthesis	Figure_7			lower_in_UPEC																												broad_cell_type	NK_cell	19.0	18.0	0.9473684210526316	True	0.3021164673579481	-0.3021164673579486	-0.6042329347158968	-0.9089103348965824	0.3333333333333333	-0.3132291083365098	-0.1772471835139031	0.2222222222222222	0.7777777777777778	0.7777777777777778	0.6239316239316239	-0.9089103348965824	False	moderate_cellular_localization_support	0.5672416754369615	lower_in_UPEC																														
Figure_5	E	broad_effect_reliability					steroid_cholesterol_endocrine	CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	Cholesterol uptake, transport and export	Figure_7			higher_in_UPEC																												broad_cell_type	NK_cell	19.0	16.0	0.8421052631578947	True	-0.1975590788043941	0.1975590788043935	0.3951181576087876	0.76939398124111	0.3333333333333333	0.2618783663615791	0.3646889754645799	0.625	0.375	0.625	0.6239316239316239	0.76939398124111	False	directional_cellular_support	0.4001299278495321	higher_in_UPEC																														
Figure_5	E	broad_effect_reliability					steroid_cholesterol_endocrine	ESTROGEN_BIOSYNTHESIS	Estrogen biosynthesis and interconversion	Figure_7			lower_in_UPEC																												broad_cell_type	NK_cell	9.0	6.0	0.6666666666666666	True	0.1117659074514948	-0.1117659074514963	-0.2235318149029911	-0.3710669810550134	0.6666666666666666	-0.081679563163037	-0.2239170763928322	0.3333333333333333	0.6666666666666666	0.6666666666666666	0.7978142076502732	-0.3710669810550134	False	limited_cellular_support	0.2272849716189013	lower_in_UPEC																														
Figure_5	E	broad_effect_reliability					steroid_cholesterol_endocrine	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	Figure_7			higher_in_UPEC																												broad_cell_type	NK_cell	13.0	9.0	0.6923076923076923	True	-0.5446985356749247	0.5446985356749241	1.0893970713498486	1.7018221033367524	0.3333333333333333	0.4481437831760413	0.4533207281063203	0.8888888888888888	0.1111111111111111	0.8888888888888888	0.6239316239316239	1.7018221033367524	False	high_cellular_localization_support	0.8457338374143346	higher_in_UPEC																														
Figure_5	E	broad_effect_reliability					steroid_cholesterol_endocrine	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	Figure_7			higher_in_UPEC																												broad_cell_type	NK_cell	13.0	11.0	0.8461538461538461	True	-0.4024174769244074	0.4024174769244072	0.8048349538488146	2.352272248675959	0.3333333333333333	0.4531582765753631	0.4132260247372983	0.8181818181818182	0.1818181818181818	0.8181818181818182	0.6239316239316239	2.352272248675959	False	high_cellular_localization_support	0.8305697216450996	higher_in_UPEC																														
