feature_id	GSE112098 | GSE112098_SEPSIS_VS_VASCULAR_SURGERY	GSE112098 | GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	GSE186800 | GSE186800_AVERAGE_TREATMENT	GSE186800 | GSE186800_BLOCK_MAIN_PBS	GSE186800 | GSE186800_GARDNERELLA1_VS_PBS1	GSE186800 | GSE186800_GARDNERELLA2_VS_PBS2	GSE186800 | GSE186800_INTERACTION_RECURRENCE	GSE186800 | GSE186800_TREATMENT_BLOCK1	GSE186800 | GSE186800_TREATMENT_BLOCK2	GSE252321 | GSE252321_UPEC_VS_CONTROL	GSE280297 | C1_PRETERM_VS_TERM__bladder	GSE280297 | C1_PRETERM_VS_TERM__placenta	GSE280297 | C1_PRETERM_VS_TERM__uterus	GSE280297 | C2_UPEC_VS_PBS_PREGNANCY__bladder	GSE280297 | C2_UPEC_VS_PBS_PREGNANCY__placenta	GSE280297 | C2_UPEC_VS_PBS_PREGNANCY__uterus	GSE280297 | C3_INFECTED_PREGNANT_VS_NONPREGNANT__bladder
AROMATIC_AMINO_ACID_METABOLISM	-0.033147177367898246	0.028725408230241976	-0.023869593332593475	0.28450486643323913	0.3789240645601216	-0.2618413400930198	-0.30236717541756564	0.12731399437618934	-0.1750531810413763	-2.3462045747340707	-0.2219141800002392	-0.4867605660930194	0.2497445629794132	-0.0859352267459318	-0.18037601683492	0.6572045781604307	0.727493669092695
BRANCHED_CHAIN_AMINO_ACIDS	-0.3728526308906657	-0.18621185655464878	0.14755999355741267	-0.1755262225372713	0.27995927510646107	0.26560261406202634	-0.08575276120689945	0.1904363741608624	0.10468361295396295	-0.5898504281140434	-0.2217901100176466	-0.0448427189916254	0.1154466714719366	0.0684472456905793	-0.6125112791978754	0.9393602518520584	0.3758826101230741
CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	-0.05870288859833533	0.0011385077404699945	0.055602223324741656	-0.04202267316683446	0.7504258991682132	-0.23709576283464454	-0.32831273825663565	0.21975859245305948	-0.10855414580357617	-0.9055424845650673	-0.1053306587235214	0.052076373829829	0.340131714462502	0.281575955981889	-0.4423015327729926	0.1395762639662431	0.609077680783404
CATECHOLAMINE_IRON_REDOX_INTERFACE	0.6260919382557677	0.28609099620814893	-0.009225968079382876	0.36151586875559827	0.22571078315568202	-0.25326261237087194	-0.2140021837214774	0.09777512378135582	-0.11622705994012157	0.6908838182362512	-0.4819131944584083	-0.2413652263709858	-0.1131986107226608	0.5697731798949757	0.1356736361397365	0.2901081783007024	0.3690879040648459
CHOLESTEROL_BIOSYNTHESIS	0.11981084849114046	0.11329549675053999	0.16817632907871144	1.0512245685158055	1.0573118233027665	-0.12824477035071716	-0.5040400822114953	0.4201963701844591	-0.08384371202703622	-1.1791840557458284	-0.3676190350403667	-0.2427657634531032	-0.1043738636058641	0.7254080278698753	-0.7838880627268637	0.2253376102206074	-1.3346489251793725
CHOLESTEROL_UPTAKE_TRANSPORT_EXPORT	0.23743452465473888	0.07635239095577863	0.33671676484373353	-0.029157688393612588	0.5109387801565547	0.9720783342236391	0.13444171056403087	0.2694959095617181	0.40393762012574896	0.7158495728136308	-0.2187013968881286	-0.2473211136025787	-0.0460652354906136	0.3891861816974427	-0.3135962544894414	0.2842637032332668	0.3252611233852946
COMPLEMENT_ALTERNATIVE	-0.731056330288296	-0.2673400614452372	-0.06989438837957757	0.13314582482122964	-0.08996886425888818	-0.1791628870008013	-0.019113995965954533	-0.0603373903966003	-0.07945138636255483	-0.3102140209047214	-0.0404714996380272	0.3720849442675417	0.130834045096689	0.2987179578977494	0.1301188306592004	0.961724494107166	0.7048957838255627
COMPLEMENT_C3A_C5A_SIGNALING	0.9145963745038117	0.5287083346929622	-0.05002858589692766	-0.0374913713907898	-0.7384350414620942	0.4695695499121211	0.5011708508321366	-0.300614011312996	0.20055683951914066	1.2719950882687319	-0.5266738017879126	0.3431704758291174	-0.4971530114341522	0.6066408853550672	-0.1757757683686546	0.0680688980830458	0.3184523534868373
COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	-0.03531720482920195	-0.03299632430636446	-0.06214060377313474	-0.21778855851424728	-0.5325484628340936	0.5722643770857382	0.6655675756917646	-0.39492439161901705	0.27064318407274757	-0.1859260840471238	0.2020359434638153	0.0205876229426282	0.6627100216153843	0.3000879207652096	-0.0800546490400399	1.1686840835533288	0.643811596451764
COMPLEMENT_CLASSICAL	0.20243713325042986	0.04816064226154593	-0.3507055049241107	-0.11853353318826554	-1.017195035259611	-0.04639848565089283	0.6496155303874109	-0.6755132701178161	-0.02589773973040521	0.04498582180336342	0.4735556700610808	0.1666802827006261	0.6663628809423575	0.2653474573865672	-0.3581803266020909	0.7159321600271066	0.9339565793762142
