feature_id	axis	display_label	proposed_figure_family	n_effect_contexts	n_datasets	datasets	n_positive_contexts	n_negative_contexts	directional_coherence_fraction	dominant_direction	median_effect	median_absolute_effect	max_absolute_effect	n_large_effect_contexts	n_moderate_effect_contexts	n_datasets_large_effect	n_datasets_moderate_effect	n_FDR10_contexts	cross_dataset_priority_score	validation_class
GLUCOSE_TRANSPORT	carbohydrate_inflammatory_carbon	Glucose transport	Figure_8	9	4	GSE112098;GSE186800;GSE252321;GSE280297	5	4	0.5555555555555556	positive	0.3288914509133137	0.38614994366692945	1.3650722104202886	1	2	1	2	0	9.663927721444708	two_dataset_moderate_effect
LIPID_DROPLET_DYNAMICS	lipid_metabolism	Lipid-droplet dynamics	Figure_7	9	4	GSE112098;GSE186800;GSE252321;GSE280297	6	3	0.6666666666666666	positive	0.2193009933274784	0.31794868740880844	7.658898539335444	1	2	1	2	0	9.651282020742142	two_dataset_moderate_effect
TRYPTOPHAN_KYNURENINE	amino_acid_metabolism	Tryptophan-kynurenine metabolism	Figure_9	9	4	GSE112098;GSE186800;GSE252321;GSE280297	3	6	0.6666666666666666	negative	-0.28333183636675097	0.3147448923123198	1.1071274608568007	1	2	1	2	0	9.648078225645653	two_dataset_moderate_effect
PLACENTAL_STEROID_METABOLISM	steroid_cholesterol_endocrine	Placental steroid metabolism	Figure_7	9	4	GSE112098;GSE186800;GSE252321;GSE280297	5	4	0.5555555555555556	positive	0.05409831943741095	0.24436381190126694	1.0602349023846258	1	2	1	2	0	9.522141589679045	two_dataset_moderate_effect
AROMATIC_AMINO_ACID_METABOLISM	amino_acid_metabolism	Aromatic amino-acid metabolism	Figure_9	9	4	GSE112098;GSE186800;GSE252321;GSE280297	3	6	0.6666666666666666	negative	-0.033147177367898246	0.12731399437618934	2.3462045747340707	1	2	1	2	0	9.460647327709523	two_dataset_moderate_effect
STEROID_CATABOLISM_DEACTIVATION	steroid_cholesterol_endocrine	Steroid catabolism and deactivation	Figure_7	2	1	GSE112098	0	2	1.0	negative	-0.41951828294812754	0.41951828294812754	0.6204112769001016	0	1	0	1	2	9.419518282948127	multi_context_FDR_supported
PPAR_SREBP_LXR_REGULATION	lipid_metabolism	PPAR, SREBP and LXR regulation	Figure_7	9	4	GSE112098;GSE186800;GSE252321;GSE280297	7	2	0.7777777777777778	positive	0.416921514850779	0.4309411285707986	0.5810081152389857	0	1	0	1	2	9.319830017459688	multi_context_FDR_supported
FATTY_ACID_SYNTHESIS	lipid_metabolism	Fatty-acid synthesis	Figure_7	9	4	GSE112098;GSE186800;GSE252321;GSE280297	7	2	0.7777777777777778	positive	0.3692512130662471	0.4007421562587914	0.7735793761590963	0	4	0	3	0	9.289631045147681	broad_multi_dataset_moderate_effect
MTORC1_INSULIN_OUTPUT	insulin_irs_signaling	mTORC1 insulin output	Figure_8	9	4	GSE112098;GSE186800;GSE252321;GSE280297	5	4	0.5555555555555556	positive	0.2898294371376078	0.4575154607217774	0.8445635313098261	1	3	1	1	0	9.235293238499557	single_dataset_or_context_specific
ESTROGEN_BIOSYNTHESIS	steroid_cholesterol_endocrine	Estrogen biosynthesis and interconversion	Figure_7	9	4	GSE112098;GSE186800;GSE252321;GSE280297	4	5	0.5555555555555556	negative	-0.010273592413336863	0.25503494606036786	0.7354618391696324	0	1	0	1	2	9.032812723838147	multi_context_FDR_supported
UREA_CYCLE	nucleotide_nad_nitrogen	Urea cycle	Figure_9	9	4	GSE112098;GSE186800;GSE252321;GSE280297	4	5	0.5555555555555556	negative	-0.0290504154574962	0.2212662407418033	0.594293644026158	0	1	0	1	2	8.999044018519582	multi_context_FDR_supported
STEROID_SULFATION_DESULFATION	steroid_cholesterol_endocrine	Steroid sulfation and desulfation	Figure_7	9	4	GSE112098;GSE186800;GSE252321;GSE280297	4	5	0.5555555555555556	negative	-0.0708935816515748	0.3011237238671093	0.8804057063697692	1	2	1	1	0	8.078901501644888	single_dataset_or_context_specific
GLUCONEOGENESIS	carbohydrate_inflammatory_carbon	Gluconeogenesis	Figure_8	9	4	GSE112098;GSE186800;GSE252321;GSE280297	5	4	0.5555555555555556	positive	0.008475638889404696	0.06628980294075906	1.1931810405762515	1	2	1	1	0	7.844067580718537	single_dataset_or_context_specific
