dataset	contrast_id	biological_context	evidence_tier	group_a	group_b	n_group_a	n_group_b	feature_type	axis	feature_id	display_label	proposed_figure_family	model_estimate	model_standard_error	model_t_value	model_p_value	degrees_freedom	direction	model_q_within_contrast	model_fdr_0_05	model_fdr_0_10
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	steroid_cholesterol_endocrine	MINERALOCORTICOID_RESPONSE	Mineralocorticoid response	Figure_7	0.05832730504074697	0.13797563744941488	0.42273626068320314	0.6738022401623951	69	positive	0.8262878457488857	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	steroid_cholesterol_endocrine	STEROID_SULFATION_DESULFATION	Steroid sulfation and desulfation	Figure_7	-0.0708935816515748	0.0680252660313069	-1.0421654451001754	0.300972774863515	69	negative	0.46565599129826846	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	steroid_cholesterol_endocrine	STEROID_CATABOLISM_DEACTIVATION	Steroid catabolism and deactivation	Figure_7	-0.21862528899615347	0.08636087974759882	-2.5315315179177773	0.013638430032671636	69	negative	0.04659796927829476	True	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	steroid_cholesterol_endocrine	PLACENTAL_STEROID_METABOLISM	Placental steroid metabolism	Figure_7	-0.1552334804905158	0.13721518111791398	-1.131314182773392	0.2618395890331254	69	negative	0.42941692601432563	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	steroid_cholesterol_endocrine	LXR_FXR_STEROL_SIGNALING	LXR and FXR sterol signaling	Figure_7	0.1135367031053207	0.08727827147424681	1.3008587496926076	0.1976344359254392	69	positive	0.3448090158699152	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	Figure_7	0.1914504339034529	0.10133870821544912	1.8892132855732042	0.06306593319619913	69	positive	0.14365018116912026	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	lipid_metabolism	FATTY_ACID_BETA_OXIDATION	Fatty-acid beta-oxidation	Figure_7	0.22568076369525122	0.0918845635730025	2.4561335976303282	0.016565364824627525	69	positive	0.05433439662477828	False	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	lipid_metabolism	PHOSPHOLIPID_METABOLISM	Phospholipid metabolism	Figure_7	0.12031125109120595	0.0911037592062426	1.320595902292493	0.1909996910083517	69	positive	0.3404777100583661	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	lipid_metabolism	SPHINGOLIPID_CERAMIDE_METABOLISM	Sphingolipid and ceramide metabolism	Figure_7	0.11399255125543237	0.08379250491752889	1.3604146500647913	0.17812651528439066	69	positive	0.32458609451822296	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	lipid_metabolism	EICOSANOID_PROSTAGLANDIN_METABOLISM	Eicosanoid and prostaglandin metabolism	Figure_7	0.05794595088024949	0.0604769935726747	0.9581486687266675	0.34133311576711045	69	positive	0.4998092052304117	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	lipid_metabolism	LIPID_DROPLET_DYNAMICS	Lipid-droplet dynamics	Figure_7	-0.022732426150893235	0.07098630721714151	-0.32023677582433663	0.7497566032967099	69	negative	0.8538894648656974	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	lipid_metabolism	PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	Figure_7	0.17972431817783985	0.07991335273336647	2.248989837499322	0.027708269835616813	69	positive	0.07662052452729609	False	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	lipid_metabolism	FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	Figure_7	0.30022583911478334	0.1040871955389233	2.8843686061511207	0.005227982352523029	69	positive	0.02436640425800011	True	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	carbohydrate_inflammatory_carbon	GLYCOLYSIS	Glycolysis	Figure_8	0.5185656802666957	0.1333604212507588	3.888452626372797	0.000229280178556646	69	positive	0.0031334957736074954	True	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	carbohydrate_inflammatory_carbon	GLUCONEOGENESIS	Gluconeogenesis	Figure_8	0.04961022111526461	0.12187052156018911	0.4070731829170292	0.685214311108832	69	positive	0.8262878457488857	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8	0.1062257048368329	0.09854995706188521	1.0778868708195137	0.2848381848136595	69	positive	0.44916790682154	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	carbohydrate_inflammatory_carbon	GLYCOGENOLYSIS	Glycogenolysis	Figure_8	0.08771680327733986	0.058872796761887426	1.4899377658600588	0.14079774872867032	69	positive	0.26298534989558625	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	carbohydrate_inflammatory_carbon	PENTOSE_PHOSPHATE_PATHWAY	Pentose-phosphate pathway	Figure_8	0.2951959645232309	0.12731176674100575	2.3186856335420836	0.0233808278923313	69	positive	0.07373953412196795	False	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	carbohydrate_inflammatory_carbon	TCA_OXPHOS	TCA cycle and oxidative phosphorylation	Figure_8	0.3732675129944998	0.19731517917958077	1.8917323773392063	0.06272394156741638	69	positive	0.14365018116912026	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	carbohydrate_inflammatory_carbon	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	Figure_8	0.43560616821659554	0.13543246214930382	3.216408838055188	0.001977083369883543	69	positive	0.014738257848222776	True	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	carbohydrate_inflammatory_carbon	AMPK_SIGNALING	AMPK signaling	Figure_8	0.0912333779816898	0.09347685820430333	0.975999618882032	0.3324741076396188	69	positive	0.4956886695717953	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	carbohydrate_inflammatory_carbon	MTOR_SIGNALING	mTOR signaling	Figure_8	0.16589026859572997	0.09229776267244534	1.7973379179781028	0.07665768415067918	69	positive	0.16989000271231602	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	carbohydrate_inflammatory_carbon	GLUCOSE_TRANSPORT	Glucose transport	Figure_8	-0.007438972145480721	0.1143304493203271	-0.06506553756854803	0.9483099646653114	69	negative	0.9720177137819441	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	carbohydrate_inflammatory_carbon	AGE_RAGE_SIGNALING	AGE-RAGE signaling	Figure_8	0.32630968644040603	0.11520596399872667	2.832402725643723	0.0060508432638427855	69	positive	0.026114165665005705	True	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8	0.18955672625986228	0.09616191960437641	1.971224441439243	0.052710071135295584	69	positive	0.13097654039679507	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8	0.3307016024578986	0.12071017755659899	2.7396331374199008	0.007822103486579187	69	positive	0.03207062429497466	True	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	insulin_irs_signaling	MTORC1_INSULIN_OUTPUT	mTORC1 insulin output	Figure_8	-0.10228374975171871	0.09362726798656697	-1.0924568445849954	0.2784320383963338	69	negative	0.4476750421274387	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	insulin_irs_signaling	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	Figure_8	-0.09601341314009375	0.10573594920933306	-0.9080489072832655	0.3670130104731435	69	negative	0.5070611472459167	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8	0.35440387880688545	0.11944115370651258	2.9671839881730935	0.004127412487490622	69	positive	0.022563188264948734	True	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	adipokine_signaling	ADIPONECTIN_SIGNALING	Adiponectin signaling	Figure_8	0.08806568020472003	0.10968098156613923	0.8029257118893957	0.42477482378303766	69	positive	0.5710087795116244	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	Figure_8	0.4390215145607949	0.1415373857942698	3.1018060146944504	0.002785977869469289	69	positive	0.019037515441373474	True	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	adipokine_signaling	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	Figure_8	0.1824122944479139	0.08555590774872579	2.1320829764748845	0.036562159295275	69	positive	0.0936905331941422	False	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	adipokine_signaling	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	Figure_8	0.1889232013025937	0.07316697502870313	2.582082985233158	0.011946435252217162	69	positive	0.04259163872529597	True	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	amino_acid_metabolism	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	Figure_9	0.07688105389796214	0.11075396818592566	0.694160716380833	0.48991202331725403	69	positive	0.6479481598712069	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	Figure_9	0.21469442264430785	0.06653709279625838	3.2266877559817413	0.0019164838048193432	69	positive	0.014738257848222776	True	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	Figure_9	0.13275488733344878	0.0814988911882973	1.6289164846025723	0.10788828490339349	69	positive	0.22117098405195662	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	Figure_9	0.03844113640329915	0.12965221378353278	0.29649425398536144	0.7677432793789233	69	positive	0.8622392255750516	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	Figure_9	0.05162594394120492	0.05119703888426626	1.008377536402217	0.31679641669160635	69	positive	0.48106122534651335	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	Figure_9	-0.18621185655464878	0.1188532205514598	-1.5667379957451364	0.1217509459838189	69	negative	0.2435018919676378	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	Figure_9	0.028725408230241976	0.13544730373417388	0.21207811036695037	0.8326713264385682	69	positive	0.8867408930904233	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9	0.14040683559367653	0.08080028373169187	1.7377022593128035	0.08672475436070239	69	positive	0.18234435532250245	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	catecholamine_stress_adjacent	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	Figure_9	0.0011385077404699945	0.1286947366711208	0.008846575780169234	0.9929670741100868	69	positive	0.9929670741100869	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	catecholamine_stress_adjacent	ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	Figure_9	-0.10376575465586874	0.11523946719124399	-0.9004359112808616	0.3710203516433537	69	negative	0.5070611472459167	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	catecholamine_stress_adjacent	CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	Figure_9	0.28609099620814893	0.10964373042245884	2.6092782059296624	0.011117064304939962	69	positive	0.04143633059113985	True	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	nucleotide_nad_nitrogen	PURINE_DE_NOVO_SYNTHESIS	De novo purine synthesis	Figure_9	0.03839658688493037	0.13912592177748143	0.2759844204039994	0.783384945511591	69	positive	0.8622392255750516	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	nucleotide_nad_nitrogen	PURINE_SALVAGE	Purine salvage	Figure_9	0.10524996513644888	0.05465181948339391	1.9258272850079463	0.05824729253842912	69	positive	0.14047876435738788	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	nucleotide_nad_nitrogen	PURINE_DEGRADATION_URATE	Purine degradation and urate	Figure_9	0.13550411202567478	0.09101972666790505	1.4887334535740329	0.14111409018787555	69	positive	0.26298534989558625	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	nucleotide_nad_nitrogen	PYRIMIDINE_SYNTHESIS	Pyrimidine synthesis	Figure_9	0.04089756967272843	0.11716637247446494	0.34905552513919114	0.7281105890820221	69	positive	0.8409164549961382	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	nucleotide_nad_nitrogen	PYRIMIDINE_DEGRADATION	Pyrimidine degradation	Figure_9	0.47719055698265206	0.09774991718939115	4.881748964125381	6.528212605990397e-06	69	positive	0.0005353134336912125	True	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	nucleotide_nad_nitrogen	NAD_METABOLISM	NAD metabolism	Figure_9	-0.004488135664291168	0.04529250956578486	-0.0990922275519399	0.9213523693610031	69	negative	0.9608187676359404	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	nucleotide_nad_nitrogen	UREA_CYCLE	Urea cycle	Figure_9	0.2398267873201662	0.07964894116140935	3.011048029303427	0.0036355796656969597	69	positive	0.021294109470510764	True	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	nucleotide_nad_nitrogen	NITRIC_OXIDE_SYNTHESIS_REGULATION	Nitric-oxide synthesis and regulation	Figure_9	0.16155925619984426	0.0719905489068755	2.2441731401274874	0.02803189921730345	69	positive	0.07662052452729609	False	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	nucleotide_nad_nitrogen	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	Xanthine oxidase and oxidative purine catabolism	Figure_9	0.5129682817281497	0.117470558801463	4.366781659693281	4.3373974199274764e-05	69	positive	0.0011855552947801769	True	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	complement_architecture	COMPLEMENT_CLASSICAL	Classical complement pathway	Figure_10	0.04816064226154593	0.11714646979802461	0.4111147552681783	0.6822624674676563	69	positive	0.8262878457488857	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	complement_architecture	COMPLEMENT_LECTIN	Lectin complement pathway	Figure_10	-0.04462666597582718	0.19158553658770067	-0.2329333767604047	0.8165027358722647	69	negative	0.8809634781779699	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	complement_architecture	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	Figure_10	-0.2673400614452372	0.08831456256634182	-3.027134525457357	0.003469280880720067	69	negative	0.021294109470510764	True	True
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	complement_architecture	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	Figure_10	-0.03299632430636446	0.08955033514599832	-0.3684667874505319	0.7136533017177813	69	negative	0.8359938677265438	False	False
GSE112098	GSE112098_SEPSIS_VS_VASCULAR_SURGERY_ADJUSTED	human_urinary_systemic_inflammation_comparator	human_comparator_adjusted	sepsis	vascular_surgery	41	32	submodule	complement_architecture	COMPLEMENT_TERMINAL_MAC	Terminal complement and membrane-attack complex	Figure_10	-0.04201224542425159	0.15610440756921284	-0.26912914297839025	0.788633438025962	69	negative	0.8622392255750516	False	False
