figure	panel	source_role	source_note	dataset	primary_context	feature_type	axis	feature_id	display_label	proposed_figure_family	effect_value	effect_metric	direction	fdr_0_10	q_value	evidence_weight	interpretation_role	mean_tissue_effect	n_tissues	n_positive_tissues	n_negative_tissues	tissue_directional_coherence	best_tissue_q_value	absolute_effect	population_level	population	requested_genes	detected_genes	coverage_fraction	score_eligible	mean_control_score	mean_UPEC_score	mean_difference_UPEC_minus_control	hedges_g_UPEC_vs_control	exact_permutation_p	module_mean_gene_log2FC	module_median_gene_log2FC	fraction_genes_positive_log2FC	fraction_genes_negative_log2FC	gene_direction_coherence	exact_permutation_q_within_population	hedges_g_finite	variance_sensitive_hedges_g	cellular_evidence_class	cellular_localization_score	effect_direction	refined_broad_cell_type	mean_control	mean_UPEC	difference_UPEC_minus_control	_value	targeted_measure	n_independent_datasets	datasets	dataset_effects	n_positive_datasets	n_negative_datasets	dominant_direction	weighted_directional_coherence	median_effect	median_absolute_effect	max_absolute_effect	n_FDR10_datasets	n_moderate_effect_datasets	n_large_effect_datasets	validation_class	independent_evidence_priority_score	n_non_tiny_concordant_moderate_datasets	biological_priority	preterm_vs_term_effect	preterm_tissue_coherence	preterm_direction	infection_outcome_relation	refined_preterm_effect_class	refined_infection_outcome_relation	manuscript_claim_priority	_priority	n_populations	n_positive_populations	n_negative_populations	directional_coherence_fraction	n_high_or_moderate_populations	top_population_by_composite_score	top_population_composite_score	top_population_evidence_class	top_population_mean_gene_log2FC	top_population_gene_direction_coherence	top_population_hedges_g	top_population_variance_sensitive_g	top_to_second_score_ratio	cellular_localization_class	median_mean_gene_log2FC	median_gene_direction_coherence	median_composite_score	top_refined_subtype	top_refined_subtype_composite_score	top_refined_subtype_mean_gene_log2FC	top_refined_subtype_gene_direction_coherence	top_refined_subtype_hedges_g	top_refined_subtype_variance_sensitive_g
Figure_8	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10	-0.0500285858969276	standardized_module_score_beta	negative	False	0.8666984902750224	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																																			
Figure_8	A	primary_independent_effects		GSE186800	GSE186800_AVERAGE_TREATMENT	submodule	immune_context_anchors	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	Integrated_network	0.3426604694469146	standardized_module_score_beta	positive	False	0.2229092198252626	1.0	mouse_bladder_average_pathogen_exposure_effect																																																																																			
Figure_8	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7	0.5368886211433204	hedges_g	positive	False	0.8888888888888888	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																																			
Figure_8	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	Figure_7	-0.5137480120935256	hedges_g	negative	False	0.8888888888888888	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																																			
Figure_8	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8	1.601768502216392	hedges_g	positive	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																																			
Figure_8	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8	0.6086712161392323	hedges_g	positive	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																																			
Figure_8	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8	0.5144853654662742	hedges_g	positive	False	0.8888888888888888	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																																			
Figure_8	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8	0.9900621618745398	hedges_g	positive	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																																			
Figure_8	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9	1.5424044949776037	hedges_g	positive	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																																			
Figure_8	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10	0.6106585347065031	hedges_g	positive	False	0.8888888888888888	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																																			
Figure_8	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10	1.271995088268732	hedges_g	positive	False	0.808080808080808	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																																			
Figure_8	A	primary_independent_effects		GSE252321	GSE252321_UPEC_VS_CONTROL	submodule	immune_context_anchors	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	Integrated_network	0.5280174153001915	hedges_g	positive	False	0.8888888888888888	0.25	exploratory_mouse_whole_object_UPEC_pseudobulk																																																																																			
Figure_8	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8	0.3394515424730212	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.2188321655207958	3.0	2.0	1.0	0.6666666666666666	0.7957454254574543																																																																													
Figure_8	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9	-0.0778555504629274	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.0305775529812834	3.0	1.0	2.0	0.6666666666666666	0.8641483516483516																																																																													
Figure_8	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8	-0.0039774294391697	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.2169746742714997	3.0	1.0	2.0	0.6666666666666666	0.7957454254574543																																																																													
Figure_8	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10	0.0680688980830458	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1663113383564861	3.0	2.0	1.0	0.6666666666666666	0.9001145340011454																																																																													
Figure_8	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10	0.4245595687724989	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.3520418835477626	3.0	2.0	1.0	0.6666666666666666	0.8641483516483516																																																																													
Figure_8	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	immune_context_anchors	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	Integrated_network	0.538690474302069	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.3204751494814873	3.0	2.0	1.0	0.6666666666666666	0.8641483516483516																																																																													
Figure_8	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8	-0.0467415211978371	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.0900382817237325	3.0	1.0	2.0	0.6666666666666666	0.7957454254574543																																																																													
Figure_8	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8	0.1040068212709447	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.0344466932821367	3.0	2.0	1.0	0.6666666666666666	0.8707596751075012																																																																													
Figure_8	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	Figure_7	0.2246946199165754	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.016686435982483	3.0	2.0	1.0	0.6666666666666666	0.7957454254574543																																																																													
Figure_8	A	primary_independent_effects		GSE280297	GSE280297_UPEC_VS_PBS_PREGNANCY_COLLAPSED	submodule	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7	0.0071667134795168	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.1821697639014882	3.0	2.0	1.0	0.6666666666666666	0.8641483516483516																																																																													
Figure_8	A	preterm_collapsed		GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8	-0.7524117043029656	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.599050700075857	3.0	0.0	3.0	1.0	0.9211087420042644	0.7524117043029656																																																																												
Figure_8	A	preterm_collapsed		GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9	-0.9110329763420932	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.7921422427093464	3.0	0.0	3.0	1.0	0.9211087420042644	0.9110329763420932																																																																												
Figure_8	A	preterm_collapsed		GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8	-0.3027964300522092	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.4679278254658598	3.0	1.0	2.0	0.6666666666666666	0.9211087420042644	0.3027964300522092																																																																												
Figure_8	A	preterm_collapsed		GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10	-0.4971530114341522	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.2268854457976491	3.0	1.0	2.0	0.6666666666666666	0.9211087420042644	0.4971530114341522																																																																												
Figure_8	A	preterm_collapsed		GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10	0.2878657120830686	median_tissue_hedges_g	positive	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	0.288477426336404	3.0	3.0	0.0	1.0	0.9211087420042644	0.2878657120830686																																																																												
Figure_8	A	preterm_collapsed		GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	immune_context_anchors	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	Integrated_network	-0.0580089231599877	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.201763321255888	3.0	0.0	3.0	1.0	0.9211087420042644	0.0580089231599877																																																																												
Figure_8	A	preterm_collapsed		GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8	-0.6759836665295377	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.8086637040244443	3.0	0.0	3.0	1.0	0.9211087420042644	0.6759836665295377																																																																												
Figure_8	A	preterm_collapsed		GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8	-0.6352753686157185	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.7630087488439948	3.0	0.0	3.0	1.0	0.9211087420042644	0.6352753686157185																																																																												
Figure_8	A	preterm_collapsed		GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	Figure_7	-0.501122242204225	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.4432980369090478	3.0	0.0	3.0	1.0	0.9211087420042644	0.501122242204225																																																																												
Figure_8	A	preterm_collapsed		GSE280297	GSE280297_PRETERM_VS_TERM_COLLAPSED	submodule	steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7	-0.8043093611651837	median_tissue_hedges_g	negative	False		1.0	pregnancy_tissue_discovery_collapsed_across_tissues	-0.797323348019313	3.0	0.0	3.0	1.0	0.9211087420042644	0.8043093611651837																																																																												
Figure_8	B	broad_effect_reliability					amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9			higher_in_UPEC												broad_cell_type	NK_cell	14.0	11.0	0.7857142857142857	True	-0.468702618855721	0.4687026188557217	0.9374052377114428	1.877869581607972	0.3333333333333333	0.7513013470252585	0.4744100811250309	0.8181818181818182	0.1818181818181818	0.8181818181818182	0.6239316239316239	1.877869581607972	False	high_cellular_localization_support	0.86051423088807	higher_in_UPEC																																																						
Figure_8	B	broad_effect_reliability					steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7			higher_in_UPEC												broad_cell_type	NK_cell	11.0	10.0	0.9090909090909092	True	-0.3336265128531356	0.3336265128531356	0.6672530257062712	0.9082311865403172	0.3333333333333333	0.2343867436237309	0.2320837551575478	0.7	0.3	0.7	0.6239316239316239	0.9082311865403172	False	moderate_cellular_localization_support	0.4417711879153895	higher_in_UPEC																																																						
Figure_8	B	broad_effect_reliability					complement_architecture	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	Figure_10			higher_in_UPEC												broad_cell_type	NK_cell	12.0	10.0	0.8333333333333334	True	-0.5865626211361246	0.5865626211361203	1.173125242272245	0.9680806204399348	0.3333333333333333	1.540660439219226	1.8569118544363827	0.9	0.1	0.9	0.6239316239316239	0.9680806204399348	False	high_cellular_localization_support	0.8268080620439935	higher_in_UPEC																																																						
Figure_8	B	broad_effect_reliability					complement_architecture	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	Figure_10			lower_in_UPEC												broad_cell_type	NK_cell	14.0	8.0	0.5714285714285714	True	0.1234394331864597	-0.1234394331864596	-0.2468788663729194	-0.3625571228535122	0.6666666666666666	0.0228325204878912	-0.3467957998464377	0.375	0.625	0.625	0.7978142076502732	-0.3625571228535122	False	limited_cellular_support	0.1443049807244533	higher_in_UPEC																																																						
Figure_8	B	broad_effect_reliability					lipid_metabolism	FATTY_ACID_SYNTHESIS	Fatty-acid synthesis	Figure_7			higher_in_UPEC												broad_cell_type	NK_cell	14.0	12.0	0.8571428571428571	True	-0.3825179737092358	0.3825179737092354	0.7650359474184713	0.9496621017565812	0.3333333333333333	0.382938419483289	0.2704316195157759	0.75	0.25	0.75	0.6239316239316239	0.9496621017565812	False	high_cellular_localization_support	0.6146107877106182	higher_in_UPEC																																																						
Figure_8	B	broad_effect_reliability					carbohydrate_inflammatory_carbon	GLYCOGEN_SYNTHESIS	Glycogen synthesis	Figure_8			higher_in_UPEC												broad_cell_type	NK_cell	10.0	7.0	0.7	True	-0.3099657632221142	0.3099657632221142	0.6199315264442284	1.3364412229184706	0.3333333333333333	0.6870788582378543	0.2245468308089186	0.7142857142857143	0.2857142857142857	0.7142857142857143	0.6239316239316239	1.3364412229184706	False	moderate_cellular_localization_support	0.7336441222918471	higher_in_UPEC																																																						
Figure_8	B	broad_effect_reliability					insulin_irs_signaling	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	Figure_8			higher_in_UPEC												broad_cell_type	NK_cell	18.0	17.0	0.9444444444444444	True	-0.3518377518132343	0.3518377518132358	0.7036755036264701	1.3985257466357064	0.3333333333333333	0.2906724172111529	0.2602583244245178	0.8235294117647058	0.1764705882352941	0.8235294117647058	0.6239316239316239	1.3985257466357064	False	moderate_cellular_localization_support	0.6279283383889023	higher_in_UPEC																																																						
Figure_8	B	broad_effect_reliability					adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	Figure_8			higher_in_UPEC												broad_cell_type	NK_cell	12.0	11.0	0.9166666666666666	True	-0.365936613388668	0.365936613388668	0.7318732267773361	1.088771830579674	0.3333333333333333	0.301428621007954	0.2482658556302777	0.6363636363636364	0.3636363636363636	0.6363636363636364	0.6239316239316239	1.088771830579674	False	directional_cellular_support	0.4756174874196714	higher_in_UPEC																																																						
Figure_8	B	broad_effect_reliability					insulin_irs_signaling	PI3K_AKT_SIGNALING	PI3K-AKT signaling	Figure_8			higher_in_UPEC												broad_cell_type	NK_cell	17.0	17.0	1.0	True	-0.2809617372291303	0.2809617372291313	0.5619234744582616	0.805301887041079	0.3333333333333333	0.1524818875761933	0.161893186075976	0.7647058823529411	0.2352941176470588	0.7647058823529411	0.6239316239316239	0.805301887041079	False	directional_cellular_support	0.4030580051697406	higher_in_UPEC																																																						
Figure_8	B	broad_effect_reliability					immune_context_anchors	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	Integrated_network			higher_in_UPEC												broad_cell_type	NK_cell	15.0	15.0	1.0	True	-0.1653951669291672	0.1653951669291668	0.3307903338583341	0.6800849318838929	0.6666666666666666	0.161546637403379	0.2516428809907163	0.6666666666666666	0.3333333333333333	0.6666666666666666	0.7978142076502732	0.6800849318838929	False	directional_cellular_support	0.330067133518097	higher_in_UPEC																																																						
Figure_8	B	broad_effect_reliability					amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	Figure_9			higher_in_UPEC												broad_cell_type	T_cell	14.0	11.0	0.7857142857142857	True	-0.2380172317435331	0.2380172317435321	0.4760344634870652	1.1162480684842262	0.3333333333333333	0.7752259568494009	0.2470741779329346	0.6363636363636364	0.3636363636363636	0.6363636363636364	0.5289855072463768	1.1162480684842262	False	directional_cellular_support	0.6570793523029681	higher_in_UPEC																																																						
Figure_8	B	broad_effect_reliability					steroid_cholesterol_endocrine	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	Figure_7			higher_in_UPEC												broad_cell_type	T_cell	11.0	10.0	0.9090909090909092	True	-0.3046982992026099	0.3046982992026107	0.6093965984052205	0.5105213692055126	0.6666666666666666	0.4556513294902888	0.2004379524102977	0.8	0.2	0.8	0.8248587570621468	0.5105213692055126	False	moderate_cellular_localization_support	0.6711383334618112	higher_in_UPEC																																																						
