cluster	rank	gene_symbol	cluster_mean_log_expression	outside_mean_log_expression	specificity_difference	global_mean_log_expression
7	25	KLRK1	0.61602324	0.31940603	0.2966172	0.33729172
8	1	GZMA	3.489041	0.21933097	3.26971	0.30794007
8	2	NKG7	2.9430728	0.2448515	2.6982212	0.31797317
8	3	CCL5	2.8532941	0.43146464	2.4218295	0.49709675
8	4	AW112010	2.7000666	0.44797298	2.2520936	0.5090047
8	5	IL2RB	2.3016443	0.22571492	2.0759294	0.28197217
8	6	GZMB	2.0682998	0.119454525	1.9488453	0.1722683
8	7	MS4A4B	2.1848235	0.29301748	1.891806	0.34428552
8	8	KLRE1	1.7531593	0.09529313	1.6578661	0.14022122
8	9	GIMAP4	1.8563592	0.2272247	1.6291345	0.2713743
8	10	CCL4	2.8393445	1.3241711	1.5151734	1.3652321
8	11	CTSW	1.639712	0.1334089	1.5063031	0.17422976
8	12	KLRB1C	1.5599673	0.07569907	1.4842682	0.115922764
8	13	KLRK1	1.7259617	0.29861045	1.4273512	0.33729172
8	14	PRF1	1.4634519	0.04867721	1.4147747	0.0870176
8	15	KLRA8	1.4494964	0.08036704	1.3691293	0.117470376
8	16	XCL1	1.2922443	0.053156555	1.2390878	0.08673579
8	17	KLRD1	1.5254517	0.38864857	1.1368032	0.41945624
8	18	NCR1	1.1921769	0.061882444	1.1302944	0.09251342
8	19	GIMAP6	1.3648827	0.24389796	1.1209848	0.2742767
8	20	KLRA9	1.1630898	0.058785252	1.1043046	0.08871192
8	21	DUSP2	1.4909947	0.43903163	1.0519631	0.46753964
8	22	H2-Q7	1.5015572	0.45113736	1.0504198	0.47960407
8	23	KLRA13-PS	1.0851386	0.0428181	1.0423205	0.07106496
8	24	PTPRCAP	1.3329288	0.29861698	1.0343118	0.3266466
8	25	EOMES	1.0619626	0.040579718	1.0213829	0.06825918
9	1	S100A9	4.9333076	0.8629418	4.070366	1.1405394
9	2	IL1B	5.035727	1.4301469	3.60558	1.6760465
9	3	S100A8	4.1490507	0.5793773	3.5696735	0.82282823
9	4	CXCL2	5.1534004	1.791635	3.3617654	2.020905
9	5	SLFN4	4.3814445	1.3519734	3.029471	1.5585791
9	6	CXCR2	2.9026082	0.2966251	2.605983	0.47435355
9	7	CSF3R	3.0905864	0.49850827	2.5920782	0.6752886
