gene_symbol	mean_log_expression	variance_log_expression	dispersion_score	hvg_rank
SERPING1	0.01801049	0.03614403	2.0067208	110
CTLA2A	0.35761833	0.71729946	2.0057626	111
JCHAIN	0.020068409	0.040241327	2.0051076	112
IGFBP7	0.039499886	0.07886565	1.9965539	113
NEB	0.06758817	0.13480975	1.9945465	114
CD3E	0.16044188	0.31987357	1.9936913	115
SERPINH1	0.025809107	0.0513524	1.9896237	116
COL3A1	0.10338924	0.2054526	1.9871567	117
GIMAP4	0.2713743	0.5392273	1.9870169	118
ARG1	0.55021274	1.0931838	1.9868346	119
TCRG-C2	0.03718218	0.07366016	1.9810077	120
C1QB	0.8005683	1.5853566	1.9802865	121
CYGB	0.0148594165	0.029392056	1.9778756	122
IL1F9	0.17712831	0.3499381	1.975608	123
SPON2	0.01471112	0.028993312	1.9707093	124
CXCR6	0.21238916	0.41816485	1.9688523	125
COL5A2	0.016145179	0.03174995	1.9664063	126
C1QA	0.49318436	0.9696708	1.9661386	127
RNF128	0.20223898	0.39754146	1.9656918	128
C1QC	0.564308	1.1087452	1.9647839	129
TRBC1	0.21062854	0.4135032	1.9631777	130
ELN	0.043309677	0.08497682	1.9620295	131
CTLA4	0.040019237	0.07842778	1.9597031	132
CXCL12	0.025898913	0.050745446	1.9592903	133
CTSW	0.17422976	0.3407777	1.9558986	134
TCRG-C4	0.12162877	0.23746781	1.9523823	135
CD200R3	0.017972922	0.035091925	1.95238	136
TRBC2	0.3497559	0.68200135	1.9499295	137
IGKC	0.11593231	0.22596197	1.9490687	138
MKI67	0.24728814	0.48194286	1.9489043	139
CSF3R	0.6752886	1.3154432	1.9479688	140
CD7	0.2001517	0.38972995	1.9471631	141
NCR1	0.09251342	0.18001153	1.9457673	142
CD3G	0.15228552	0.29574496	1.9420298	143
MGL2	0.24593365	0.47745314	1.9413822	144
IL1R2	0.7394093	1.4340045	1.9393893	145
COL4A1	0.024860945	0.048194274	1.9384756	146
IFNB1	0.048767272	0.09447478	1.9372181	147
TRAT1	0.011302645	0.021855868	1.9335239	148
CXCL10	0.50932014	0.9830289	1.9300767	149
IL10	0.112626575	0.2172258	1.9287089	150
EOMES	0.06825918	0.13160907	1.9280504	151
IGHD	0.015847916	0.030539224	1.9268967	152
TAGLN	0.015356643	0.02952118	1.9222468	153
IL2RB	0.28197217	0.5420166	1.9222276	154
COL5A1	0.013105043	0.025167197	1.9202741	155
FMO2	0.010280068	0.01972683	1.9187529	156
RLN3	0.020878457	0.040040217	1.9176848	157
SAA3	0.17570816	0.33615875	1.9131544	158
CD8A	0.026893856	0.051446337	1.912869	159
KRT19	0.031017842	0.05921056	1.908858	160
GATA3	0.2475902	0.47157565	1.9046544	161
IGHA	0.034626164	0.06595146	1.9046164	162
THBS1	0.6953689	1.324111	1.9041822	163
IL2RA	0.21756504	0.41406682	1.9031776	164
SLFN4	1.5585791	2.9655719	1.9027395	165
IL6	0.06070822	0.11517267	1.8971199	166
MGP	0.11976614	0.22692256	1.894698	167
PCLAF	0.1405185	0.26597887	1.8928254	168
SPRR1A	0.04778657	0.09043333	1.8924028	169
MFAP4	0.014119473	0.026707202	1.8913815	170
TOP2A	0.23373038	0.44198313	1.8909876	171
ACTN2	0.032542225	0.06148286	1.8892677	172
GSTA4	0.049303703	0.09301164	1.8864659	173
LRG1	0.24801275	0.46774304	1.885956	174
FCNA	0.02844942	0.053622935	1.8847853	175
EAR2	0.1388227	0.26153067	1.883905	176
S1PR5	0.01866293	0.035130464	1.8822651	177
IGFBP2	0.020121902	0.03783823	1.8803566	178
SLPI	0.34364828	0.64603645	1.8799294	179
C1S1	0.0148281315	0.027872987	1.8796102	180
CD3D	0.12617445	0.23702599	1.8785429	181
ACE	0.03312231	0.062201332	1.8778721	182
CD160	0.041049954	0.07672808	1.8690939	183
COL14A1	0.037314367	0.069730826	1.8686894	184
CD5	0.046075426	0.086096	1.8685478	185
WFDC2	0.035582054	0.0664709	1.8680494	186
IL13	0.01004712	0.018770017	1.8680128	187
FBN1	0.017301396	0.032295663	1.8665428	188
FBLN5	0.012338484	0.023028621	1.8662548	189
HCAR2	0.25787324	0.47967747	1.8601216	190
TRGV2	0.011754842	0.02184229	1.8579946	191
RORA	0.1997697	0.37103662	1.8573124	192
KLRI2	0.08829469	0.16391185	1.8563969	193
AEBP1	0.010251295	0.01900582	1.8538113	194
HIST1H1B	0.15418309	0.28559086	1.8522719	195
INPP4B	0.24425064	0.45198527	1.8504902	196
APOD	0.043784074	0.08102261	1.850462	197
LPL	0.2947694	0.54523295	1.8496867	198
THY1	0.34614637	0.63972735	1.8481357	199
RSAD2	0.6298792	1.1637676	1.8476015	200
HS3ST1	0.05931487	0.10949727	1.846003	201
KRT15	0.051565204	0.09516328	1.8454584	202
RGS16	0.017113468	0.0315788	1.8451524	203
KRT8	0.017520098	0.03229563	1.8432423	204
UPK1A	0.026153434	0.048123434	1.8399723	205
CCR9	0.023001196	0.042313207	1.839529	206
AW112010	0.5090047	0.9363098	1.8394878	207
ACTA2	0.031002317	0.056998994	1.8384805	208
KHDC1A	0.016632218	0.030574104	1.8381352	209
LY6C1	0.018901061	0.034743067	1.838057	210
KLRC2	0.039697185	0.072822616	1.8344067	211
IZUMO1R	0.016405	0.030071283	1.8329443	212
UBE2C	0.11118472	0.20371315	1.832188	213
CXCL2	2.020905	3.701417	1.8315632	214
CD163	0.0542176	0.09929268	1.8313398	215
GM6637	0.014073377	0.025770916	1.831052	216
TCF21	0.01016571	0.01859685	1.8291906	217
XCR1	0.09921087	0.18104777	1.8248599	218
UPK3A	0.024440056	0.044579234	1.8239487	219
SLC7A11	0.19551234	0.35656095	1.8237168	220
KRT5	0.028239354	0.05145466	1.822026	221
GM10800	0.06567977	0.11965246	1.8217273	222
WFDC21	0.06288481	0.114492044	1.8206341	223
IFIT1	0.47334674	0.860928	1.8188065	224
MYLK	0.013929639	0.025333976	1.8185796	225
IL4I1	0.015633801	0.02842927	1.8183327	226
IL18R1	0.11158596	0.20264497	1.8160274	227
CAR2	0.06329022	0.11486816	1.8149145	228
COL15A1	0.018902147	0.034274638	1.8131709	229
I830127L07RIK	0.07702124	0.13953516	1.8116217	230
TCF7	0.08968261	0.16239905	1.8107997	231
IGLC1	0.028418945	0.051425505	1.8094864	232
COL6A3	0.011359876	0.020527918	1.8068956	233
RDH12	0.10338759	0.18678409	1.8066219	234
IL7R	0.24611224	0.44431737	1.8053371	235
IL1RN	0.32822666	0.5924343	1.8049493	236
CD209D	0.08586288	0.15495922	1.8047078	237
TNFRSF9	0.046728965	0.08431318	1.8042637	238
GDF15	0.032530747	0.05860257	1.8013965	239
IGF1	0.046794977	0.084292	1.8012661	240
ICOS	0.101133056	0.18192118	1.7988124	241
HIST1H2AE	0.09523506	0.17106198	1.7961892	242
COL4A2	0.014461812	0.025958242	1.7948267	243
SERPINB2	0.039517943	0.07088508	1.7936988	244
CLEC4E	0.84193397	1.5100446	1.7935406	245
GIMAP3	0.32813084	0.5883112	1.7929109	246
IL1RL1	0.1885548	0.33791956	1.7921463	247
CD55	0.042258024	0.07573209	1.7920928	248
TREM1	0.42629343	0.7638265	1.7917814	249
H2-Q10	0.18413015	0.32983023	1.7912788	250
VCAN	0.22708464	0.40661842	1.790595	251
PLPP3	0.022771487	0.040752567	1.7895528	252
NFIB	0.013975274	0.025008453	1.7893505	253
SPTSSB	0.027377795	0.048978273	1.7889127	254
CCL2	0.898728	1.6064422	1.7874601	255
EDN1	0.024146294	0.04314444	1.7867193	256
CCDC80	0.028977567	0.05173247	1.7851976	257
CD4	0.05027971	0.08971471	1.7842771	258
PCSK1	0.034387942	0.061286714	1.7821635	259
CBR2	0.1310266	0.23329301	1.7804877	260
SERPINB1A	0.15432681	0.27452463	1.7788409	261
CHIL1	0.07235942	0.12864861	1.7778865	262
RBP1	0.017008957	0.030234445	1.7774557	263
NID1	0.01376937	0.02447369	1.7772717	264
AC140209.1	0.04807835	0.08537662	1.7757441	265
HSPB1	0.039209962	0.069624715	1.7756442	266
KLRB1A	0.029835166	0.05296518	1.7752005	267
IL23A	0.022765847	0.040400557	1.7745346	268
FCRLS	0.115448326	0.20479819	1.7739228	269
KIT	0.122956164	0.21807903	1.773618	270
LIF	0.116243444	0.20613125	1.7732568	271
LY6C2	0.9026986	1.5995286	1.7719389	272
GIMAP7	0.0865966	0.15324259	1.769594	273
IFITM1	0.5186778	0.9159322	1.7658948	274
MMP8	0.15653624	0.27632412	1.7652293	275
GM4956	0.05942781	0.10480298	1.7635047	276
STEAP4	0.05536905	0.097567394	1.762097	277
LOX	0.011406924	0.0200569	1.7581551	278
KRT18	0.01937142	0.03404439	1.7573637	279
LTA	0.024639986	0.04329541	1.7570485	280
GM6213	0.0122499745	0.021525355	1.757032	281
SYCP2	0.05008989	0.08791238	1.7550573	282
LY6G	0.016015317	0.028101487	1.7545536	283
SPRR2A3	0.011207977	0.019656252	1.7536168	284
LOXL1	0.010520792	0.018447515	1.7532674	285
GM37954	0.010289846	0.018032413	1.752277	286
HP	0.48426533	0.84845436	1.7520407	287
CENPF	0.07298983	0.12771451	1.7497338	288
IL4	0.020269813	0.035443585	1.7485033	289
GM19585	0.04775648	0.08347158	1.7478223	290
CCDC184	0.05688072	0.09940904	1.7476448	291
CNTN1	0.019456912	0.03399457	1.7470821	292
ARG2	0.226101	0.3949781	1.7469023	293
IFIT2	0.47624636	0.8317256	1.7464151	294
SERPINB9	0.09050221	0.1580001	1.7457955	295
NRGN	0.050056864	0.08735624	1.7451053	296
GM4759	0.1525136	0.2661339	1.7449734	297
SH2D1A	0.048806675	0.08509611	1.7434987	298
PTPN13	0.09948237	0.17343034	1.7433099	299
IFIT1BL2	0.060340337	0.10514737	1.742543	300
MXD1	0.6654885	1.1591543	1.7418071	301
CD2	0.1258551	0.21915463	1.7413111	302
SEMA3C	0.010088764	0.0175685	1.7412201	303
SERPINA3G	0.08389354	0.14592937	1.7394383	304
MAL	0.0177688	0.030904585	1.7391633	305
IFIT3	0.5209802	0.90582705	1.7386943	306
LEF1	0.04273166	0.07426	1.7377808	307
SERPINE1	0.09871657	0.17146406	1.7369152	308
FABP4	0.027439278	0.0476181	1.7353358	309
GM26870	0.052032493	0.090256594	1.7345866	310
IFIT3B	0.20899546	0.36235535	1.7337871	311
SERPINB6B	0.06939862	0.120277666	1.7331171	312
LTC4S	0.12216157	0.21171793	1.7330836	313
MMP2	0.025368145	0.0439342	1.7317966	314
LCK	0.15599772	0.27001387	1.7308723	315
F13A1	0.44848755	0.7761743	1.7306446	316
MEIS2	0.010495152	0.018162804	1.7304249	317
MRGPRA2B	0.023744619	0.04102106	1.7275212	318
CCR6	0.013472874	0.023272106	1.7272023	319
GEM	0.09010072	0.15558991	1.7268251	320
KRT7	0.03144758	0.054246087	1.7249138	321
RAB27B	0.05873556	0.10125307	1.7238508	322
GM4832	0.018930582	0.032624263	1.7232718	323
CRTAM	0.013629492	0.023487655	1.7231699	324
MS4A7	0.18385676	0.31668532	1.7224474	325
BLK	0.024828177	0.04273035	1.7209733	326
CRYAB	0.012173728	0.020941757	1.7201005	327
CCR4	0.017813709	0.030638473	1.7198414	328
IGSF5	0.037965514	0.065254726	1.7187443	329
GIMAP6	0.2742767	0.47136936	1.7185842	330
NEBL	0.019894052	0.034186855	1.7183596	331
RAMP3	0.054435156	0.09353434	1.7182393	332
CYR61	0.011762763	0.020196576	1.7168465	333
CLEC4D	0.5407315	0.9279542	1.7161058	334
AR	0.058595665	0.100460865	1.7144469	335
GM17619	0.036036626	0.061768193	1.7139919	336
A130071D04RIK	0.06933652	0.11879983	1.7133557	337
ID1	0.1302772	0.22305857	1.7121711	338
CD36	0.2208537	0.37810215	1.711995	339
SOCS2	0.14342332	0.24549302	1.7116555	340
TNFAIP2	0.4835469	0.8273986	1.7110995	341
GM10801	0.017082127	0.029220602	1.7104949	342
CALD1	0.023902135	0.040872186	1.709909	343
GM22513	0.017503154	0.02988788	1.7074735	344
ABI3BP	0.0124084065	0.021186389	1.7072846	345
IL23R	0.022045717	0.03763384	1.7070043	346
NUSAP1	0.08886687	0.15169756	1.7070013	347
SAMD3	0.05578402	0.0952193	1.7068973	348
KLRA14-PS	0.0143717285	0.024528917	1.706629	349
RIT1_2	0.096673444	0.16498725	1.7066274	350
GM13822	0.15242408	0.25998425	1.7056527	351
FXYD3	0.01874891	0.031956866	1.7043744	352
CAV1	0.01818537	0.030991847	1.7041249	353
GPR174	0.04074402	0.0694318	1.704056	354
ALOX15	0.045279734	0.07713766	1.7035426	355
CSF1	0.17335342	0.29509422	1.7022597	356
LAT	0.14564136	0.24788289	1.7019973	357
GM37033	0.042980567	0.07313481	1.701539	358
GADD45A	0.3107575	0.5286313	1.7011001	359
PCOLCE	0.015188118	0.025830187	1.7005718	360
FASL	0.031667512	0.053830445	1.6998098	361
CD40LG	0.014465817	0.024583662	1.6993138	362
F2R	0.0928901	0.15784068	1.6992015	363
TXK	0.081714496	0.13879985	1.6985744	364
FXYD1	0.014256662	0.024214549	1.6983534	365
UPK1B	0.022159863	0.037634987	1.6982635	366
C4B	0.039694395	0.06737967	1.6974179	367
IL1A	0.087082505	0.14781554	1.6974	368
AA467197	0.22630425	0.38405868	1.6970825	369
SERPINA3F	0.012306754	0.020876616	1.6962166	370
HLF	0.039033435	0.06621074	1.6962136	371
THEMIS	0.023166561	0.039260518	1.6946331	372
LY6G5B	0.021951396	0.03717125	1.6932662	373
GM26802	0.011111061	0.018806085	1.692403	374
ITK	0.10257555	0.17349862	1.6914062	375
GM8818	0.029182235	0.04933773	1.690619	376
XLR4A	0.102290206	0.17289664	1.6902395	377
GM26517	0.011786579	0.019915469	1.68953	378
DACH2	0.023151083	0.0391081	1.6891829	379
F3	0.057370268	0.096898034	1.6889645	380
CD247	0.07206362	0.12168781	1.688593	381
IKZF2	0.08005057	0.13513845	1.6881424	382
ELOVL7	0.011312402	0.019096324	1.6879382	383
TOX	0.044280805	0.07473368	1.6876838	384
GM47050	0.02899985	0.048941392	1.6875848	385
KLRB1F	0.039641585	0.06687876	1.6870434	386
CCR3	0.02445955	0.041264758	1.6869922	387
PTPRV	0.01562495	0.026353508	1.686522	388
ETS1	0.315396	0.53183097	1.686227	389
STC2	0.03346405	0.056417406	1.6858605	390
LAMB1	0.010443262	0.01759291	1.6844571	391
CITED4	0.026035737	0.043854095	1.684316	392
KCNJ2	0.10655282	0.17944495	1.6840782	393
KRT83	0.025304848	0.042595096	1.6832116	394
ATP1B1	0.05182865	0.08720452	1.682522	395
FABP5	0.07611699	0.12802878	1.6819781	396
IGFBP4	0.08782496	0.14771901	1.6819515	397
BMX	0.022847604	0.03842585	1.6817592	398
CD200	0.02611844	0.04392325	1.6816306	399
FPR2	0.23272908	0.39128897	1.6812996	400
TIMD4	0.026045399	0.043782543	1.6809442	401
GM43813	0.010589388	0.01779808	1.680588	402
PRR29	0.013699129	0.023021009	1.6803497	403
GPNMB	0.025865417	0.04346248	1.6802667	404
AQP3	0.037980627	0.06381016	1.6800271	405
RORC	0.025748624	0.043217286	1.6783657	406
CACNB3	0.010937848	0.018356783	1.6781276	407
PTPRCAP	0.3266466	0.54781085	1.6770698	408
PRNP	0.06854225	0.11494318	1.6769438	409
CPM	0.010646864	0.017844103	1.6758387	410
FPR1	0.09958447	0.16688477	1.6757944	411
ITM2A	0.038114168	0.06382812	1.674612	412
FN1	0.70031273	1.1727347	1.6745847	413
RNF43	0.03296905	0.055193122	1.6740383	414
HSD11B1	0.098375715	0.1646655	1.6738261	415
PRSS23	0.010393535	0.01739236	1.6732215	416
KCNQ1OT1	0.045059342	0.07538101	1.6728904	417
CAMK4	0.07261651	0.12144726	1.672424	418
MMP13	0.011648999	0.01948286	1.6723487	419
AMER2	0.035126917	0.058725122	1.6717509	420
TNFRSF18	0.22497007	0.3759361	1.671042	421
IFIT1BL1	0.078700945	0.13144718	1.6701897	422
HTR1B	0.014841555	0.02478948	1.6701627	423
CD6	0.02059677	0.0343981	1.6699915	424
MRC1	0.48110634	0.80275667	1.6685604	425
CD63	0.24682206	0.4116887	1.6679506	426
GIMAP9	0.16172099	0.26966605	1.6674668	427
PYDC3	0.019105056	0.03184481	1.666739	428
SH2D2A	0.14468634	0.2408964	1.6649446	429
ITGB3	0.060626306	0.10092318	1.664649	430
GM48786	0.017004646	0.028308192	1.6646348	431
SYTL3	0.037922326	0.06312696	1.6645945	432
DMKN	0.03718404	0.06187818	1.6640611	433
A530099J19RIK	0.050307974	0.08371051	1.6639279	434
ADH1	0.022644773	0.03767462	1.6636491	435
4732465J04RIK	0.013957726	0.023220588	1.6635177	436
CCL24	0.050696585	0.08426668	1.6621438	437
PPM1N	0.0116417995	0.019351883	1.6621331	438
GM33104	0.03273358	0.05439852	1.6618062	439
SLC40A1	0.062167604	0.10330214	1.6616449	440
TESC	0.023259178	0.038638864	1.6611594	441
AC110211.1	0.04541655	0.07541642	1.6605129	442
CADM1	0.05187031	0.086131684	1.660488	443
ZCCHC18	0.014453372	0.024000658	1.6604427	444
ENTPD3	0.04232556	0.070266016	1.6600928	445
CD96	0.064455986	0.10697612	1.6596514	446
CD28	0.052128773	0.086491585	1.6591591	447
NR4A3	0.16586635	0.2751865	1.6590759	448
B3GALT2	0.010305676	0.017087314	1.657888	449
GAS6	0.046037182	0.076308504	1.6575048	450
PRRT1	0.026089761	0.043245222	1.6574918	451
GM43181	0.07535365	0.12485055	1.6568394	452
PODNL1	0.037307575	0.061810512	1.6567374	453
GIMAP5	0.13104841	0.21704048	1.6561729	454
DNAJA4	0.0130615225	0.021632455	1.6560702	455
XLR4C	0.0857739	0.1419751	1.6552057	456
CD27	0.049400337	0.08169483	1.6536968	457
GM20234	0.015939146	0.02635209	1.65319	458
GPR84	0.031521205	0.052111037	1.6531534	459
STMN1	0.16303459	0.26946515	1.6527996	460
RASD1	0.021871692	0.036148682	1.6526855	461
GM37531	0.012368743	0.020432446	1.6518084	462
CRMP1	0.015017026	0.024801947	1.6514785	463
NLRP3	0.5023139	0.82934624	1.6510484	464
IIGP1	0.026482433	0.043719605	1.6508285	465
TMPRSS2	0.011396931	0.018805668	1.6499195	466
NRARP	0.021871585	0.036080834	1.6495916	467
GM47445	0.010847268	0.017883122	1.6484772	468
ANKRD33B	0.11523827	0.18992244	1.6480705	469
GM37420	0.031628966	0.052120548	1.6478219	470
CAVIN1	0.022593621	0.0371815	1.6455908	471
CD34	0.031532247	0.051882654	1.6453319	472
ESPN	0.024304437	0.039974045	1.6446545	473
PERP	0.016820583	0.02765901	1.6442572	474
GIMAP8	0.16928884	0.27831224	1.6439984	475
GIMAP1	0.10062668	0.16535895	1.643275	476
BAIAP3	0.017636878	0.028982855	1.6432166	477
GM44292	0.09412272	0.15455379	1.642028	478
TNFAIP6	0.023291126	0.038233805	1.6414906	479
MGST1	0.12969549	0.21287453	1.6413285	480
JAKMIP1	0.034305945	0.056290843	1.6408002	481
ABLIM1	0.18325497	0.30053863	1.6399937	482
STYK1	0.029082438	0.04767781	1.6393458	483
ITGAE	0.06392874	0.1047841	1.6390511	484
SEPT1	0.33483994	0.54875606	1.6388558	485
ENO3	0.03784454	0.06202101	1.6387932	486
UPP1	0.04134294	0.06773773	1.6383957	487
PGLYRP1	0.20031574	0.32816017	1.6382064	488
CX3CR1	0.18850087	0.30871588	1.6377338	489
CLEC10A	0.35816616	0.5865613	1.6376747	490
4930589O11RIK	0.032923654	0.05390028	1.6370797	491
IL17RB	0.032746498	0.05360683	1.6369749	492
EPAS1	0.024671983	0.04038001	1.6366082	493
RASIP1	0.026418507	0.043233804	1.6364349	494
GM8250	0.028851848	0.047197312	1.6357938	495
FHL2	0.029090038	0.04756702	1.6351091	496
FFAR2	0.077398196	0.12655364	1.635077	497
CENPE	0.07536843	0.1231616	1.6341056	498
PDPN	0.060864132	0.09942219	1.6334835	499
TNFRSF23	0.04437751	0.072452836	1.6326109	500
SIT1	0.023623927	0.03856709	1.6324744	501
CRISPLD2	0.041805975	0.068232946	1.6320949	502
CMAH	0.037962575	0.06195753	1.6320258	503
ARL4D	0.02993284	0.04884977	1.6319245	504
MYB	0.021366844	0.034868877	1.6318388	505
OSGIN1	0.17119102	0.27920485	1.6309454	506
FAM71A	0.07077744	0.11541101	1.6305957	507
KCNK5	0.025791036	0.042041957	1.6300364	508
TBX21	0.044435177	0.072381616	1.6288894	509
GM19705	0.01415072	0.023049714	1.628757	510
GM24265	0.17257081	0.28095725	1.62806	511
ADAMTS14	0.0183199	0.029825747	1.6279631	512
EDNRB	0.052079882	0.08477109	1.6276816	513
GBP2	0.37041017	0.6024905	1.6265451	514
TIAM2	0.023551604	0.038284548	1.625491	515
GM25313	0.05518606	0.089682445	1.625063	516
FAM169B	0.015883606	0.025810193	1.6248558	517
TMEM40	0.0106935045	0.0173708	1.6242734	518
GM29243	0.018641587	0.03027606	1.6240267	519
3830403N18RIK	0.011899707	0.019322222	1.6236197	520
LY6I	0.091138765	0.14796738	1.6235217	521
SKAP1	0.17871009	0.29010245	1.6233041	522
OLR1	0.053567488	0.08695687	1.6232841	523
PMP22	0.06318721	0.10256793	1.6232132	524
BIRC5	0.09200895	0.14935087	1.6232035	525
FBXO17	0.014249014	0.02312776	1.6229992	526
PXDC1	0.04978015	0.08078209	1.6227447	527
PRC1	0.080398284	0.13045046	1.6225326	528
NPNT	0.021605538	0.03505393	1.6223761	529
MYO6	0.058787853	0.095358886	1.6220573	530
GM44776	0.011084763	0.017979357	1.621842	531
NT5E	0.050654966	0.08213596	1.621447	532
C430019N01RIK	0.01515521	0.024553366	1.6200202	533
PTGIS	0.012367026	0.020035906	1.619976	534
EYA2	0.032602593	0.052816264	1.6199523	535
SELP	0.02421477	0.03921806	1.6195256	536
GM16556	0.036588512	0.05925033	1.6193255	537
SNORD118	0.18489909	0.29938203	1.6191556	538
GM20406	0.05080328	0.08223353	1.618634	539
GM36198	0.010634431	0.017213479	1.6185032	540
APOL7E	0.010968256	0.017749736	1.6181349	541
HTRA3	0.033914134	0.054875195	1.618015	542
DMXL2	0.15318133	0.2478265	1.617853	543
IFITM10	0.023375075	0.037771344	1.6158121	544
5330406M23RIK	0.013291809	0.021473113	1.6153932	545
