contrast_id	tissue	group_a	group_b	axis	axis_score_id	n_group_a	n_group_b	mean_group_a	mean_group_b	mean_difference_a_minus_b	hedges_g	permutation_p_value	permutation_method	n_permutations	stability_class	permutation_q_within_contrast	fdr_0_05	fdr_0_10
C1_PRETERM_VS_TERM	uterus	UTI89_preterm	UTI89_term	steroid_cholesterol_endocrine	AXIS__steroid_cholesterol_endocrine	6	3	0.04939962655509405	0.093204171897526	-0.04380454534243195	-0.14577977669255526	0.7619047619047619	exact	84	small_group	0.9404761904761905	False	False
C2_UPEC_VS_PBS_PREGNANCY	bladder	UPEC_exposed_pregnancy	PBS_pregnancy_control	adipokine_signaling	AXIS__adipokine_signaling	11	3	0.020530763224334416	-0.29459042041159766	0.31512118363593206	0.4126216535546012	0.49725274725274726	exact	364	small_group	0.8241758241758241	False	False
C2_UPEC_VS_PBS_PREGNANCY	bladder	UPEC_exposed_pregnancy	PBS_pregnancy_control	amino_acid_metabolism	AXIS__amino_acid_metabolism	11	3	0.06998093935719472	-0.08060677376872886	0.1505877131259236	0.2819106312412612	0.6593406593406593	exact	364	small_group	0.8241758241758241	False	False
C2_UPEC_VS_PBS_PREGNANCY	bladder	UPEC_exposed_pregnancy	PBS_pregnancy_control	carbohydrate_inflammatory_carbon	AXIS__carbohydrate_inflammatory_carbon	11	3	0.08732289506506002	-0.19073318605412673	0.2780560811191868	0.4374057544012204	0.47527472527472525	exact	364	small_group	0.8241758241758241	False	False
C2_UPEC_VS_PBS_PREGNANCY	bladder	UPEC_exposed_pregnancy	PBS_pregnancy_control	catecholamine_stress_adjacent	AXIS__catecholamine_stress_adjacent	11	3	0.09226519594713106	0.011555991757730625	0.08070920418940043	0.16131877953848306	0.8214285714285714	exact	364	small_group	0.8543956043956044	False	False
C2_UPEC_VS_PBS_PREGNANCY	bladder	UPEC_exposed_pregnancy	PBS_pregnancy_control	complement_architecture	AXIS__complement_architecture	11	3	0.13428269527607356	-0.07425598180084757	0.20853867707692114	0.35641447835059314	0.5989010989010989	exact	364	small_group	0.8241758241758241	False	False
C2_UPEC_VS_PBS_PREGNANCY	bladder	UPEC_exposed_pregnancy	PBS_pregnancy_control	immune_context_anchors	AXIS__immune_context_anchors	11	3	0.06097539821513411	-0.5157028452064242	0.5766782434215583	0.8683117944285277	0.16758241758241757	exact	364	small_group	0.8241758241758241	False	False
C2_UPEC_VS_PBS_PREGNANCY	bladder	UPEC_exposed_pregnancy	PBS_pregnancy_control	insulin_irs_signaling	AXIS__insulin_irs_signaling	11	3	0.0866951468009737	-0.003385802840872069	0.09008094964184578	0.12130471561654937	0.8543956043956044	exact	364	small_group	0.8543956043956044	False	False
C2_UPEC_VS_PBS_PREGNANCY	bladder	UPEC_exposed_pregnancy	PBS_pregnancy_control	lipid_metabolism	AXIS__lipid_metabolism	11	3	0.036522315390869725	-0.22563591286475934	0.26215822825562907	0.41216185832880087	0.5137362637362637	exact	364	small_group	0.8241758241758241	False	False
C2_UPEC_VS_PBS_PREGNANCY	bladder	UPEC_exposed_pregnancy	PBS_pregnancy_control	nucleotide_nad_nitrogen	AXIS__nucleotide_nad_nitrogen	11	3	0.11417052170213865	-0.18638782302797585	0.3005583447301145	0.5429647663627959	0.3901098901098901	exact	364	small_group	0.8241758241758241	False	False
C2_UPEC_VS_PBS_PREGNANCY	bladder	UPEC_exposed_pregnancy	PBS_pregnancy_control	steroid_cholesterol_endocrine	AXIS__steroid_cholesterol_endocrine	11	3	0.04360495356444644	-0.10746747324329554	0.151072426807742	0.31228323264026797	0.6236263736263736	exact	364	small_group	0.8241758241758241	False	False
C2_UPEC_VS_PBS_PREGNANCY	placenta	UPEC_exposed_pregnancy	PBS_pregnancy_control	adipokine_signaling	AXIS__adipokine_signaling	22	6	-0.025830162755665107	0.0947105967707671	-0.1205407595264322	-0.21427287194678613	0.637036296370363	monte_carlo	10000	moderate_stability	0.707818107078181	False	False
C2_UPEC_VS_PBS_PREGNANCY	placenta	UPEC_exposed_pregnancy	PBS_pregnancy_control	amino_acid_metabolism	AXIS__amino_acid_metabolism	22	6	-0.06434609861895567	0.23593569493617292	-0.3002817935551286	-0.495146790535622	0.27747225277472254	monte_carlo	10000	moderate_stability	0.7046438213321525	False	False
C2_UPEC_VS_PBS_PREGNANCY	placenta	UPEC_exposed_pregnancy	PBS_pregnancy_control	carbohydrate_inflammatory_carbon	AXIS__carbohydrate_inflammatory_carbon	22	6	-0.07972782340279393	0.2923353524769123	-0.3720631758797062	-0.5822157745708704	0.20887911208879112	monte_carlo	10000	moderate_stability	0.7046438213321525	False	False
C2_UPEC_VS_PBS_PREGNANCY	placenta	UPEC_exposed_pregnancy	PBS_pregnancy_control	catecholamine_stress_adjacent	AXIS__catecholamine_stress_adjacent	22	6	-0.034739177506762135	0.12737698419146612	-0.16211616169822826	-0.31393723459910167	0.48655134486551344	monte_carlo	10000	moderate_stability	0.7046438213321525	False	False
C2_UPEC_VS_PBS_PREGNANCY	placenta	UPEC_exposed_pregnancy	PBS_pregnancy_control	complement_architecture	AXIS__complement_architecture	22	6	-0.007807753488039304	0.028628429456145844	-0.036436182944185144	-0.06955897448561466	0.8779122087791221	monte_carlo	10000	moderate_stability	0.877912208779122	False	False
C2_UPEC_VS_PBS_PREGNANCY	placenta	UPEC_exposed_pregnancy	PBS_pregnancy_control	immune_context_anchors	AXIS__immune_context_anchors	22	6	-0.0312767970415992	0.11468158915253236	-0.14595838619413157	-0.25603486178882406	0.5716428357164284	monte_carlo	10000	moderate_stability	0.707818107078181	False	False
C2_UPEC_VS_PBS_PREGNANCY	placenta	UPEC_exposed_pregnancy	PBS_pregnancy_control	insulin_irs_signaling	AXIS__insulin_irs_signaling	22	6	-0.06107283119810955	0.22393371439306545	-0.285006545591175	-0.36790854409072393	0.42195780421957807	monte_carlo	10000	moderate_stability	0.7046438213321525	False	False
C2_UPEC_VS_PBS_PREGNANCY	placenta	UPEC_exposed_pregnancy	PBS_pregnancy_control	lipid_metabolism	AXIS__lipid_metabolism	22	6	-0.04949929495289789	0.18149741482729187	-0.23099670978018977	-0.36099819190403687	0.41915808419158085	monte_carlo	10000	moderate_stability	0.7046438213321525	False	False
