contrast_id	feature_id	axis	display_label	proposed_figure_family	n_tissues	n_positive_tissues	n_negative_tissues	directional_coherence_fraction	dominant_direction	median_hedges_g	mean_absolute_hedges_g
C1_PRETERM_VS_TERM	ESTROGEN_BIOSYNTHESIS	steroid_cholesterol_endocrine	Estrogen biosynthesis and interconversion	Figure_7	3	1	2	0.6666666666666666	negative	-0.2679451119744505	0.30470115042103413
C1_PRETERM_VS_TERM	ESTROGEN_RECEPTOR_RESPONSE	steroid_cholesterol_endocrine	Estrogen receptor response	Figure_7	3	0	3	1.0	negative	-0.9114340045584498	0.7887818793047635
C1_PRETERM_VS_TERM	FATTY_ACID_BETA_OXIDATION	lipid_metabolism	Fatty-acid beta-oxidation	Figure_7	3	1	2	0.6666666666666666	negative	-0.2829279944810432	0.27871746561908445
C1_PRETERM_VS_TERM	FATTY_ACID_SYNTHESIS	lipid_metabolism	Fatty-acid synthesis	Figure_7	3	0	3	1.0	negative	-0.501122242204225	0.4432980369090478
C1_PRETERM_VS_TERM	FERROPTOSIS_LIPID_PEROXIDATION	lipid_metabolism	Ferroptosis-linked lipid peroxidation	Figure_7	3	1	2	0.6666666666666666	negative	-0.159494278806105	0.31455818528899443
C1_PRETERM_VS_TERM	GLUCOCORTICOID_RESPONSE	steroid_cholesterol_endocrine	Glucocorticoid response	Figure_7	3	0	3	1.0	negative	-0.8259823876820072	0.8082512781622871
C1_PRETERM_VS_TERM	GLUCONEOGENESIS	carbohydrate_inflammatory_carbon	Gluconeogenesis	Figure_8	3	2	1	0.6666666666666666	positive	0.018749118535845	0.16273009528644686
C1_PRETERM_VS_TERM	GLUCOSE_TRANSPORT	carbohydrate_inflammatory_carbon	Glucose transport	Figure_8	3	0	3	1.0	negative	-0.3055608272910256	0.5050177920313127
C1_PRETERM_VS_TERM	GLUTAMINE_GLUTAMATE	amino_acid_metabolism	Glutamine and glutamate metabolism	Figure_9	3	0	3	1.0	negative	-0.3796808399169906	0.544710226531114
C1_PRETERM_VS_TERM	GLYCOGENOLYSIS	carbohydrate_inflammatory_carbon	Glycogenolysis	Figure_8	3	2	1	0.6666666666666666	positive	0.0171639602762171	0.2140393357935081
C1_PRETERM_VS_TERM	GLYCOGEN_SYNTHESIS	carbohydrate_inflammatory_carbon	Glycogen synthesis	Figure_8	3	1	2	0.6666666666666666	negative	-0.3027964300522092	0.5699815565659505
C1_PRETERM_VS_TERM	GLYCOLYSIS	carbohydrate_inflammatory_carbon	Glycolysis	Figure_8	3	1	2	0.6666666666666666	negative	-0.1598284548654182	0.24654414388843035
C1_PRETERM_VS_TERM	INSULIN_RECEPTOR_IRS	insulin_irs_signaling	Insulin receptor and IRS signaling	Figure_8	3	0	3	1.0	negative	-0.6759836665295377	0.8086637040244443
C1_PRETERM_VS_TERM	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	carbohydrate_inflammatory_carbon	Lactate and HIF1A inflammatory glycolysis	Figure_8	3	0	3	1.0	negative	-0.4545503584274861	0.4552548876147135
C1_PRETERM_VS_TERM	LEPTIN_SIGNALING	adipokine_signaling	Leptin signaling	Figure_8	3	0	3	1.0	negative	-0.7524117043029656	0.599050700075857
C1_PRETERM_VS_TERM	LIPID_DROPLET_DYNAMICS	lipid_metabolism	Lipid-droplet dynamics	Figure_7	3	3	0	1.0	positive	0.1629906003038436	0.19473805339457506
C1_PRETERM_VS_TERM	LXR_FXR_STEROL_SIGNALING	steroid_cholesterol_endocrine	LXR and FXR sterol signaling	Figure_7	3	3	0	1.0	positive	0.2498601283618348	0.26121426554757443
C1_PRETERM_VS_TERM	METHIONINE_SAM_METHYLATION	amino_acid_metabolism	Methionine and SAM metabolism	Figure_9	3	0	3	1.0	negative	-0.431666090329905	0.5886874330903581
C1_PRETERM_VS_TERM	MINERALOCORTICOID_RESPONSE	steroid_cholesterol_endocrine	Mineralocorticoid response	Figure_7	3	0	3	1.0	negative	-0.4946617089637732	0.5296234613350811
C1_PRETERM_VS_TERM	MTORC1_INSULIN_OUTPUT	insulin_irs_signaling	mTORC1 insulin output	Figure_8	3	0	3	1.0	negative	-0.231067528762688	0.4072260665741246
C1_PRETERM_VS_TERM	MTOR_SIGNALING	carbohydrate_inflammatory_carbon	mTOR signaling	Figure_8	3	2	1	0.6666666666666666	positive	0.1067236689885148	0.3591156534697834
C1_PRETERM_VS_TERM	NAD_METABOLISM	nucleotide_nad_nitrogen	NAD metabolism	Figure_9	3	1	2	0.6666666666666666	negative	-0.1007154385925764	0.20595107586200237
C1_PRETERM_VS_TERM	NEUTROPHIL_NETOSIS_ANCHOR	immune_context_anchors	Neutrophil and NETosis anchor	Integrated_network	3	3	0	1.0	positive	0.2314004499277834	0.41150299726438994
C1_PRETERM_VS_TERM	NFKB_MAPK_INFLAMMATION_ANCHOR	immune_context_anchors	NF-kB and MAPK inflammation anchor	Integrated_network	3	2	1	0.6666666666666666	positive	0.1796772608549897	0.35324847924263164
C1_PRETERM_VS_TERM	NITRIC_OXIDE_SYNTHESIS_REGULATION	nucleotide_nad_nitrogen	Nitric-oxide synthesis and regulation	Figure_9	3	1	2	0.6666666666666666	negative	-0.0167083531948147	0.10096305219445227
C1_PRETERM_VS_TERM	OXIDATIVE_STRESS_NRF2_ANCHOR	immune_context_anchors	Oxidative stress and NRF2 anchor	Integrated_network	3	2	1	0.6666666666666666	positive	0.1309203690282578	0.29076567910584067
C1_PRETERM_VS_TERM	PENTOSE_PHOSPHATE_PATHWAY	carbohydrate_inflammatory_carbon	Pentose-phosphate pathway	Figure_8	3	2	1	0.6666666666666666	positive	0.1498006661778333	0.3364087251617049
C1_PRETERM_VS_TERM	PHOSPHOLIPID_METABOLISM	lipid_metabolism	Phospholipid metabolism	Figure_7	3	2	1	0.6666666666666666	positive	0.0647531385367743	0.30566843996382814
C1_PRETERM_VS_TERM	PI3K_AKT_SIGNALING	insulin_irs_signaling	PI3K-AKT signaling	Figure_8	3	0	3	1.0	negative	-0.6352753686157185	0.7630087488439948
C1_PRETERM_VS_TERM	PLACENTAL_STEROID_METABOLISM	steroid_cholesterol_endocrine	Placental steroid metabolism	Figure_7	3	2	1	0.6666666666666666	positive	0.0104384168928135	0.1377837771112789
C1_PRETERM_VS_TERM	PPARG_ADIPOMETABOLIC_REGULATION	adipokine_signaling	PPARG adipometabolic regulation	Figure_8	3	2	1	0.6666666666666666	positive	0.0270436827566696	0.2176612568476478
