contrast_id	tissue	analysis_status	group_a	group_b	n_group_a	n_group_b	feature_type	axis	feature_id	display_label	proposed_figure_family	mean_group_a	mean_group_b	mean_difference_a_minus_b	hedges_g	hedges_g_ci_low	hedges_g_ci_high	welch_t	p_value	auc_group_a_higher	direction	interpretation	q_value_within_contrast	fdr_0_05	fdr_0_10	evidence_tier	stability_class	permutation_p_value	permutation_method	n_permutations	stable_hedges_g_ci_low	stable_hedges_g_ci_high	effect_ci_status	permutation_q_within_contrast	permutation_q_within_family	permutation_fdr_0_05	permutation_fdr_0_10	family_fdr_0_10
C2_UPEC_VS_PBS_PREGNANCY	bladder	primary	UPEC_exposed_pregnancy	PBS_pregnancy_control	11	3	submodule	nucleotide_nad_nitrogen	PYRIMIDINE_SYNTHESIS	Pyrimidine synthesis	Figure_9	0.1616579369652447	-0.4230569364674552	0.5847148734326999	0.9269698590723384	-0.992039024437613	4.130631332001502	0.9754972199838228	0.4227924722864675	0.6666666666666666	higher_in_group_a	positive effect indicates higher activity in UPEC-exposed pregnancy samples	0.9908311375063732	False	False	primary	small_group	0.15934065934065933	exact	364			suppressed_min_group_below_4	0.9819024725274724	0.9642857142857142	False	False	False
C2_UPEC_VS_PBS_PREGNANCY	bladder	primary	UPEC_exposed_pregnancy	PBS_pregnancy_control	11	3	submodule	nucleotide_nad_nitrogen	PYRIMIDINE_DEGRADATION	Pyrimidine degradation	Figure_9	0.0464961423841832	-0.5455007987199981	0.5919969411041813	1.1825503908015684	-0.2690739978381039	3.540757078279735	1.4044220897571569	0.2762936627254829	0.7575757575757576	higher_in_group_a	positive effect indicates higher activity in UPEC-exposed pregnancy samples	0.9908311375063732	False	False	primary	small_group	0.07967032967032966	exact	364			suppressed_min_group_below_4	0.9819024725274724	0.9642857142857142	False	False	False
C2_UPEC_VS_PBS_PREGNANCY	bladder	primary	UPEC_exposed_pregnancy	PBS_pregnancy_control	11	3	submodule	immune_context_anchors	NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	Integrated_network	0.1323363828328149	-0.735680206558296	0.868016589391111	1.265255542033866	0.8568671256386736	2.4142632041819403	3.5126797718214835	0.0048524227711526	0.9696969696969696	higher_in_group_a	positive effect indicates higher activity in UPEC-exposed pregnancy samples	0.3930462444633683	False	False	primary	small_group	0.04945054945054945	exact	364			suppressed_min_group_below_4	0.9819024725274724	0.49450549450549447	False	False	False
C1_PRETERM_VS_TERM	placenta	primary	UTI89_preterm	UTI89_term	12	6	submodule	steroid_cholesterol_endocrine	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	Figure_7	-0.0849806946614174	0.4443347275769336	-0.529315422238351	-0.8259823876820072	-1.9417088211383795	-0.0924495644668866	-1.9681295076721783	0.0691432401806045	0.2638888888888889	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9926472464488284	False	False	primary	moderate_stability	0.10168983101689831	monte_carlo	10000	-1.9417088211383795	-0.0924495644668866	retained	0.9926007399260074	0.9373507093735071	False	False	False
C1_PRETERM_VS_TERM	placenta	primary	UTI89_preterm	UTI89_term	12	6	submodule	nucleotide_nad_nitrogen	PYRIMIDINE_DEGRADATION	Pyrimidine degradation	Figure_9	0.1502136656479868	-0.2611814386535376	0.4113951043015245	0.8307072827642614	0.1582015009182079	1.7157145974273929	2.188926797482754	0.0437785596987934	0.6944444444444444	higher_in_group_a	positive effect indicates higher activity in UTI-associated preterm samples	0.9926472464488284	False	False	primary	moderate_stability	0.10138986101389862	monte_carlo	10000	0.1582015009182079	1.7157145974273929	retained	0.9926007399260074	0.992200779922008	False	False	False
C1_PRETERM_VS_TERM	placenta	primary	UTI89_preterm	UTI89_term	12	6	submodule	immune_context_anchors	NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	Integrated_network	0.1802932856374065	-0.2384205868268392	0.4187138724642458	0.9311897917716284	-0.0199235795258613	2.323469313989127	1.6817204133975796	0.1357756012307523	0.7361111111111112	higher_in_group_a	positive effect indicates higher activity in UTI-associated preterm samples	0.9926472464488284	False	False	primary	moderate_stability	0.06669333066693331	monte_carlo	10000	-0.0199235795258613	2.323469313989127	retained	0.9926007399260074	0.666933306669333	False	False	False
C2_UPEC_VS_PBS_PREGNANCY	placenta	primary	UPEC_exposed_pregnancy	PBS_pregnancy_control	22	6	submodule	steroid_cholesterol_endocrine	TESTOSTERONE_CONVERSION_AROMATIZATION	Testosterone conversion and aromatization	Figure_7	-0.115193639366797	0.42237667767827	-0.537570317045067	-1.2270353565274814	-2.5379003973473497	-0.3932667566445522	-2.7797226472750443	0.0236562318760289	0.1893939393939394	higher_in_group_b	positive effect indicates higher activity in UPEC-exposed pregnancy samples	0.7978403364729907	False	False	primary	moderate_stability	0.0136986301369863	monte_carlo	10000	-2.5379003973473497	-0.3932667566445522	retained	0.7957454254574543	0.3013698630136986	False	False	False
C1_PRETERM_VS_TERM	uterus	primary	UTI89_preterm	UTI89_term	6	3	submodule	steroid_cholesterol_endocrine	STEROIDOGENESIS_CORE	Core steroidogenesis	Figure_7	0.0620925485312092	-0.2316000804330894	0.2936926289642986	0.8795652756774262	0.1081343647204005	2.622937390131113	1.8108253376811916	0.113110593645759	0.7777777777777778	higher_in_group_a	positive effect indicates higher activity in UTI-associated preterm samples	0.9989229247590709	False	False	primary	small_group	0.20238095238095238	exact	84			suppressed_min_group_below_4	1.0	0.9761904761904762	False	False	False
C1_PRETERM_VS_TERM	uterus	primary	UTI89_preterm	UTI89_term	6	3	submodule	steroid_cholesterol_endocrine	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	Figure_7	0.0724441312459193	0.3854932741503802	-0.3130491429044608	-0.9114340045584498	-3.430807351257529	0.4672541199440251	-1.260566330682072	0.2969116390003476	0.1666666666666666	higher_in_group_b	positive effect indicates higher activity in UTI-associated preterm samples	0.9989229247590709	False	False	primary	small_group	0.17857142857142858	exact	84			suppressed_min_group_below_4	1.0	0.9761904761904762	False	False	False
C1_PRETERM_VS_TERM	uterus	primary	UTI89_preterm	UTI89_term	6	3	submodule	steroid_cholesterol_endocrine	ANDROGEN_TESTOSTERONE_BIOSYNTHESIS	Androgen and testosterone biosynthesis	Figure_7	0.0027470042791278	-0.2632750165013791	0.2660220207805068	1.4716923478785662	0.4146578604563529	5.555071966522752	2.3595797627402058	0.0750148796132287	0.8888888888888888	higher_in_group_a	positive effect indicates higher activity in UTI-associated preterm samples	0.9989229247590709	False	False	primary	small_group	0.05952380952380952	exact	84			suppressed_min_group_below_4	1.0	0.9761904761904762	False	False	False
