proposed_figure_family	axis	feature_id	display_label	max_absolute_hedges_g_primary	median_absolute_hedges_g_primary	n_primary_results	n_large_primary_effects	n_moderate_primary_effects	n_permutation_FDR_0_05	n_permutation_FDR_0_10	n_family_FDR_0_10	primary_evidence_score	evidence_class
Figure_9	nucleotide_nad_nitrogen	PYRIMIDINE_DEGRADATION	Pyrimidine degradation	1.1825503908015684	0.4251442512349531	7	2	3	0	0	0	2.995122516419045	recurrent_large_effect
Figure_9	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	1.0527503025877167	0.4126434491982289	7	2	3	0	0	0	2.8590720271868313	recurrent_large_effect
Figure_9	amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	0.9867953184936026	0.5663371315777995	7	1	4	0	0	0	2.5699638842825023	single_large_effect
Figure_9	nucleotide_nad_nitrogen	PURINE_SALVAGE	Purine salvage	1.3706554466140357	0.4471217219262232	7	1	2	0	0	0	2.494216307577147	single_large_effect
Figure_9	amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	1.0249915329895265	0.3796808399169906	7	1	3	0	0	0	2.3148319529480217	single_large_effect
Figure_9	catecholamine_stress_adjacent	ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	0.9815447317630288	0.459976279309689	7	1	3	0	0	0	2.3115328714178736	single_large_effect
Figure_9	nucleotide_nad_nitrogen	PURINE_DE_NOVO_SYNTHESIS	De novo purine synthesis	0.90439918257767	0.4173728526439439	7	1	3	0	0	0	2.2130856088996422	single_large_effect
Figure_9	nucleotide_nad_nitrogen	NITRIC_OXIDE_SYNTHESIS_REGULATION	Nitric-oxide synthesis and regulation	0.8010822653736148	0.4823432471131333	7	1	3	0	0	0	2.1422538889301816	single_large_effect
Figure_9	amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	0.9393602518520584	0.2217901100176466	7	1	2	0	0	0	1.9502553068608819	single_large_effect
Figure_9	nucleotide_nad_nitrogen	PURINE_DEGRADATION_URATE	Purine degradation and urate	1.0307811243653426	0.3218919033956605	7	1	1	0	0	0	1.8917270760631728	single_large_effect
Figure_9	amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	0.974855358925732	0.3595408500154374	7	1	1	0	0	0	1.8546257839334508	single_large_effect
Figure_9	nucleotide_nad_nitrogen	NAD_METABOLISM	NAD metabolism	0.7360484078283704	0.4449612884131995	7	0	3	0	0	0	1.5585290520349702	recurrent_moderate_effect
Figure_9	nucleotide_nad_nitrogen	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	Xanthine oxidase and oxidative purine catabolism	0.698496137927261	0.457025426352275	7	0	3	0	0	0	1.5270088511033986	recurrent_moderate_effect
Figure_9	amino_acid_metabolism	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	0.7817533430730323	0.3141327870680319	7	0	2	0	0	0	1.3388197366070482	recurrent_moderate_effect
Figure_9	amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	0.727493669092695	0.2497445629794132	7	0	2	0	0	0	1.2523659505824016	recurrent_moderate_effect
Figure_9	nucleotide_nad_nitrogen	UREA_CYCLE	Urea cycle	0.5599540873201713	0.3480638296524763	7	0	2	0	0	0	1.1339860021464094	recurrent_moderate_effect
Figure_9	amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	0.7359283512934944	0.3257433984221691	7	0	1	0	0	0	1.098800050504579	weak_or_context_specific
Figure_9	catecholamine_stress_adjacent	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	0.609077680783404	0.281575955981889	7	0	1	0	0	0	0.9498656587743484	weak_or_context_specific
Figure_9	catecholamine_stress_adjacent	CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	0.5697731798949757	0.2901081783007024	7	0	1	0	0	0	0.914827269045327	weak_or_context_specific
Integrated_network	immune_context_anchors	NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	1.265255542033866	0.1952936895453198	7	2	2	0	0	0	2.762902386806526	recurrent_large_effect
Integrated_network	immune_context_anchors	UROTHELIAL_BARRIER_REPAIR_ANCHOR	Urothelial barrier and repair anchor	0.8374515387745279	0.4558386128695851	7	1	3	0	0	0	2.1653708452093205	single_large_effect
Integrated_network	immune_context_anchors	PREGNANCY_INFLAMMATION_ANCHOR	Pregnancy-associated inflammation anchor	0.7003963891748872	0.3664402293437156	7	0	3	0	0	0	1.4836165038467453	recurrent_moderate_effect
Integrated_network	immune_context_anchors	OXIDATIVE_STRESS_NRF2_ANCHOR	Oxidative stress and NRF2 anchor	0.7363029411036537	0.471335951988209	7	0	2	0	0	0	1.3719709170977583	recurrent_moderate_effect
Integrated_network	immune_context_anchors	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	0.5764899785252723	0.1537550043828793	7	0	3	0	0	0	1.2533674807167121	recurrent_moderate_effect
Integrated_network	immune_context_anchors	NFKB_MAPK_INFLAMMATION_ANCHOR	NF-kB and MAPK inflammation anchor	0.6839938611237788	0.2998598713410063	7	0	2	0	0	0	1.233923796794282	recurrent_moderate_effect
