asset_type	figure_number	panel	format	source_path	frozen_path	size_bytes	sha256	png_width_px	png_height_px
panel_crop	3	C	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_3_panel_C.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_3_panel_C.png	20620	3bff43bd32471086665702bfa9b02e07d1731a6e820e2459836159973a8403aa	313.0	242.0
panel_crop	3	D	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_3_panel_D.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_3_panel_D.png	14842	6e3a568f7975d1d18e44f4243da2e83daa34ffd4441498911ef9debc59f2d370	344.0	246.0
panel_crop	3	E	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_3_panel_E.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_3_panel_E.png	17546	487f6dbf80de877343a2ea8e71896c82b9cd22bc57c8bce2355081ec4c389e55	303.0	257.0
panel_crop	3	F	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_3_panel_F.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_3_panel_F.png	20109	4908b2a448c5f37232d3f7b7376ce950e51782222022af5f1e50f3edb4c09bc8	353.0	246.0
panel_crop	3	G	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_3_panel_G.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_3_panel_G.png	19632	efb21def62bc8a14edbfd58405448d24bafd9d27f909780baad0bab2eef6963b	303.0	268.0
panel_crop	3	H	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_3_panel_H.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_3_panel_H.png	20595	cee5138d8c5e96fe9ce20db3a318683a19f88ff0432f0285cc8aea3a07edb769	279.0	207.0
panel_crop	4	A	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_4_panel_A.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_4_panel_A.png	45704	179d15c32eaa161e9fc4791a49c00c7e1a81211fb643ae46ee1d82b840781bee	291.0	237.0
panel_crop	4	B	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_4_panel_B.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_4_panel_B.png	12832	696bbd4f9a2b724311e32885f52b0be94a33d9857f767f0f88b71cb09f7e1b9a	291.0	239.0
panel_crop	4	C	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_4_panel_C.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_4_panel_C.png	12051	23ba475dd348964fcde8706a3119d2b608efd648c1ab44e896c762219832c4d9	291.0	237.0
panel_crop	4	D	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_4_panel_D.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_4_panel_D.png	20957	caa7b91c8874f7621d46c837e88e9e0bfa8db8160814d19f14b0faaac21e4ab5	327.0	253.0
panel_crop	4	E	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_4_panel_E.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_4_panel_E.png	10083	60f7dfd07296e016ccf81f536bed17ae6ca9c63c6bc11aadf1b1889aecf1b3c8	298.0	226.0
panel_crop	4	F	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_4_panel_F.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_4_panel_F.png	11093	7c48d12574922a970c97d902a13384ebcd38560d3a95d61e6f16426a490a97c5	297.0	237.0
panel_crop	4	G	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_4_panel_G.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_4_panel_G.png	22027	7a6385a2411a7f73e23ceb349877f90fcc6c65be3cc67cba8f6bf0a2566d0439	303.0	271.0
panel_crop	4	H	png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/panel_crops/UTI_HostOmics_U27B2C2D_Figure_4_panel_H.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/panel_crops/UTI_HostOmics_U27B2C2E_Figure_4_panel_H.png	19504	c069e4b5941b29fa78205ac10c3e3801eff4ac98fadc993da8a960e70f11c1b7	296.0	202.0
contact_sheet			png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/UTI_HostOmics_U27B2C2D_full_figure_contact_sheet.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/UTI_HostOmics_U27B2C2E_full_figure_contact_sheet.png	1249127	080d3e039360b5f57a040fd111df9673f92cb7eaba1f61f5ece5e010f734f962	2324.0	3356.0
contact_sheet			png	project://06_figures/phaseU27B2C2D_final_label_margin_polish/UTI_HostOmics_U27B2C2D_panel_contact_sheet.png	project://06_figures/phaseU27B2C2E_final_figures_1_to_4_freeze/UTI_HostOmics_U27B2C2E_panel_contact_sheet.png	2531291	c597fd610640e7ac37b3010c4e4469caa103efdb23ac7f32593a10a89217d877	2980.0	5855.0
