dataset	path	size_bytes	candidate_score	genes_extracted	metadata_levels_extracted	status
GSE280297	project://05_results/phaseU4_module_scores/GSE280297_gene_count_module_gene_coverage.tsv	3200	6	18	0	ok
GSE280297	project://05_results/phaseU4_module_scores/GSE280297_normalized_module_gene_coverage.tsv	3200	6	18	0	ok
GSE280297	project://05_results/phaseU4b_repaired_module_scores/GSE280297_gene_count_repaired_module_scores.tsv	24638	6	0	0	unreadable_or_no_genes
GSE280297	project://05_results/phaseU4b_repaired_module_scores/GSE280297_gene_count_repaired_module_gene_coverage.tsv	3368	6	17	0	ok
GSE280297	project://05_results/phaseU4b_repaired_module_scores/GSE280297_normalized_repaired_module_gene_coverage.tsv	3200	6	18	0	ok
GSE280297	project://07_tables/phaseU4_module_scores/GSE280297_normalized_sample_annotation_v1.tsv	9133	5	0	0	unreadable_or_no_genes
GSE280297	project://07_tables/phaseU4b_repaired_module_scores/GSE280297_normalized_repaired_sample_annotation_v1.tsv	9408	5	0	0	unreadable_or_no_genes
GSE280297	project://02_data_raw/GSE280297/matrix/GSE280297_series_matrix.txt.gz	4540	3	200	0	ok
GSE280297	project://05_results/phaseU4_module_scores/GSE280297_normalized_module_scores.tsv	5500	3	0	0	unreadable_or_no_genes
GSE280297	project://05_results/phaseU4b_repaired_module_scores/GSE280297_normalized_repaired_module_scores.tsv	5251	3	0	0	unreadable_or_no_genes
GSE280297	project://07_tables/phaseU24_reference_finalization/phaseU24_GSE280297_publication_status_decision_v1.tsv	693	0	1	0	ok
GSE112098	project://03_data_processed/phaseU4_clean_matrices/GSE112098_clean_gene_symbol_matrix.tsv.gz	7067712	6	23924	0	ok
GSE112098	project://03_data_processed/phaseU4b_repaired_matrices/GSE112098_repaired_gene_symbol_matrix.tsv.gz	7067715	6	23924	0	ok
GSE112098	project://05_results/phaseU6_human_urine_comparator/GSE112098_series_matrix_module_gene_coverage.tsv	3356	6	18	0	ok
GSE112098	project://03_data_processed/phaseU6_human_urine_comparator/GSE112098_series_matrix_repaired_gene_symbol_matrix.tsv.gz	3008521	6	23924	0	ok
GSE112098	project://07_tables/phaseU6_human_urine_comparator/phaseU6_GSE112098_series_matrix_sample_annotation_v1.tsv	8357	5	0	0	unreadable_or_no_genes
GSE112098	project://07_tables/phaseU6_human_urine_comparator/phaseU6_GSE112098_group_counts_v1.tsv	63	4	1	0	ok
GSE112098	project://02_data_raw/GSE112098/matrix/GSE112098_series_matrix.txt.gz	7814523	3	0	0	unreadable_or_no_genes
GSE112098	project://05_results/phaseU4_module_scores/GSE112098_module_gene_coverage.tsv	3076	3	19	0	ok
GSE112098	project://02_data_raw/GSE112098/supplementary/GSE112098_IndependentValidationsetMatrix.txt.gz	9037386	3	23924	0	ok
GSE112098	project://05_results/phaseU6_human_urine_comparator/GSE112098_series_matrix_module_scores.tsv	30466	3	0	0	unreadable_or_no_genes
GSE112098	project://05_results/phaseU4b_repaired_module_scores/GSE112098_repaired_module_gene_coverage.tsv	3076	3	19	0	ok
GSE112098	project://07_tables/phaseU6_human_urine_comparator/phaseU6_GSE112098_figure_generation_status_v1.tsv	166	3	1	0	ok
GSE112098	project://07_tables/phaseU4_module_scores/GSE112098_sample_annotation_v1.tsv	1566	2	1	0	ok
GSE112098	project://07_tables/phaseU4b_repaired_module_scores/GSE112098_repaired_sample_annotation_v1.tsv	1566	2	1	0	ok
GSE112098	project://02_data_raw/GSE112098/supplementary/filelist.txt	5205	0	2	0	ok
GSE112098	project://05_results/phaseU4_module_scores/GSE112098_module_scores.tsv	21549	0	0	0	unreadable_or_no_genes
GSE112098	project://05_results/phaseU4b_repaired_module_scores/GSE112098_repaired_module_scores.tsv	21549	0	0	0	unreadable_or_no_genes
GSE112098	project://07_tables/phaseU6_human_urine_comparator/phaseU6_GSE112098_repair_summary_v1.tsv	215	0	0	0	unreadable_or_no_genes
GSE112098	project://07_tables/phaseU6_human_urine_comparator/phaseU6_GSE112098_repair_diagnostics_v1.tsv	439	0	1	0	ok
GSE112098	project://07_tables/phaseU6_human_urine_comparator/phaseU6_GSE112098_human_urine_module_contrast_v1.tsv	5704	0	0	0	unreadable_or_no_genes
GSE112098	project://07_tables/phaseU6_human_urine_comparator/phaseU6_GSE112098_human_urine_module_scores_long_v1.tsv	228603	0	0	0	unreadable_or_no_genes
GSE252321	project://02_data_raw/GSE252321/matrix/GSE252321_series_matrix.txt.gz	2749	3	0	0	unreadable_or_no_genes
GSE252321	project://02_data_raw/GSE252321/single_cell_matrices/GSM7999428_UPEC_1_matrix.tsv.gz	10484437	3	22231	0	ok
GSE252321	project://02_data_raw/GSE252321/single_cell_matrices/GSM7999429_UPEC_2_matrix.tsv.gz	11761152	3	23494	0	ok
GSE252321	project://02_data_raw/GSE252321/single_cell_matrices/GSM7999426_Control_1_matrix.tsv.gz	12059678	3	23676	0	ok
GSE252321	project://02_data_raw/GSE252321/single_cell_matrices/GSM7999427_Control_2_matrix.tsv.gz	10750052	3	22526	0	ok
GSE252321	project://07_tables/phaseU8b_single_cell_module_scoring/phaseU8b_GSE252321_module_gene_coverage_v1.tsv	14583	3	25	0	ok
GSE252321	project://07_tables/phaseU8b_single_cell_module_scoring/phaseU8b_GSE252321_figure_generation_status_v1.tsv	244	3	1	0	ok
GSE252321	project://07_tables/phaseU8a_single_cell_acquisition/phaseU8a_GSE252321_single_cell_matrix_inspection_v1.tsv	1111	3	1	0	ok
GSE252321	project://07_tables/phaseU8a2_single_cell_rawtar_repair/phaseU8a2_GSE252321_single_cell_matrix_inspection_v1.tsv	3634	3	1	0	ok
GSE252321	project://07_tables/phaseU8b_single_cell_module_scoring/phaseU8b_GSE252321_sample_mean_module_scores_v1.tsv	8012	1	1	0	ok
GSE252321	project://07_tables/phaseU8b_single_cell_module_scoring/phaseU8b_GSE252321_sample_level_UPEC_vs_Control_module_contrast_v1.tsv	4975	1	1	0	ok
GSE252321	project://02_data_raw/GSE252321/supplementary/filelist.txt	379	0	2	0	ok
GSE252321	project://07_tables/phaseU8a2_single_cell_rawtar_repair/phaseU8a2_GSE252321_rawtar_members_v1.tsv	226	0	0	0	unreadable_or_no_genes
GSE252321	project://07_tables/phaseU8b_single_cell_module_scoring/phaseU8b_GSE252321_cell_qc_summary_v1.tsv	905	0	0	0	unreadable_or_no_genes
GSE252321	project://07_tables/phaseU8a2_single_cell_rawtar_repair/phaseU8a2_GSE252321_rawtar_extract_manifest_v1.tsv	1592	0	4	0	ok
GSE252321	project://07_tables/phaseU8a_single_cell_acquisition/phaseU8a_GSE252321_single_cell_download_manifest_v1.tsv	1342	0	1	0	ok
GSE252321	project://07_tables/phaseU8b_single_cell_module_scoring/phaseU8b_GSE252321_combined_single_cell_validation_contrasts_v1.tsv	9314	0	1	0	ok
GSE252321	project://07_tables/phaseU8b_single_cell_module_scoring/phaseU8b_GSE252321_cell_level_UPEC_vs_Control_module_contrast_v1.tsv	4513	0	1	0	ok
