dataset	species	axis	submodule_id	display_label	n_module_genes	n_detected	coverage_fraction	coverage_class	detected_genes	missing_genes	interpretation_scope
GSE280297	Mus musculus	insulin_irs_signaling	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	10	0	0.0	unresolved		ACACA;FOXO1;IRS1;PPARGC1A;PRKAA1;PRKAA2;RPTOR;SIRT1;STK11;TSC2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	insulin_irs_signaling	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	10	10	1.0	adequate	ACACA;FOXO1;IRS1;PPARGC1A;PRKAA1;PRKAA2;RPTOR;SIRT1;STK11;TSC2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	insulin_irs_signaling	AMPK_INSULIN_COUNTERREGULATION	AMPK counter-regulation of insulin signaling	10	10	1.0	adequate	ACACA;FOXO1;IRS1;PPARGC1A;PRKAA1;PRKAA2;RPTOR;SIRT1;STK11;TSC2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	12	12	1.0	adequate	JAK2;LEP;LEPR;MAPK1;MAPK3;PIAS3;PTPN1;SH2B1;SOCS3;STAT3;STAT5A;STAT5B		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	12	0	0.0	unresolved		JAK2;LEP;LEPR;MAPK1;MAPK3;PIAS3;PTPN1;SH2B1;SOCS3;STAT3;STAT5A;STAT5B	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	12	11	0.9167	adequate	JAK2;LEP;MAPK1;MAPK3;PIAS3;PTPN1;SH2B1;SOCS3;STAT3;STAT5A;STAT5B	LEPR	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	adipokine_signaling	LEPTIN_SIGNALING	Leptin signaling	12	11	0.9167	adequate	JAK2;LEPR;MAPK1;MAPK3;PIAS3;PTPN1;SH2B1;SOCS3;STAT3;STAT5A;STAT5B	LEP	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	adipokine_signaling	ADIPONECTIN_SIGNALING	Adiponectin signaling	11	11	1.0	adequate	ADIPOQ;ADIPOR1;ADIPOR2;APPL1;APPL2;CAMKK2;PPARA;PPARG;PPARGC1A;PRKAA1;PRKAA2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	adipokine_signaling	ADIPONECTIN_SIGNALING	Adiponectin signaling	11	0	0.0	unresolved		ADIPOQ;ADIPOR1;ADIPOR2;APPL1;APPL2;CAMKK2;PPARA;PPARG;PPARGC1A;PRKAA1;PRKAA2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	adipokine_signaling	ADIPONECTIN_SIGNALING	Adiponectin signaling	11	11	1.0	adequate	ADIPOQ;ADIPOR1;ADIPOR2;APPL1;APPL2;CAMKK2;PPARA;PPARG;PPARGC1A;PRKAA1;PRKAA2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	adipokine_signaling	ADIPONECTIN_SIGNALING	Adiponectin signaling	11	11	1.0	adequate	ADIPOQ;ADIPOR1;ADIPOR2;APPL1;APPL2;CAMKK2;PPARA;PPARG;PPARGC1A;PRKAA1;PRKAA2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	11	11	1.0	adequate	CAP1;CCL2;IL6;MAPK1;MAPK3;NFKB1;RELA;RETN;SOCS3;TLR4;TNF		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	11	0	0.0	unresolved		CAP1;CCL2;IL6;MAPK1;MAPK3;NFKB1;RELA;RETN;SOCS3;TLR4;TNF	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	11	11	1.0	adequate	CAP1;CCL2;IL6;MAPK1;MAPK3;NFKB1;RELA;RETN;SOCS3;TLR4;TNF		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	adipokine_signaling	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	11	11	1.0	adequate	CAP1;CCL2;IL6;MAPK1;MAPK3;NFKB1;RELA;RETN;SOCS3;TLR4;TNF		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	adipokine_signaling	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	13	12	0.9231	adequate	CCL2;FABP4;IL6;LCN2;LEP;NAMPT;RBP4;RETN;SAA1;SAA2;SERPINE1;TNF	CXCL8	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	adipokine_signaling	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	13	0	0.0	unresolved		CCL2;CXCL8;FABP4;IL6;LCN2;LEP;NAMPT;RBP4;RETN;SAA1;SAA2;SERPINE1;TNF	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	adipokine_signaling	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	13	13	1.0	adequate	CCL2;CXCL8;FABP4;IL6;LCN2;LEP;NAMPT;RBP4;RETN;SAA1;SAA2;SERPINE1;TNF		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	adipokine_signaling	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	13	11	0.8462	adequate	CCL2;FABP4;IL6;LCN2;NAMPT;RBP4;RETN;SAA1;SAA2;SERPINE1;TNF	CXCL8;LEP	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	adipokine_signaling	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	12	12	1.0	adequate	ACSL1;ADIPOQ;CD36;CEBPA;CEBPB;DGAT1;FABP4;LPL;PLIN1;PPARG;RXRA;SLC2A4		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	adipokine_signaling	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	12	0	0.0	unresolved		ACSL1;ADIPOQ;CD36;CEBPA;CEBPB;DGAT1;FABP4;LPL;PLIN1;PPARG;RXRA;SLC2A4	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	adipokine_signaling	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	12	12	1.0	adequate	ACSL1;ADIPOQ;CD36;CEBPA;CEBPB;DGAT1;FABP4;LPL;PLIN1;PPARG;RXRA;SLC2A4		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	adipokine_signaling	PPARG_ADIPOMETABOLIC_REGULATION	PPARG adipometabolic regulation	12	12	1.0	adequate	ACSL1;ADIPOQ;CD36;CEBPA;CEBPB;DGAT1;FABP4;LPL;PLIN1;PPARG;RXRA;SLC2A4		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	amino_acid_metabolism	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	13	13	1.0	adequate	AADAT;ACMSD;AFMID;CCBL1;CCBL2;HAAO;IDO1;IDO2;IL4I1;KMO;KYNU;QPRT;TDO2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	amino_acid_metabolism	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	13	0	0.0	unresolved		AADAT;ACMSD;AFMID;CCBL1;CCBL2;HAAO;IDO1;IDO2;IL4I1;KMO;KYNU;QPRT;TDO2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	amino_acid_metabolism	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	13	12	0.9231	adequate	AADAT;ACMSD;AFMID;CCBL1;HAAO;IDO1;IDO2;IL4I1;KMO;KYNU;QPRT;TDO2	CCBL2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	amino_acid_metabolism	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	13	8	0.6154	partial	AFMID;HAAO;IDO1;IL4I1;KMO;KYNU;QPRT;TDO2	AADAT;ACMSD;CCBL1;CCBL2;IDO2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	16	16	1.0	adequate	ARG1;ARG2;ASL;ASS1;CPS1;DDAH1;DDAH2;GCH1;NOS1;NOS2;NOS3;ODC1;OTC;SLC7A1;SLC7A2;SLC7A5		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	16	0	0.0	unresolved		ARG1;ARG2;ASL;ASS1;CPS1;DDAH1;DDAH2;GCH1;NOS1;NOS2;NOS3;ODC1;OTC;SLC7A1;SLC7A2;SLC7A5	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	16	16	1.0	adequate	ARG1;ARG2;ASL;ASS1;CPS1;DDAH1;DDAH2;GCH1;NOS1;NOS2;NOS3;ODC1;OTC;SLC7A1;SLC7A2;SLC7A5		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	amino_acid_metabolism	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	16	12	0.75	adequate	ARG1;ARG2;ASL;ASS1;DDAH2;GCH1;NOS2;NOS3;ODC1;SLC7A1;SLC7A2;SLC7A5	CPS1;DDAH1;NOS1;OTC	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	13	12	0.9231	adequate	ASNS;GLS;GLS2;GLUD1;GLUL;GOT1;GOT2;GPT2;SLC1A5;SLC38A1;SLC38A2;SLC38A5	GLUD2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	13	0	0.0	unresolved		ASNS;GLS;GLS2;GLUD1;GLUD2;GLUL;GOT1;GOT2;GPT2;SLC1A5;SLC38A1;SLC38A2;SLC38A5	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	13	13	1.0	adequate	ASNS;GLS;GLS2;GLUD1;GLUD2;GLUL;GOT1;GOT2;GPT2;SLC1A5;SLC38A1;SLC38A2;SLC38A5		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	amino_acid_metabolism	GLUTAMINE_GLUTAMATE	Glutamine and glutamate metabolism	13	12	0.9231	adequate	ASNS;GLS;GLS2;GLUD1;GLUL;GOT1;GOT2;GPT2;SLC1A5;SLC38A1;SLC38A2;SLC38A5	GLUD2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	13	13	1.0	adequate	AMT;DHFR;GLDC;MTHFD1;MTHFD1L;MTHFD2;MTHFR;PHGDH;PSAT1;PSPH;SHMT1;SHMT2;TYMS		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	13	0	0.0	unresolved		AMT;DHFR;GLDC;MTHFD1;MTHFD1L;MTHFD2;MTHFR;PHGDH;PSAT1;PSPH;SHMT1;SHMT2;TYMS	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	13	12	0.9231	adequate	AMT;DHFR;GLDC;MTHFD1;MTHFD2;MTHFR;PHGDH;PSAT1;PSPH;SHMT1;SHMT2;TYMS	MTHFD1L	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	amino_acid_metabolism	SERINE_GLYCINE_ONE_CARBON	Serine, glycine and one-carbon metabolism	13	13	1.0	adequate	AMT;DHFR;GLDC;MTHFD1;MTHFD1L;MTHFD2;MTHFR;PHGDH;PSAT1;PSPH;SHMT1;SHMT2;TYMS		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	14	14	1.0	adequate	AHCY;AHCYL1;BHMT;CBS;CTH;DNMT1;DNMT3A;DNMT3B;GNMT;MAT1A;MAT2A;MAT2B;MTR;MTRR		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	14	0	0.0	unresolved		AHCY;AHCYL1;BHMT;CBS;CTH;DNMT1;DNMT3A;DNMT3B;GNMT;MAT1A;MAT2A;MAT2B;MTR;MTRR	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	14	14	1.0	adequate	AHCY;AHCYL1;BHMT;CBS;CTH;DNMT1;DNMT3A;DNMT3B;GNMT;MAT1A;MAT2A;MAT2B;MTR;MTRR		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	amino_acid_metabolism	METHIONINE_SAM_METHYLATION	Methionine and SAM metabolism	14	11	0.7857	adequate	AHCY;AHCYL1;DNMT1;DNMT3A;DNMT3B;GNMT;MAT1A;MAT2A;MAT2B;MTR;MTRR	BHMT;CBS;CTH	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	12	12	1.0	adequate	ACAD8;BCAT1;BCAT2;BCKDHA;BCKDHB;DBT;DLD;HIBCH;IVD;MCCC1;MCCC2;PPM1K		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	12	0	0.0	unresolved		ACAD8;BCAT1;BCAT2;BCKDHA;BCKDHB;DBT;DLD;HIBCH;IVD;MCCC1;MCCC2;PPM1K	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	12	12	1.0	adequate	ACAD8;BCAT1;BCAT2;BCKDHA;BCKDHB;DBT;DLD;HIBCH;IVD;MCCC1;MCCC2;PPM1K		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	amino_acid_metabolism	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	12	12	1.0	adequate	ACAD8;BCAT1;BCAT2;BCKDHA;BCKDHB;DBT;DLD;HIBCH;IVD;MCCC1;MCCC2;PPM1K		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	13	13	1.0	adequate	AANAT;COMT;DDC;HAAO;HGD;HPD;MAOA;MAOB;PAH;TAT;TH;TPH1;TPH2		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	13	0	0.0	unresolved		AANAT;COMT;DDC;HAAO;HGD;HPD;MAOA;MAOB;PAH;TAT;TH;TPH1;TPH2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	13	12	0.9231	adequate	AANAT;COMT;DDC;HAAO;HGD;HPD;MAOA;MAOB;TAT;TH;TPH1;TPH2	PAH	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	amino_acid_metabolism	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	13	7	0.5385	partial	COMT;DDC;HAAO;HGD;MAOA;MAOB;TPH1	AANAT;HPD;PAH;TAT;TH;TPH2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	14	14	1.0	adequate	SLC1A5;SLC38A1;SLC38A2;SLC38A3;SLC38A5;SLC3A2;SLC43A1;SLC43A2;SLC6A14;SLC7A1;SLC7A11;SLC7A2;SLC7A5;SLC7A8		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	14	0	0.0	unresolved		SLC1A5;SLC38A1;SLC38A2;SLC38A3;SLC38A5;SLC3A2;SLC43A1;SLC43A2;SLC6A14;SLC7A1;SLC7A11;SLC7A2;SLC7A5;SLC7A8	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	14	14	1.0	adequate	SLC1A5;SLC38A1;SLC38A2;SLC38A3;SLC38A5;SLC3A2;SLC43A1;SLC43A2;SLC6A14;SLC7A1;SLC7A11;SLC7A2;SLC7A5;SLC7A8		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	amino_acid_metabolism	AMINO_ACID_TRANSPORT	Amino-acid transport	14	12	0.8571	adequate	SLC1A5;SLC38A1;SLC38A2;SLC38A5;SLC3A2;SLC43A1;SLC43A2;SLC7A1;SLC7A11;SLC7A2;SLC7A5;SLC7A8	SLC38A3;SLC6A14	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	catecholamine_stress_adjacent	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	13	13	1.0	adequate	COMT;DBH;DDC;GCH1;MAOA;MAOB;PNMT;QDPR;SLC18A1;SLC18A2;SLC6A2;SPR;TH		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	catecholamine_stress_adjacent	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	13	0	0.0	unresolved		COMT;DBH;DDC;GCH1;MAOA;MAOB;PNMT;QDPR;SLC18A1;SLC18A2;SLC6A2;SPR;TH	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	catecholamine_stress_adjacent	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	13	13	1.0	adequate	COMT;DBH;DDC;GCH1;MAOA;MAOB;PNMT;QDPR;SLC18A1;SLC18A2;SLC6A2;SPR;TH		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	catecholamine_stress_adjacent	CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION	Catecholamine biosynthesis and degradation	13	10	0.7692	adequate	COMT;DDC;GCH1;MAOA;MAOB;QDPR;SLC18A1;SLC18A2;SLC6A2;SPR	DBH;PNMT;TH	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	catecholamine_stress_adjacent	ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	15	15	1.0	adequate	ADCY3;ADCY5;ADCY6;ADRA1A;ADRA1B;ADRA1D;ADRA2A;ADRA2B;ADRA2C;ADRB1;ADRB2;ADRB3;CREB1;GNAS;PRKACA		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	catecholamine_stress_adjacent	ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	15	0	0.0	unresolved		ADCY3;ADCY5;ADCY6;ADRA1A;ADRA1B;ADRA1D;ADRA2A;ADRA2B;ADRA2C;ADRB1;ADRB2;ADRB3;CREB1;GNAS;PRKACA	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	catecholamine_stress_adjacent	ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	15	15	1.0	adequate	ADCY3;ADCY5;ADCY6;ADRA1A;ADRA1B;ADRA1D;ADRA2A;ADRA2B;ADRA2C;ADRB1;ADRB2;ADRB3;CREB1;GNAS;PRKACA		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	catecholamine_stress_adjacent	ADRENERGIC_STRESS_SIGNALING	Adrenergic stress signaling	15	13	0.8667	adequate	ADCY3;ADCY5;ADCY6;ADRA1A;ADRA1B;ADRA2A;ADRA2B;ADRA2C;ADRB1;ADRB2;CREB1;GNAS;PRKACA	ADRA1D;ADRB3	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	catecholamine_stress_adjacent	CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	15	14	0.9333	adequate	COMT;CP;CYBB;FTH1;HMOX1;HP;LCN2;LTF;MAOA;MAOB;NCOA4;SLC11A1;SLC40A1;TFRC	FTL	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	catecholamine_stress_adjacent	CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	15	0	0.0	unresolved		COMT;CP;CYBB;FTH1;FTL;HMOX1;HP;LCN2;LTF;MAOA;MAOB;NCOA4;SLC11A1;SLC40A1;TFRC	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	catecholamine_stress_adjacent	CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	15	15	1.0	adequate	COMT;CP;CYBB;FTH1;FTL;HMOX1;HP;LCN2;LTF;MAOA;MAOB;NCOA4;SLC11A1;SLC40A1;TFRC		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	catecholamine_stress_adjacent	CATECHOLAMINE_IRON_REDOX_INTERFACE	Catecholamine, iron and redox interface	15	14	0.9333	adequate	COMT;CP;CYBB;FTH1;HMOX1;HP;LCN2;LTF;MAOA;MAOB;NCOA4;SLC11A1;SLC40A1;TFRC	FTL	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	nucleotide_nad_nitrogen	PURINE_DE_NOVO_SYNTHESIS	De novo purine synthesis	13	11	0.8462	adequate	ADSL;ATIC;GART;GMPS;IMPDH1;IMPDH2;PAICS;PFAS;PPAT;PRPS1;PRPS2	ADSS1;ADSS2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	nucleotide_nad_nitrogen	PURINE_DE_NOVO_SYNTHESIS	De novo purine synthesis	13	0	0.0	unresolved		ADSL;ADSS1;ADSS2;ATIC;GART;GMPS;IMPDH1;IMPDH2;PAICS;PFAS;PPAT;PRPS1;PRPS2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	nucleotide_nad_nitrogen	PURINE_DE_NOVO_SYNTHESIS	De novo purine synthesis	13	11	0.8462	adequate	ADSL;ATIC;GART;GMPS;IMPDH1;IMPDH2;PAICS;PFAS;PPAT;PRPS1;PRPS2	ADSS1;ADSS2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	nucleotide_nad_nitrogen	PURINE_DE_NOVO_SYNTHESIS	De novo purine synthesis	13	11	0.8462	adequate	ADSL;ATIC;GART;GMPS;IMPDH1;IMPDH2;PAICS;PFAS;PPAT;PRPS1;PRPS2	ADSS1;ADSS2	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	nucleotide_nad_nitrogen	PURINE_SALVAGE	Purine salvage	12	11	0.9167	adequate	ADA;ADK;AMPD1;AMPD2;AMPD3;APRT;DCK;ENTPD1;ENTPD2;NT5E;PNP	HPRT1	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	nucleotide_nad_nitrogen	PURINE_SALVAGE	Purine salvage	12	0	0.0	unresolved		ADA;ADK;AMPD1;AMPD2;AMPD3;APRT;DCK;ENTPD1;ENTPD2;HPRT1;NT5E;PNP	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	nucleotide_nad_nitrogen	PURINE_SALVAGE	Purine salvage	12	11	0.9167	adequate	ADA;ADK;AMPD1;AMPD2;APRT;DCK;ENTPD1;ENTPD2;HPRT1;NT5E;PNP	AMPD3	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	nucleotide_nad_nitrogen	PURINE_SALVAGE	Purine salvage	12	11	0.9167	adequate	ADA;ADK;AMPD1;AMPD2;AMPD3;APRT;DCK;ENTPD1;ENTPD2;NT5E;PNP	HPRT1	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	nucleotide_nad_nitrogen	PURINE_DEGRADATION_URATE	Purine degradation and urate	11	11	1.0	adequate	ABCG2;ADA;AMPD1;AMPD2;AMPD3;AOX1;NT5C2;PNP;SLC22A12;SLC2A9;XDH		gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	nucleotide_nad_nitrogen	PURINE_DEGRADATION_URATE	Purine degradation and urate	11	0	0.0	unresolved		ABCG2;ADA;AMPD1;AMPD2;AMPD3;AOX1;NT5C2;PNP;SLC22A12;SLC2A9;XDH	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	nucleotide_nad_nitrogen	PURINE_DEGRADATION_URATE	Purine degradation and urate	11	10	0.9091	adequate	ABCG2;ADA;AMPD1;AMPD2;AOX1;NT5C2;PNP;SLC22A12;SLC2A9;XDH	AMPD3	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE252321	Mus musculus	nucleotide_nad_nitrogen	PURINE_DEGRADATION_URATE	Purine degradation and urate	11	10	0.9091	adequate	ABCG2;ADA;AMPD1;AMPD2;AMPD3;AOX1;NT5C2;PNP;SLC2A9;XDH	SLC22A12	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE186800	Mus musculus	nucleotide_nad_nitrogen	PYRIMIDINE_SYNTHESIS	Pyrimidine synthesis	12	11	0.9167	adequate	CAD;CMPK1;CTPS2;DHODH;NME1;RRM1;RRM2;RRM2B;TK1;TYMS;UMPS	CTPS1	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE280297	Mus musculus	nucleotide_nad_nitrogen	PYRIMIDINE_SYNTHESIS	Pyrimidine synthesis	12	0	0.0	unresolved		CAD;CMPK1;CTPS1;CTPS2;DHODH;NME1;RRM1;RRM2;RRM2B;TK1;TYMS;UMPS	gene-coverage feasibility only; expression direction and statistical signal remain untested
GSE112098	Homo sapiens	nucleotide_nad_nitrogen	PYRIMIDINE_SYNTHESIS	Pyrimidine synthesis	12	11	0.9167	adequate	CAD;CMPK1;CTPS1;CTPS2;DHODH;NME1;RRM2;RRM2B;TK1;TYMS;UMPS	RRM1	gene-coverage feasibility only; expression direction and statistical signal remain untested
