working_figure_number	working_figure	path	filename	format	size_bytes	modified_epoch	png_width_px	png_height_px	candidate_score	canonical_U27A4_source
7	Working_Figure_7	project://06_figures/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_7_candidate_effect_heatmap.png	UTI_HostOmics_U26B1_Figure_7_candidate_effect_heatmap.png	png	711260	1784051155.092324	3742.0	3187.0	17870	False
7	Working_Figure_7	project://06_figures/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_Figure_7_independent_effect_heatmap.png	UTI_HostOmics_U26B2B1_Figure_7_independent_effect_heatmap.png	png	294183	1784054233.515628	2534.0	2135.0	17870	False
7	Working_Figure_7	project://06_figures/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_Figure_7_cross_dataset_effect_heatmap.png	UTI_HostOmics_U26B2B_Figure_7_cross_dataset_effect_heatmap.png	png	892804	1784053849.4298773	4021.0	3006.0	17870	False
7	Working_Figure_7	project://06_figures/phaseU27A_build_figures_7_to_11/UTI_HostOmics_U27A_Figure_7.png	UTI_HostOmics_U27A_Figure_7.png	png	997911	1784059867.6111195	5537.0	3829.0	17870	False
8	Working_Figure_8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.svg	UTI_HostOmics_U27A4_Figure_8.svg	svg	84021	1784143747.0			19031	True
8	Working_Figure_8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.pdf	UTI_HostOmics_U27A4_Figure_8.pdf	pdf	38766	1784143747.0			19026	True
8	Working_Figure_8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.png	UTI_HostOmics_U27A4_Figure_8.png	png	555532	1784143747.0	2288.0	2558.0	19021	True
8	Working_Figure_8	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_8.svg	UTI_HostOmics_U27A32_Figure_8.svg	svg	84021	1784143747.3714237			18031	False
8	Working_Figure_8	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_8.pdf	UTI_HostOmics_U27A32_Figure_8.pdf	pdf	38766	1784143747.8731816			18026	False
8	Working_Figure_8	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_8.png	UTI_HostOmics_U27A32_Figure_8.png	png	555532	1784143747.010094	2288.0	2558.0	18021	False
8	Working_Figure_8	project://06_figures/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_Figure_8_broad_celltypes.png	UTI_HostOmics_U26D2B_Figure_8_broad_celltypes.png	png	280887	1784058776.5007224	2656.0	2363.0	17920	False
8	Working_Figure_8	project://06_figures/phaseU27A2_journal_width_figure_repair/UTI_HostOmics_U27A2_Figure_8.svg	UTI_HostOmics_U27A2_Figure_8.svg	svg	81321	1784137645.825248			17881	False
8	Working_Figure_8	project://06_figures/phaseU27A31_visual_diversity_layout_repair/UTI_HostOmics_U27A31_Figure_8.svg	UTI_HostOmics_U27A31_Figure_8.svg	svg	84033	1784142656.2364602			17881	False
8	Working_Figure_8	project://06_figures/phaseU27A3_visual_diversity_redesign/UTI_HostOmics_U27A3_Figure_8.svg	UTI_HostOmics_U27A3_Figure_8.svg	svg	87791	1784141577.749688			17881	False
8	Working_Figure_8	project://06_figures/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_Figure_8_primary_effect_heatmap.svg	UTI_HostOmics_U26B1_1_Figure_8_primary_effect_heatmap.svg	svg	100480	1784051629.5336826			17880	False
8	Working_Figure_8	project://06_figures/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_8_candidate_effect_heatmap.svg	UTI_HostOmics_U26B1_Figure_8_candidate_effect_heatmap.svg	svg	115792	1784051156.393121			17880	False
8	Working_Figure_8	project://06_figures/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_Figure_8_independent_effect_heatmap.svg	UTI_HostOmics_U26B2B1_Figure_8_independent_effect_heatmap.svg	svg	79917	1784054234.2741015			17880	False
8	Working_Figure_8	project://06_figures/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_Figure_8_cross_dataset_effect_heatmap.svg	UTI_HostOmics_U26B2B_Figure_8_cross_dataset_effect_heatmap.svg	svg	151595	1784053850.9027677			17880	False
8	Working_Figure_8	project://06_figures/phaseU27A_build_figures_7_to_11/UTI_HostOmics_U27A_Figure_8.svg	UTI_HostOmics_U27A_Figure_8.svg	svg	305943	1784059872.879397			17880	False
8	Working_Figure_8	project://06_figures/phaseU27A2_journal_width_figure_repair/UTI_HostOmics_U27A2_Figure_8.pdf	UTI_HostOmics_U27A2_Figure_8.pdf	pdf	39651	1784137646.3086016			17876	False
8	Working_Figure_8	project://06_figures/phaseU27A31_visual_diversity_layout_repair/UTI_HostOmics_U27A31_Figure_8.pdf	UTI_HostOmics_U27A31_Figure_8.pdf	pdf	38858	1784142656.707936			17876	False
8	Working_Figure_8	project://06_figures/phaseU27A3_visual_diversity_redesign/UTI_HostOmics_U27A3_Figure_8.pdf	UTI_HostOmics_U27A3_Figure_8.pdf	pdf	40764	1784141578.2664492			17876	False
8	Working_Figure_8	project://06_figures/phaseU27A_build_figures_7_to_11/UTI_HostOmics_U27A_Figure_8.pdf	UTI_HostOmics_U27A_Figure_8.pdf	pdf	77800	1784059873.9881217			17875	False
8	Working_Figure_8	project://06_figures/phaseU27A2_journal_width_figure_repair/UTI_HostOmics_U27A2_Figure_8.png	UTI_HostOmics_U27A2_Figure_8.png	png	579720	1784137645.4508612	2329.0	2918.0	17871	False
8	Working_Figure_8	project://06_figures/phaseU27A31_visual_diversity_layout_repair/UTI_HostOmics_U27A31_Figure_8.png	UTI_HostOmics_U27A31_Figure_8.png	png	568130	1784142655.885216	2302.0	2679.0	17871	False
8	Working_Figure_8	project://06_figures/phaseU27A3_visual_diversity_redesign/UTI_HostOmics_U27A3_Figure_8.png	UTI_HostOmics_U27A3_Figure_8.png	png	634973	1784141577.3447294	2287.0	2707.0	17871	False
8	Working_Figure_8	project://06_figures/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_Figure_8_primary_effect_heatmap.png	UTI_HostOmics_U26B1_1_Figure_8_primary_effect_heatmap.png	png	515285	1784051629.3789911	3116.0	2922.0	17870	False
8	Working_Figure_8	project://06_figures/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_Figure_8_candidate_effect_heatmap.png	UTI_HostOmics_U26B1_Figure_8_candidate_effect_heatmap.png	png	641146	1784051156.20397	3690.0	3036.0	17870	False
8	Working_Figure_8	project://06_figures/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_Figure_8_independent_effect_heatmap.png	UTI_HostOmics_U26B2B1_Figure_8_independent_effect_heatmap.png	png	275723	1784054234.161487	2487.0	2135.0	17870	False
8	Working_Figure_8	project://06_figures/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_Figure_8_cross_dataset_effect_heatmap.png	UTI_HostOmics_U26B2B_Figure_8_cross_dataset_effect_heatmap.png	png	859382	1784053850.7065487	4009.0	3006.0	17870	False
8	Working_Figure_8	project://06_figures/phaseU27A_build_figures_7_to_11/UTI_HostOmics_U27A_Figure_8.png	UTI_HostOmics_U27A_Figure_8.png	png	910900	1784059871.7799802	5543.0	3829.0	17870	False
9	Working_Figure_9	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_9.svg	UTI_HostOmics_U27A4_Figure_9.svg	svg	135262	1784143749.0			19031	True
9	Working_Figure_9	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_9.pdf	UTI_HostOmics_U27A4_Figure_9.pdf	pdf	44801	1784143750.0			19026	True
9	Working_Figure_9	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_9.png	UTI_HostOmics_U27A4_Figure_9.png	png	616489	1784143749.0	2325.0	2559.0	19021	True
9	Working_Figure_9	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_9.svg	UTI_HostOmics_U27A32_Figure_9.svg	svg	135262	1784143749.7580853			18031	False
9	Working_Figure_9	project://06_figures/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_Figure_9.pdf	UTI_HostOmics_U27A32_Figure_9.pdf	pdf	44801	1784143750.5933325			18026	False
